DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,98.7,99,98.3,98.3,98.8,"8,200"
2019-06-27,98.2,99.6,97.7,97.7,99.2,"14,714"
2019-06-26,98.9,99,96.4,96.4,97.7,"11,207"
2019-06-25,96.6,99.9,96.1,96.8,98.8,"5,901"
2019-06-24,96.6,100,95,95,96.8,"11,426"
2019-06-23,98.7,100,95,100,96.3,"5,701"
2019-06-20,101.9,103.5,99.5,103,101,"19,485"
2019-06-19,101.6,103.4,100,100.8,102,"36,454"
2019-06-18,98,98.5,96.8,98.4,97.4,"5,480"
2019-06-17,96.4,99,96.2,97.2,96.4,"10,901"
2019-06-16,99.3,100,96.5,100,98.6,"9,400"
2019-06-13,97.5,101.3,97.5,99.8,98.2,"20,744"
2019-06-11,102.9,104,100.3,104,101.1,"39,045"
2019-06-10,102.2,104.8,101.3,104.8,102,"9,700"
2019-06-09,103,105,101.7,103.4,103.6,"27,495"
2019-05-30,103,104.5,98,100,100.5,"27,698"
2019-05-29,98.9,99,96,96.5,96.4,"15,081"
2019-05-28,97.3,100,96,100,96.8,"18,523"
2019-05-27,103,106,98.1,105.9,98.8,"27,588"
2019-05-26,105.7,105.8,93.5,99.6,104.1,"68,167"
2019-05-23,97.9,99.9,97,99,97.3,"21,366"
2019-05-22,98.8,100,95.2,95.2,97.5,"11,685"
2019-05-21,98,98,91.5,92.1,94.9,"28,458"
2019-05-20,92,92.9,91,92.1,92.1,"17,078"
2019-05-19,90.8,95,90.1,94.9,91.2,"8,469"
2019-05-16,92.8,93.4,87,91,92.3,"19,580"
2019-05-15,89.5,92.4,88.1,92.4,91.9,"32,958"
2019-05-14,93.3,93.3,84.7,87.5,88.6,"13,830"
2019-05-13,86.8,90.3,84.1,90.3,84.9,"20,708"
2019-05-12,85.5,85.5,84.7,84.7,85.3,"1,000"
2019-05-09,85.7,85.7,85,85,85.4,"2,125"
2019-05-08,84.6,84.6,84.1,84.2,84.1,"3,499"
2019-05-07,85.7,89,85.7,89,86.5,"5,037"
2019-05-06,88,88,85.5,85.5,87.9,"17,165"
2019-05-05,84.2,86.7,84.1,86.7,84.5,"5,360"
