DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,58.7,59,58.7,58.9,58.8,"360,936"
2019-06-27,58.8,58.8,58.3,58.4,58.6,"182,376"
2019-06-26,58.2,58.5,58.1,58.5,58.4,"199,246"
2019-06-25,58.2,58.8,58.2,58.5,58.3,"244,664"
2019-06-24,58.4,59.5,58.3,59,58.5,"152,954"
2019-06-23,58.6,59.1,58.2,58.3,58.6,"203,454"
2019-06-20,58.3,59.4,58.2,58.9,58.3,"284,228"
2019-06-19,58.9,59,57.9,58.1,58.5,"337,649"
2019-06-18,58.1,59,58,58.5,58.2,"366,375"
2019-06-17,58.3,59.5,58.2,58.4,58.6,"305,933"
2019-06-16,58.1,60.5,58.1,60.5,58.4,"560,055"
2019-06-13,59.9,61,59.6,60.4,59.9,"382,501"
2019-06-12,60.7,60.9,60,60.7,60.6,"364,254"
2019-06-11,61,61.7,60.3,61.5,60.6,"441,488"
2019-06-10,61.5,61.6,60.2,60.4,61.5,"416,715"
2019-06-09,60.7,60.7,58.9,59.9,60.3,"241,038"
2019-05-30,59.6,60.7,59.1,60.2,59.3,"435,979"
2019-05-29,60.3,61.2,60,60.6,60.1,"267,038"
2019-05-28,60.7,61.6,60.1,61.1,60.6,"447,036"
2019-05-27,60.9,61.6,60.9,61.2,61.1,"385,872"
2019-05-26,61.2,61.8,60.8,61.1,61.2,"665,942"
2019-05-23,61.4,61.5,59.9,60.6,61.2,"632,772"
2019-05-22,60.7,60.9,58,59.7,60.6,"865,320"
2019-05-21,59.8,60.9,59.6,60.7,59.7,"738,019"
2019-05-20,61,61.8,60.5,61.8,60.9,"680,008"
2019-05-19,62.3,62.5,60.1,61.5,61.7,"1,364,053"
2019-05-16,61.4,64,60.5,63.5,61.1,"1,509,423"
2019-05-15,63.3,65.1,62.9,64.2,63.2,"596,870"
2019-05-14,64.5,66.1,63.9,65.8,64.1,"912,374"
2019-05-13,65.7,68,64.7,66.7,65.1,"1,107,116"
2019-05-12,66.5,66.8,63.4,63.4,66.3,"1,973,757"
2019-05-09,62.9,64.2,62.7,64,63,"1,373,545"
2019-05-08,64.7,66.3,63.1,64,64,"1,537,982"
2019-05-07,64.3,66.9,61,61,63.8,"3,016,767"
2019-05-06,60.9,61.8,60,61.8,60.9,"1,107,658"
2019-05-05,61.9,62,60.7,61.4,61.8,"1,071,668"
2019-05-02,60.7,62.6,60.3,61.9,60.9,"732,403"
2019-04-30,61.1,61.6,60.2,60.5,61,"1,073,021"
2019-04-29,59.4,61.5,58.6,61,59.8,"405,075"
2019-04-28,61,61.5,59.8,60,61.3,"1,415,839"
2019-04-25,59.8,60,57.9,58,59.7,"732,628"
2019-04-24,58.3,58.3,57.1,57.6,58.2,"643,194"
2019-04-23,57.6,58,56.8,56.8,57.6,"244,424"
2019-04-21,57.5,58.3,56.9,58,57.3,"190,400"
2019-04-18,58,58.4,55.4,55.4,57.9,"358,859"
2019-04-17,56.1,56.2,53.9,56,55.8,"59,586"
2019-04-16,54,54.5,53.8,54.5,53.9,"30,209"
2019-04-15,54.5,56,54.5,56,54.7,"34,200"
2019-04-11,55.5,55.6,54,54.9,55.3,"77,606"
2019-04-10,54.3,56,54.2,56,54.3,"126,983"
2019-04-09,56.1,56.3,55.8,56,55.9,"123,901"
2019-04-08,56.2,56.7,55.6,56.7,55.9,"162,194"
2019-04-07,56.4,57.3,56.4,56.8,56.5,"72,352"
2019-04-04,56.6,57.5,56.2,56.5,56.9,"125,360"
2019-04-03,57.3,57.8,56.3,57.8,57,"339,271"
2019-04-02,57.2,57.9,57.1,57.6,57.1,"144,723"
2019-04-01,57.7,58.6,57.1,57.2,57.3,"228,270"
2019-03-31,57.8,58.6,57.6,58,57.8,"121,227"
2019-03-28,58.1,59,58,59,58.2,"195,096"
2019-03-27,58.1,60,58,60,58.5,"119,346"
2019-03-25,58.9,60,58.1,58.1,59.1,"560,999"
2019-03-24,59,59.1,57.5,57.9,58.4,"843,390"
2019-03-21,56.9,57.9,56.9,57.2,57,"55,319"
2019-03-20,57.3,58.1,57.2,57.2,57.3,"81,130"
2019-03-19,58,58.1,56.6,57.4,57.9,"237,121"
2019-03-18,57,57.8,56.6,57.1,57.2,"223,959"
2019-03-14,56.9,58.5,56.7,56.7,57,"165,327"
2019-03-13,57,59.4,57,58.6,57.3,"260,362"
2019-03-12,58.2,59.9,58,59.2,58.1,"468,903"
2019-03-11,58.3,60.2,57.1,57.8,59.2,"1,323,331"
2019-03-10,57.1,58.5,57.1,58,57.5,"162,477"
2019-03-07,56.5,57.2,56.2,57.2,56.6,"121,503"
2019-03-06,57,57.5,56.2,56.6,56.5,"227,752"
2019-03-05,56.3,57.4,56.1,57.4,56.6,"207,186"
2019-03-04,56.1,58,56.1,58,56.5,"234,859"
2019-03-03,57.6,58.3,57.2,57.8,57.7,"316,706"
2019-02-27,57.7,58.1,57.2,58.1,57.4,"235,988"
2019-02-26,57.3,58.4,56.4,56.5,57.6,"316,598"
2019-02-25,57,57.7,56.5,57.6,57,"434,927"
2019-02-24,57.5,59,57.3,59,57.7,"325,725"
