DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,40,40.5,38.5,39.3,39.9,"233,145"
2019-06-27,38.3,39.3,36,36,39.3,"234,664"
2019-06-26,35.9,37,35.6,36.1,35.8,"30,217"
2019-06-25,36.1,37.5,36.1,36.1,36.1,"122,998"
2019-06-24,37.3,37.4,35.4,36.1,36.9,"319,226"
2019-06-23,37.4,39,35.5,38,36.8,"257,997"
2019-06-20,37,39,36.7,38.2,38,"224,593"
2019-06-19,38,38.9,36.1,36.8,38.4,"349,720"
2019-06-18,38.2,40.5,36.1,40,37.2,"945,769"
2019-06-17,39.6,41,38.2,38.2,39.5,"284,503"
2019-06-16,38.3,39.1,35.8,35.8,38.2,"684,401"
2019-06-13,35.6,36.3,34.3,36,35.6,"78,504"
2019-06-12,35.4,35.4,33.8,34.8,35.3,"101,614"
2019-06-11,34.9,35.4,34,34.1,34.8,"129,931"
2019-06-10,34.1,34.2,31.1,31.2,34.1,"80,561"
2019-06-09,32.2,34.4,32.1,33.5,32.6,"2,581"
2019-05-30,33.9,33.9,32.4,32.4,33.3,"245,364"
2019-05-29,32.5,33.3,31.8,32,32.4,"138,321"
2019-05-28,32,32.5,31.6,31.6,32.1,"60,949"
2019-05-27,31.8,32.3,31.3,31.8,31.6,"30,361"
2019-05-26,32.3,32.3,30.7,30.7,31.6,"52,870"
2019-05-23,31.6,31.6,30.2,31.2,30.7,"92,587"
2019-05-22,31.4,31.4,30.1,30.2,31.2,"45,562"
2019-05-21,30.5,30.5,29.5,29.5,30.2,"51,315"
2019-05-20,30.1,31.3,30,30,30.1,"28,746"
2019-05-19,31,32.6,29.7,30.9,31.3,"117,854"
2019-05-15,31,33.4,30.8,31.1,32.6,"201,408"
2019-05-14,31,31.2,30.2,30.2,31.1,"162,019"
2019-05-13,31.1,31.2,30.7,31.2,31,"82,511"
2019-05-12,30.9,31.2,30.5,30.5,31,"41,265"
2019-05-09,30.2,30.9,30.2,30.7,30.4,"33,623"
2019-05-08,30.1,33,29.9,33,30.1,"50,254"
2019-05-07,30.4,30.9,30,30.3,30.1,"31,540"
2019-05-06,30.5,31.4,30.1,30.5,30.7,"67,597"
2019-05-05,30.6,31,29.3,29.8,30.1,"66,907"
2019-05-02,29.2,29.2,28.7,29,28.9,"49,032"
2019-04-30,29.7,29.7,28.2,28.3,28.7,"10,987"
2019-04-29,28.2,28.8,27.9,28.1,28.3,"10,482"
2019-04-28,27.8,29,27.8,28.5,27.9,"23,268"
2019-04-25,28.2,30,27.2,29.2,28.9,"20,730"
2019-04-24,29.5,29.9,29.2,29.7,29.7,"29,229"
2019-04-23,29.7,31.9,29.4,30.6,29.6,"32,616"
2019-04-21,30,31.7,29.8,31.7,29.9,"24,604"
