DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,131,135.9,130,133,131.1,"76,384"
2019-06-27,132.6,135.8,128,128,132.5,"92,210"
2019-06-26,128,133.5,126.8,128,127.4,"29,707"
2019-06-25,127.6,128.5,124.4,128.5,125.2,"61,057"
2019-06-24,129.6,132.3,129.2,132.3,130.2,"65,436"
2019-06-23,131.5,140,131.5,140,132.2,"197,728"
2019-06-20,130.5,138,129,133.6,131.2,"216,392"
2019-06-19,130,134.8,121.5,126,132.2,"652,409"
2019-06-18,121.5,125,118,120,123.7,"44,698"
2019-06-17,117.1,124.7,116.1,124.7,117.4,"66,016"
2019-06-16,116,130,116,130,118.2,"84,637"
2019-06-13,128.3,131.5,127.3,131.4,128.4,"45,951"
2019-06-12,130.5,131.7,127,129.9,129.8,"84,892"
2019-06-11,128.8,132.9,127,132,127.4,"73,320"
2019-06-10,132.9,133.9,126.1,132,131.9,"94,705"
2019-06-09,130.4,131.7,123.5,125.8,130.6,"121,412"
2019-05-30,122.4,122.9,117.8,120,120.7,"20,934"
2019-05-29,117.1,122.4,116.5,122.4,117.3,"7,380"
2019-05-28,118,122,117.2,122,117.5,"4,123"
2019-05-27,118.5,126.1,118.4,126,120.2,"46,420"
2019-05-26,123.5,124.7,116.9,116.9,122.9,"27,951"
2019-05-23,115.8,115.8,112.2,115,114.2,"2,580"
2019-05-22,115,116.7,115,116.7,115.2,198
2019-05-21,113.4,115,113.4,114,114.4,"1,075"
2019-05-20,113,113,112.5,112.6,112.9,"1,925"
2019-05-19,116.9,117,115,115,115.2,"5,618"
2019-05-16,115,116.9,112,113,112.3,"5,877"
2019-05-14,113.1,117,113.1,117,115.8,"1,051"
2019-05-13,116.7,116.7,116.7,116.7,116.7,201
2019-05-12,113,113,113,113,113,215
2019-05-09,117.2,117.5,112.4,117.5,114.9,"2,385"
2019-05-08,112,116,112,116,112.9,"11,000"
2019-05-07,118,118.6,116,117,116.6,"6,359"
2019-05-06,120.1,122,115.7,122,118.9,"2,381"
2019-05-05,121,123,113,114.9,117.4,"30,148"
2019-05-02,115.9,115.9,110.7,115.5,114.8,"3,295"
2019-04-30,114,114.9,108,113,112.6,"21,219"
2019-04-29,111.1,114.9,111,114.5,112.6,"2,836"
2019-04-28,115.5,118.3,115,115.3,115.5,"5,131"
2019-04-25,117,117.7,115.2,116.1,116.3,"8,726"
2019-04-24,117.9,118,115.9,116.1,116.5,"10,840"
2019-04-23,118.7,118.7,115.2,115.2,115.9,"2,651"
2019-04-21,117.2,119.8,117.2,119.8,117.6,"3,851"
2019-04-18,121,121,118,119,119.8,"1,475"
2019-04-17,115.3,120,114.5,120,115,"13,259"
2019-04-16,120.8,120.8,117,118,118,"2,255"
2019-04-15,119.5,121.8,119.2,119.3,120.6,"26,161"
2019-04-11,120.6,122.5,118.4,122.5,119.9,"3,930"
2019-04-10,117.8,118.9,117.3,117.3,117.6,"10,336"
2019-04-09,117,119,116.5,117,117.3,"13,346"
2019-04-08,119.4,119.4,115.6,115.9,115.9,"28,478"
2019-04-07,119.6,119.6,116.1,116.9,116.3,"5,748"
2019-04-04,120.7,120.7,118.1,118.1,118.5,"3,637"
2019-04-03,117.9,120.5,117.9,118.6,117.9,"26,417"
2019-04-02,119.1,122.2,117.3,122.2,117.8,"5,326"
2019-04-01,123.8,123.9,117.6,120.8,122,"11,301"
2019-03-31,117.9,121.6,117.6,119.5,118.1,834
