DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,69.2,74,69,72.5,72.6,"3,225"
2019-06-27,69.1,73.7,69,73.7,69.9,"3,400"
2019-06-26,70.5,71.1,70,71.1,70.5,81
2019-06-25,71,75.9,69,69,71.6,"1,129"
2019-06-24,72.7,72.7,68.4,72,71.1,830
2019-06-20,73,73,71,72,72.8,"5,545"
2019-06-19,70,70,69.1,69.1,70,101
2019-06-18,70.1,75.9,70.1,72.5,70.3,"2,601"
2019-06-17,70.9,71.3,70.9,71.3,71.1,269
2019-06-16,71,71.5,70.1,70.1,71.3,301
2019-06-13,72,72.9,71.5,71.5,72,"1,218"
2019-06-12,71.5,73.8,71.5,73.8,71.9,"1,254"
2019-06-11,74.6,75.4,72,75.4,73.8,710
2019-06-10,71.9,72,70.5,70.6,71.8,"2,411"
2019-06-09,69.9,70.8,69.8,70.8,70.1,400
2019-05-30,71.6,71.9,68.1,70,70.2,"2,105"
2019-05-29,72.3,72.3,66.7,67.1,66.8,"5,760"
2019-05-28,66.6,67.7,66,67.2,67,"9,465"
2019-05-27,68.3,68.9,68,68.9,68.3,"2,605"
2019-05-26,68.8,70,68.6,70,68.9,585
2019-05-23,71.4,71.4,70,70,70.8,626
2019-05-22,70,70,70,70,70,116
2019-05-21,68.5,69,68.5,69,68.7,350
2019-05-20,70.4,72,70.4,72,70.4,"10,280"
2019-05-19,72,72,67.6,71.1,68.2,"1,139"
2019-05-16,70.2,70.4,70.1,70.1,70.2,"2,150"
2019-05-15,74.8,75,68.5,68.5,74.3,"3,649"
2019-05-14,69.5,70.9,68.5,70.9,70.1,652
2019-05-12,70.2,70.3,70.2,70.3,70.3,150
2019-05-09,72,72,70.1,70.1,71.9,"12,825"
2019-05-08,70,70,70,70,70,660
2019-05-07,70,70.2,70,70.1,70.1,"7,535"
2019-05-06,70.1,71.8,70.1,71.8,70.2,"5,200"
2019-05-02,72.2,72.2,70.1,70.1,71.8,"6,342"
2019-04-30,69.1,71,69.1,70.8,70.1,"1,500"
2019-04-29,68.5,70.4,68,68,69.2,"6,716"
2019-04-28,67.7,68.1,67.6,67.7,67.9,"4,315"
2019-04-25,69.7,70,67.6,70,67.7,"12,147"
2019-04-24,68.5,70.2,68.5,70.2,68.5,"6,825"
2019-04-23,70.4,73,70.3,73,70.4,"6,486"
2019-04-21,73,77,73,77,73,"11,201"
2019-04-18,78,78,76,76,76.1,301
2019-04-17,76,76,72.5,76,75.4,"1,349"
2019-04-16,76.8,76.8,76,76,76.4,2
2019-04-15,72.5,72.5,72.5,72.5,72.5,200
2019-04-11,72,72,72,72,72,50
2019-04-10,73.2,73.4,73.2,73.2,73.3,633
2019-04-09,72.6,72.6,72.6,72.6,72.6,73
2019-04-08,74.9,75,74.9,75,74.9,880
2019-04-07,76.1,76.1,76.1,76.1,76.1,105
2019-04-04,77.8,77.8,75.8,75.8,76.9,"1,096"
2019-04-03,75.7,76.1,75.1,76.1,75.4,"2,574"
2019-04-02,76.2,78.9,76,76,76.3,380
2019-04-01,76.7,81,76.7,81,77.1,"3,014"
2019-03-31,76.6,84.6,76.6,82,82.8,"12,703"
2019-03-28,79,79.2,75,75,78.9,"8,260"
2019-03-27,78.9,82,75.5,79,75.6,"30,740"
2019-03-25,79,79,75.2,79,78.4,"1,925"
2019-03-24,83.7,83.7,74.4,74.5,78.7,"19,094"
2019-03-21,77.5,78,77,78,77.1,"4,231"
2019-03-20,77.9,77.9,72,76.7,77.5,"11,801"
2019-03-18,67.8,75,67.8,75,72.2,"1,350"
2019-03-14,75.4,75.4,75.3,75.3,75.3,450
2019-03-13,76,76.3,76,76,76,"12,044"
2019-03-12,76,78,76,77.8,76.1,"25,340"
2019-03-11,78,78,78,78,78,100
2019-03-10,78.4,78.4,75.1,76.1,77.5,"2,170"
2019-03-07,78,79,75.1,78,76,"19,390"
2019-03-06,76.6,78,76.5,78,76.5,"9,665"
2019-03-05,77,77,76.6,77,77,"13,695"
2019-03-04,76.4,76.8,76.4,76.8,76.6,171
2019-03-03,76.8,77,76.7,76.7,76.8,"1,711"
2019-02-27,75.6,79.9,75.2,77,79.7,"65,076"
2019-02-26,77.2,77.6,76.1,77.3,77.5,"10,083"
2019-02-25,77,77,76.1,76.1,76.9,"11,105"
2019-02-24,76.2,79,76.1,79,76.1,"24,745"
2019-02-20,78,78.1,76.4,76.4,78,"62,657"
2019-02-19,76,77,76,77,77,"64,655"
2019-02-18,76.3,77.2,75.5,76,76.9,"64,436"
2019-02-17,74.8,76,74.6,74.7,75.1,"2,741"
2019-02-14,76.8,76.8,75.3,76,75.7,"8,361"
2019-02-13,75.4,76.5,75.2,76.5,76,"6,990"
2019-02-12,75.1,78,75.1,78,75.2,"34,796"
2019-02-11,74.9,78.7,74.9,77,76.1,"21,600"
2019-02-10,76.5,79,76.5,78.8,76.5,"8,290"
2019-02-07,76.5,79,76.4,76.6,78.1,"14,830"
