DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,9.1,9.6,9.1,9.4,9.1,"241,376"
2019-06-27,9.5,9.6,9.4,9.4,9.5,"247,657"
2019-06-26,9.5,10,9.5,10,9.5,"1,056,940"
2019-06-24,10.3,10.5,10,10.5,10.2,"664,343"
2019-06-23,10.3,10.8,10.3,10.8,10.4,"263,527"
2019-06-20,10.6,11,10.6,11,10.6,"894,613"
2019-06-19,11,11.3,10.9,10.9,11.1,"1,493,594"
2019-06-18,10.8,10.9,10.5,10.6,10.8,"1,233,417"
2019-06-17,10.5,11,10.4,10.8,10.6,"1,154,390"
2019-06-16,10.6,11.7,10.6,11.7,10.8,"2,388,869"
2019-06-13,11.8,11.8,11.3,11.3,11.7,"2,190,136"
2019-06-12,11.3,11.4,10.7,11.1,11.2,"2,504,537"
2019-06-11,11.1,11.2,10.8,10.9,11,"1,295,252"
2019-06-10,10.8,11,10.5,11,10.8,"1,790,001"
2019-06-09,11.3,11.6,10.9,11.2,11.2,"1,035,479"
2019-05-30,11.2,11.2,9.8,10.3,11.1,"4,551,189"
2019-05-29,9.4,9.6,9.1,9.6,9.4,"679,281"
2019-05-28,9.3,9.6,9.3,9.3,9.4,"904,925"
2019-05-27,9.2,9.9,9.1,9.9,9.3,"883,572"
2019-05-26,9.7,9.9,9.5,9.5,9.8,"1,599,394"
2019-05-23,9.2,9.2,8.5,8.5,9.2,"1,173,239"
2019-05-22,8.5,8.5,8.2,8.3,8.4,"218,642"
2019-05-21,8.2,8.3,8.1,8.1,8.2,"124,924"
2019-05-20,8.3,8.9,8.1,8.8,8.3,"390,338"
2019-05-19,8.6,8.6,8,8.3,8.6,"615,685"
2019-05-16,8,8,7.6,7.8,7.9,"323,294"
2019-05-15,7.7,7.9,7.4,7.5,7.7,"207,058"
2019-05-14,7.5,7.7,7.3,7.6,7.4,"116,446"
2019-05-13,7.6,7.8,7.6,7.8,7.7,"89,799"
2019-05-12,7.9,7.9,7.7,7.8,7.8,"111,066"
2019-05-09,7.6,7.8,7.5,7.6,7.6,"22,006"
2019-05-08,7.6,7.8,7.5,7.7,7.6,"48,364"
2019-05-07,7.7,7.9,7.5,7.8,7.6,"94,082"
