DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,6.4,6.4,6.2,6.2,6.3,"8,703"
2019-06-27,6.4,6.4,6.1,6.3,6.3,"106,508"
2019-06-26,6.2,6.4,6.2,6.3,6.2,"31,344"
2019-06-25,6.2,6.4,6.2,6.4,6.2,"126,950"
2019-06-24,6.2,6.4,6.1,6.1,6.3,"74,155"
2019-06-23,6.1,6.3,6.1,6.2,6.1,"21,101"
2019-06-20,6.2,6.3,6.1,6.3,6.2,"5,511"
2019-06-19,6.2,6.3,6.1,6.3,6.2,"45,664"
2019-06-18,6.3,6.3,6.1,6.3,6.2,"14,603"
2019-06-17,6.1,6.3,6.1,6.2,6.2,"15,459"
2019-06-16,6.3,6.3,6.1,6.1,6.2,"7,350"
2019-06-13,6.2,6.3,6.1,6.3,6.2,"52,057"
2019-06-12,6.1,6.3,6.1,6.2,6.1,"116,138"
2019-06-11,6.3,6.4,6.3,6.3,6.3,"6,787"
2019-06-10,6.3,6.4,6.2,6.2,6.3,"38,138"
2019-06-09,6.2,6.2,6,6,6.2,"14,550"
2019-05-30,6,6.1,6,6,6.1,"3,745"
2019-05-29,6,6,6,6,6,"4,000"
2019-05-28,6,6,5.9,6,6,666
2019-05-27,6,6,6,6,6,"10,490"
2019-05-26,5.9,5.9,5.8,5.9,5.9,"25,338"
2019-05-23,6.1,6.1,5.9,6,6,"7,680"
2019-05-22,6,6.1,6,6,6,"17,513"
2019-05-21,6.1,6.1,5.9,5.9,6,"10,809"
2019-05-20,5.9,6,5.8,6,5.9,"10,200"
2019-05-19,6.1,6.1,5.8,6.1,6,527
2019-05-16,5.9,6,5.9,6,5.9,826
2019-05-15,5.9,6,5.8,6,5.9,"7,474"
2019-05-14,5.9,6.1,5.9,6,5.9,"5,133"
2019-05-13,6.1,6.1,5.9,6,6,"3,065"
2019-05-12,6.1,6.1,6,6,6,"4,754"
2019-05-09,6.1,6.1,5.9,5.9,5.9,"3,762"
2019-05-08,5.9,6.1,5.9,6.1,5.9,91
2019-05-07,6,6,6,6,6,"2,860"
2019-05-06,5.9,6.1,5.9,5.9,6,"15,002"
2019-05-05,6.1,6.2,6,6.1,6.1,"24,841"
2019-05-02,6,6,5.8,6,6,"9,660"
2019-04-30,6,6,5.8,6,5.9,"49,750"
2019-04-29,6,6.1,5.8,6.1,5.8,"5,770"
2019-04-28,6,6.1,6,6,6,"6,670"
2019-04-25,5.9,6,5.9,5.9,5.9,"4,630"
2019-04-24,5.9,6,5.9,6,6,130
2019-04-23,6.1,6.1,5.8,6.1,5.8,"1,630"
2019-04-21,5.8,6.1,5.8,6.1,5.8,"1,275"
2019-04-18,6,6,5.8,6,5.8,"2,900"
2019-04-17,6,6.1,5.8,6.1,5.8,570
2019-04-16,5.8,5.8,5.8,5.8,5.8,"20,472"
2019-04-15,5.8,6,5.8,6,5.8,"19,341"
2019-04-11,6,6,6,6,6,10
2019-04-10,5.9,5.9,5.8,5.8,5.8,"5,500"
2019-04-09,5.8,6,5.8,5.8,5.8,"7,018"
2019-04-08,6,6,6,6,6,500
2019-04-07,5.8,6.1,5.8,6.1,5.8,"44,105"
2019-04-04,6,6.1,5.9,5.9,6,"13,532"
2019-04-03,5.9,6,5.9,6,5.9,"67,300"
2019-04-02,6.1,6.1,6,6.1,6,"1,718"
2019-04-01,6,6,6,6,6,"1,000"
2019-03-31,6,6,6,6,6,"7,000"
2019-03-28,6,6,6,6,6,"3,500"
2019-03-27,5.9,6.1,5.9,6,5.9,"2,644"
2019-03-25,6,6.1,5.9,6,6,"3,550"
2019-03-24,6.1,6.1,5.9,6,5.9,"48,050"
2019-03-21,6.1,6.2,5.9,6.1,6,"65,766"
2019-03-20,6.2,6.2,6.1,6.1,6.1,"24,891"
2019-03-19,6.1,6.3,6.1,6.2,6.1,"51,009"
2019-03-18,6.2,6.3,6.2,6.2,6.3,"5,000"
2019-03-14,6.3,6.3,6.3,6.3,6.3,"1,000"
2019-03-13,6.5,6.5,6.4,6.4,6.4,"54,900"
2019-03-12,6.4,6.4,6.4,6.4,6.4,"11,300"
2019-03-11,6.5,6.5,6.5,6.5,6.5,"152,934"
2019-03-10,6.5,6.5,6.3,6.5,6.5,"14,264"
2019-03-07,6.3,6.3,6.3,6.3,6.3,"1,786"
2019-03-06,6.5,6.5,6.2,6.2,6.4,"121,923"
2019-03-05,6.3,6.4,6.2,6.2,6.3,"21,054"
2019-03-04,6.3,6.3,6.2,6.2,6.3,"31,969"
2019-03-03,6.4,6.4,6.2,6.4,6.2,"36,018"
2019-02-27,6.4,6.4,6.2,6.2,6.3,"31,756"
2019-02-26,6.3,6.3,6.1,6.2,6.3,"52,644"
2019-02-25,6.2,6.3,6.2,6.2,6.2,"4,899"
2019-02-24,6.2,6.3,6.2,6.3,6.2,"16,094"
2019-02-20,6.2,6.3,6.2,6.2,6.2,"36,415"
2019-02-19,6.3,6.3,6.2,6.2,6.2,"76,418"
2019-02-18,6.1,6.3,6.1,6.3,6.2,"30,018"
2019-02-17,6.2,6.3,6.1,6.1,6.1,"22,500"
2019-02-14,6.2,6.3,6.1,6.3,6.1,"25,738"
2019-02-13,6.1,6.2,6,6.1,6,"117,534"
2019-02-12,6.1,6.2,6.1,6.1,6.1,"13,500"
2019-02-11,6.1,6.4,6.1,6.4,6.2,"24,662"
2019-02-10,6.2,6.4,6.2,6.4,6.2,"33,818"
2019-02-07,6.2,6.2,6.2,6.2,6.2,"15,174"
2019-02-06,6.2,6.3,6.2,6.2,6.2,"22,900"
2019-02-05,6.3,6.4,6.1,6.1,6.3,"31,831"
2019-02-04,6.3,6.4,6.1,6.4,6.3,"55,708"
2019-02-03,6.3,6.3,6.1,6.2,6.2,"28,828"
2019-01-31,6.3,6.4,6.1,6.1,6.1,"90,787"
2019-01-30,6.1,6.4,6,6.3,6.1,"431,200"
2019-01-29,6.4,6.4,6.2,6.3,6.4,"29,121"
2019-01-28,6.5,6.6,6.2,6.6,6.3,"139,971"
2019-01-27,6.5,6.7,6.3,6.7,6.4,"190,333"
2019-01-24,6.5,6.6,6.4,6.6,6.5,"16,730"
2019-01-23,6.6,6.6,6.3,6.3,6.5,"78,485"
2019-01-22,6.4,6.5,6.3,6.4,6.3,"56,305"
2019-01-21,6.4,6.7,6.4,6.7,6.4,"104,494"
2019-01-20,6.7,6.7,6.3,6.6,6.5,"177,788"
2019-01-17,6.3,6.6,6.3,6.6,6.3,"136,857"
2019-01-16,6.5,6.5,6.3,6.5,6.4,"270,251"
2019-01-15,6.4,6.8,6.4,6.5,6.4,"414,604"
2019-01-14,6.7,6.7,6.5,6.7,6.7,"5,926"
2019-01-13,6.7,6.7,6.4,6.7,6.5,"7,535"
