DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,18.9,19.2,18.8,19,19,"511,706"
2019-06-27,19,19,18.8,19,19,"271,775"
2019-06-26,18.8,19,18.8,18.8,18.8,"80,047"
2019-06-25,18.9,19,18.7,18.9,18.8,"233,361"
2019-06-24,18.9,19,18.8,18.9,18.9,"271,497"
2019-06-23,18.8,19,18.7,18.8,18.9,"290,348"
2019-06-20,18.9,18.9,18.7,18.8,18.8,"184,901"
2019-06-19,18.7,18.9,18.7,18.7,18.8,"81,345"
2019-06-18,18.8,18.8,18.5,18.5,18.8,"735,614"
2019-06-17,18.6,18.7,18.5,18.6,18.7,"662,232"
2019-06-16,18.7,18.8,18.5,18.7,18.7,"1,571,437"
2019-06-13,18.9,18.9,18.6,18.7,18.7,"482,589"
2019-06-12,18.8,19,18.6,18.7,18.8,"478,992"
2019-06-11,18.7,18.8,18.5,18.7,18.7,"336,553"
2019-06-10,18.8,18.8,18.5,18.6,18.7,"281,049"
2019-06-09,18.8,18.9,18.5,18.5,18.8,"114,034"
2019-05-30,18.6,18.8,17.7,18.4,18.7,"743,955"
2019-05-29,18.4,18.9,18.3,18.6,18.8,"1,124,163"
2019-05-28,18.3,18.5,18,18,18.4,"614,623"
2019-05-27,18.1,18.1,17.7,17.9,18,"630,416"
2019-05-26,17.7,18.1,17.4,17.6,17.9,"1,185,952"
2019-05-23,17.5,17.5,17.3,17.3,17.4,"359,460"
2019-05-22,17.5,17.5,17.2,17.2,17.4,"477,241"
2019-05-21,17.1,17.3,17,17.2,17.2,"257,696"
2019-05-20,17.3,17.5,17.1,17.1,17.3,"722,857"
2019-05-19,17.2,17.5,17,17.1,17.2,"1,670,102"
2019-05-16,16.8,16.9,16.4,16.8,16.8,"740,314"
2019-05-15,16.8,16.9,16.5,16.9,16.7,"2,035,993"
2019-05-14,17,17,16.5,17,16.8,"1,412,954"
2019-05-13,17,17,16.8,17,16.9,"702,643"
2019-05-12,17,17.3,16.7,17,17,"842,255"
2019-05-09,16.8,16.9,16.5,16.6,16.7,"770,150"
2019-05-08,16.7,16.8,16.4,16.8,16.5,"258,826"
2019-05-07,16.4,17,16.4,17,16.6,"301,546"
2019-05-06,16.8,17.4,16.8,17.4,17,"341,640"
2019-05-05,17.1,17.3,16.5,16.6,16.9,"300,212"
2019-05-02,16.7,16.7,15.7,16,16.6,"355,804"
2019-04-30,15.9,16.5,15.6,16.5,15.7,"455,106"
2019-04-29,16.4,16.8,15.9,16.8,16,"708,049"
2019-04-25,17.4,18.3,17.2,17.4,17.6,"1,609,632"
2019-04-24,17.6,17.6,16.9,17.3,17.4,"1,025,992"
2019-04-23,17.2,17.4,17,17.2,17.2,"376,183"
2019-04-21,17.2,17.8,17.1,17.8,17.2,"222,625"
2019-04-18,17.3,17.4,17,17.3,17.2,"174,263"
2019-04-17,17,17.3,16.9,17.3,16.9,"146,986"
2019-04-16,16.8,17.3,16.8,17.2,16.9,"193,360"
2019-04-15,17.4,17.7,17.2,17.7,17.2,"140,321"
2019-04-11,17.8,17.8,17.1,17.2,17.5,"133,508"
2019-04-10,17.1,17.7,17.1,17.7,17.2,"407,433"
2019-04-09,17.3,18.1,17,17.2,17.2,"432,926"
2019-04-08,17.4,17.4,16.9,17.1,17.1,"1,400,396"
2019-04-07,17.3,17.6,17.1,17.5,17.3,"279,699"
2019-04-04,17.4,18,17,17.4,17.4,"1,307,083"
2019-04-03,17.2,17.2,16.9,16.9,17.1,"214,786"
2019-04-02,17,17.2,16.8,17.2,16.9,"724,615"
2019-04-01,17,17.5,17,17.5,17,"137,793"
2019-03-31,17.3,17.8,17.1,17.4,17.3,"719,236"
2019-03-28,17.3,17.9,17.3,17.5,17.4,"204,336"
2019-03-27,17.8,17.9,17.2,17.9,17.7,"172,551"
2019-03-25,17.4,17.5,17.1,17.5,17.5,"549,075"
2019-03-24,17.3,17.8,17.3,17.4,17.4,"271,126"
2019-03-21,17.8,18.2,17.6,18.2,17.8,"264,818"
2019-03-20,17.9,18.6,17.9,18.6,18.1,"803,747"
2019-03-19,18.5,18.6,18.1,18.3,18.5,"945,187"
2019-03-18,18.3,18.4,18,18.1,18.3,"272,333"
2019-03-14,18.2,18.7,18.1,18.4,18.4,"403,991"
2019-03-13,18.4,18.5,18.1,18.4,18.3,"242,837"
2019-03-12,18.2,18.2,17.9,18.1,18.2,"950,424"
