DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,18.8,19.7,18.7,18.8,18.9,"965,812"
2019-06-27,18.8,19,18.4,18.4,18.8,"298,874"
2019-06-26,18.4,18.7,18.3,18.4,18.4,"346,759"
2019-06-25,18.3,18.9,18.2,18.7,18.3,"414,866"
2019-06-24,18.6,18.7,18.2,18.5,18.6,"297,483"
2019-06-23,18.2,18.8,18.2,18.8,18.3,"180,796"
2019-06-20,18.7,19.3,18.5,18.8,18.6,"477,290"
2019-06-19,18.7,19.9,18.7,19.7,18.9,"809,003"
2019-06-18,19.7,20.3,19.4,19.6,19.7,"1,131,961"
2019-06-17,19.5,19.8,18.3,19,19.4,"852,693"
2019-06-16,18.6,20.2,18.5,19.5,18.8,"1,297,604"
2019-06-13,19.5,19.9,18.2,18.3,19.5,"1,436,538"
2019-06-12,18,18.3,17.6,18.3,18.1,"920,185"
2019-06-11,18.3,18.7,17.9,18.3,18.3,"496,469"
2019-06-10,18.1,18.1,16.9,16.9,18.1,"1,872,871"
2019-06-09,16.8,16.8,16.2,16.2,16.5,"100,125"
2019-05-30,16.1,16.3,16,16.2,16.2,"144,568"
2019-05-29,16.5,16.5,16.1,16.4,16.3,"60,019"
2019-05-28,16.1,16.3,16,16,16.2,"66,605"
2019-05-27,16,16.2,15.8,15.9,16,"102,970"
2019-05-26,16,16.3,16,16.3,16,"55,059"
2019-05-23,16.2,16.2,16,16.2,16.1,"73,408"
2019-05-22,16.1,16.2,16,16.1,16.1,"67,880"
2019-05-21,16,16.2,16,16.2,16,"135,246"
2019-05-20,16.2,16.4,16.2,16.3,16.2,"60,466"
2019-05-19,16.2,16.5,16.1,16.3,16.3,"104,098"
2019-05-16,16.2,16.3,16,16.3,16.2,"127,570"
2019-05-15,16.1,16.1,16.1,16.1,16.1,"67,751"
2019-05-14,16.2,16.2,16,16.2,16.2,"90,194"
2019-05-13,16.3,16.4,16.2,16.3,16.2,"165,881"
2019-05-12,16.3,16.7,16.1,16.2,16.3,"195,713"
2019-05-09,16.1,16.5,16,16.5,16.2,"153,289"
2019-05-08,16.1,16.5,16,16.4,16.2,"206,629"
2019-05-07,16.3,16.9,16.1,16.9,16.3,"272,985"
2019-05-06,16.8,17.1,16.6,16.8,16.7,"329,488"
2019-05-05,17,17.3,16.7,16.8,17.1,"404,976"
2019-05-02,16.6,16.6,15.4,15.7,16.6,"390,699"
2019-04-30,16.2,16.6,16.1,16.2,16.2,"297,166"
2019-04-29,16,16.7,15.9,16.7,16,"126,480"
2019-04-28,16.6,17.1,16.5,17.1,16.7,"311,978"
2019-04-25,17,17.5,16.8,17.5,16.9,"203,323"
2019-04-24,17,17.2,16.7,16.9,16.9,"110,608"
2019-04-23,16.8,17.4,16.8,17.4,16.9,"255,627"
2019-04-21,17.5,18.2,17.5,17.8,17.6,"219,798"
2019-04-18,17.8,17.9,17.2,17.2,17.8,"281,753"
2019-04-17,17.4,17.4,17,17.3,17.2,"235,337"
2019-04-16,17.4,17.4,17,17.3,17.2,"171,835"
2019-04-15,17.3,17.9,17.2,17.2,17.4,"357,594"
2019-04-11,17.2,17.6,16.8,16.8,17.3,"322,666"
2019-04-10,16.9,17.3,16.5,17,16.6,"205,930"
2019-04-09,16.7,17.7,16.7,17.3,16.9,"313,244"
2019-04-08,17.3,17.9,17.3,17.9,17.3,"243,508"
2019-04-07,17.6,18.8,17.5,18.6,17.7,"435,966"
2019-04-04,18.6,18.9,18.5,18.9,18.6,"340,328"
2019-04-03,18.9,19.5,18.7,19.5,18.8,"347,493"
2019-04-02,19.3,19.8,19,19,19.3,"511,909"
2019-04-01,18.9,19.3,18.8,18.9,18.9,"306,086"
