DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,19.4,19.6,19.3,19.5,19.4,"241,710"
2019-06-27,19.3,19.7,19.3,19.6,19.4,"302,347"
2019-06-26,19.3,19.6,19.3,19.5,19.4,"228,168"
2019-06-25,19.5,19.6,19.4,19.5,19.5,"98,757"
2019-06-24,19.5,19.6,19.5,19.6,19.6,"56,813"
2019-06-23,19.5,19.7,19.5,19.7,19.6,"105,647"
2019-06-20,19.7,20,19.7,19.9,19.7,"134,646"
2019-06-19,20,20,19.8,19.8,19.9,"66,917"
2019-06-18,20.1,20.1,19.7,20,19.9,"121,593"
2019-06-17,19.7,19.9,19.7,19.9,19.8,"160,794"
2019-06-16,19.9,20.4,19.9,20.4,20,"154,067"
2019-06-13,20.1,20.5,20.1,20.5,20.2,"200,779"
2019-06-12,20.3,20.5,20.2,20.4,20.3,"202,243"
2019-06-11,20.4,20.4,20.1,20.2,20.3,"269,654"
2019-06-10,20.2,20.3,20,20.3,20.1,"168,161"
2019-06-09,20.1,20.4,20,20.2,20.1,"161,624"
2019-05-30,20.1,20.1,19.8,20,20,"196,323"
2019-05-29,20.1,20.1,19.7,19.8,19.9,"256,068"
2019-05-28,19.8,20,19.8,19.8,19.9,"101,382"
2019-05-27,19.8,20.2,19.5,19.7,19.9,"403,372"
2019-05-26,19.7,20.2,19.5,20.2,19.6,"177,293"
2019-05-23,20.2,20.2,19.8,20.1,20,"133,771"
2019-05-22,20.1,20.1,19.9,20.1,19.9,"72,666"
2019-05-21,19.9,20.5,19.8,20.5,19.9,"397,223"
2019-05-20,20.2,20.4,20.1,20.3,20.1,"128,446"
2019-05-19,20.2,20.5,20.1,20.5,20.3,"313,260"
2019-05-16,20.2,20.4,20,20.2,20.2,"143,158"
2019-05-15,20.1,20.3,20,20.2,20.1,"202,825"
2019-05-14,20.2,20.5,20.1,20.4,20.3,"154,677"
2019-05-13,20.5,20.9,20.5,20.8,20.6,"292,512"
