DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,25.3,25.7,25.1,25.7,25.2,"415,663"
2019-06-27,25.2,25.5,25.1,25.2,25.4,"282,370"
2019-06-26,25.2,25.6,25,25.2,25.2,"340,587"
2019-06-25,25.2,25.4,25,25.1,25.3,"303,778"
2019-06-24,25,25.2,24.8,25,25,"365,256"
2019-06-23,24.9,25.3,24.9,25.2,25,"233,794"
2019-06-20,25.5,25.8,25.1,25.8,25.2,"517,777"
2019-06-19,25.6,26.5,25.5,26.5,25.6,"359,874"
2019-06-18,26,26.3,25,25.2,26.1,"1,512,847"
2019-06-17,25.3,25.5,24.5,25,25.2,"439,398"
2019-06-16,24.7,26.8,24.7,26.8,24.8,"466,970"
2019-06-13,25.4,25.5,24.6,24.8,25,"392,596"
2019-06-12,25,25.8,24.9,25.8,25,"281,461"
2019-06-11,25.3,25.9,25.3,25.5,25.4,"711,152"
2019-06-10,25.5,25.6,24.8,24.8,25.5,"648,340"
2019-06-09,24.7,24.8,24.5,24.5,24.7,"182,898"
2019-05-30,24.5,24.8,24.2,24.6,24.4,"216,759"
2019-05-29,24.5,25,24.4,25,24.5,"118,586"
2019-05-28,24.8,25.3,24.6,25.3,24.7,"189,292"
2019-05-27,25.2,25.2,24.5,24.6,25,"851,719"
2019-05-26,24.1,25.1,24.1,25,24.4,"133,430"
2019-05-23,24.9,25.5,24.6,25.5,24.7,"167,846"
2019-05-22,24.8,26,24.8,26,24.9,"144,371"
2019-05-21,25.3,25.5,24.9,25.4,25.2,"436,502"
2019-05-20,24.8,25.9,24.6,25.9,24.9,"192,156"
2019-05-19,25.5,25.6,24.9,25.4,25.5,"249,034"
2019-05-16,24.9,26,24.6,26,24.9,"179,163"
2019-05-15,24.9,26,24.6,26,24.9,"199,956"
2019-05-14,24.9,25.7,24.6,25.7,24.8,"231,691"
2019-05-13,25.6,26.2,25.1,25.7,25.6,"720,174"
2019-05-12,25.5,25.8,24.4,24.6,25.3,"469,620"
2019-05-09,24.5,24.8,24,24.7,24.2,"354,902"
2019-05-08,24.3,25,23.8,25,24.2,"224,224"
2019-05-07,24,25.9,23.9,25.5,24.1,"465,429"
2019-05-06,25.4,26.6,25.3,26.6,25.4,"366,674"
2019-05-05,26.4,27.2,26,27,26.3,"750,595"
2019-05-02,26.3,27.2,26.1,27.2,26.4,"728,330"
2019-04-30,26.3,26.4,25.7,25.9,26.2,"670,284"
2019-04-29,25.1,26.7,24.9,26.7,25.3,"309,566"
2019-04-28,26.4,27.7,26,27.7,26.4,"872,729"
2019-04-25,26.4,26.6,25,25.7,26.3,"1,158,189"
2019-04-24,24.8,25.4,23.7,25.4,24.8,"332,275"
2019-04-23,24.2,25.5,24.1,25.5,24.2,"331,551"
2019-04-21,25.5,26.9,25.2,26.9,25.6,"785,191"
2019-04-18,25.1,25.6,23.6,23.6,25.2,"1,261,287"
2019-04-17,24,24,22.7,23.3,23.6,"339,988"
2019-04-16,22.3,22.9,22,22.9,22.7,"292,324"
2019-04-15,23.4,23.9,23.3,23.9,23.4,"191,908"
2019-04-11,23.8,23.8,21.7,22,23.8,"1,193,720"
2019-04-10,21.7,23.4,21.4,23,21.7,"185,345"
2019-04-09,23.2,23.9,22.2,23.6,22.9,"251,998"
2019-04-08,23.8,23.8,23.2,23.5,23.6,"203,382"
2019-04-07,23.7,23.9,23.6,23.9,23.6,"52,164"
2019-04-04,24,24,23.6,23.8,23.9,"154,580"
2019-04-03,23.9,24.2,23.4,24,23.7,"347,659"
2019-04-02,24.2,25,23.8,23.8,24.2,"280,733"
2019-04-01,23.9,24,23.4,23.5,23.7,"348,325"
2019-03-31,23.6,23.6,23,23.4,23.3,"221,879"
2019-03-28,23.6,24,23.3,24,23.4,"157,949"
2019-03-27,24,24.4,23.5,24.4,23.8,"55,962"
2019-03-25,23.9,24.3,23.6,24.2,23.8,"101,201"
2019-03-24,23.7,24.6,23.7,24.5,23.8,"197,555"
2019-03-21,24.5,24.9,24.4,24.7,24.5,"58,351"
2019-03-20,24.6,25,24.4,25,24.7,"147,300"
2019-03-19,25.1,25.2,24.2,24.5,25,"274,702"
2019-03-18,24.6,25.3,24,25,24.5,"156,575"
2019-03-14,25,25.3,24.3,24.7,25,"523,150"
2019-03-13,24.8,25.5,24.4,25.4,24.6,"402,384"
2019-03-12,25.7,26.7,25.3,26.7,25.5,"334,249"
2019-03-11,26.4,27,26.1,27,26.3,"467,015"
2019-03-10,27.1,27.3,26.8,27,27.1,"334,836"
2019-03-07,26.8,27,26.4,27,26.6,"291,200"
2019-03-06,26.9,27.3,26.7,26.8,26.8,"444,810"
2019-03-05,26.7,27,25.7,26.6,26.8,"432,422"
2019-03-04,25.9,27.5,25.9,27.5,26.3,"579,020"
2019-03-03,27.3,28,27.2,27.9,27.4,"478,004"
2019-02-27,27.8,28.2,27.7,28,27.9,"435,966"
2019-02-26,27.8,28.5,27.8,28.2,28,"426,366"
2019-02-25,28.2,28.7,28,28.7,28.2,"369,436"
2019-02-24,28.6,29.5,28.3,29.4,28.5,"423,440"
2019-02-20,28.9,30,28.9,30,29.3,"890,996"
2019-02-19,30.2,30.3,29.6,30,30.1,"797,820"
2019-02-18,30.1,31,29.6,30.7,29.7,"1,779,281"
2019-02-17,30.2,30.9,30.1,30.3,30.7,"1,973,644"
2019-02-14,30.4,30.6,29.7,29.9,30.3,"2,969,020"
2019-02-13,29.8,30.7,29.5,30.4,29.7,"830,411"
2019-02-12,30,31.3,29.9,30.8,30,"1,672,168"
2019-02-11,31,31.8,30.6,31.6,30.8,"2,240,818"
2019-02-10,31.7,32.5,31.3,31.6,31.6,"3,441,446"
2019-02-07,31.6,31.6,29.5,29.5,30.9,"3,108,234"
2019-02-06,29.6,30.2,29.2,30.2,29.5,"903,656"
2019-02-05,29.9,31.2,29.6,30.8,29.8,"1,270,936"
2019-02-04,30.7,31.5,30.1,30.8,30.5,"2,128,911"
2019-02-03,30.9,32.1,30.5,30.9,30.7,"3,338,265"
2019-01-31,30.1,31.9,30,31.3,30.7,"4,465,670"
2019-01-30,31.4,31.5,30.2,30.2,31.3,"4,302,519"
2019-01-29,29.8,30.9,28.4,28.5,30,"3,982,119"
2019-01-28,28.6,29.6,28,28.4,28.3,"4,583,637"
2019-01-27,28.3,28.7,27.9,28.3,28.3,"3,215,561"
2019-01-24,28.4,28.5,27.3,28,28.2,"3,520,013"
2019-01-23,28.1,28.2,26.8,27.2,27.9,"6,481,440"
2019-01-22,27.2,27.2,26.3,26.6,27.1,"5,902,598"
2019-01-21,26.6,26.8,26.2,26.3,26.6,"2,961,656"
2019-01-20,26.1,26.3,24.8,25.2,26.1,"2,712,869"
2019-01-17,25.2,25.7,25,25.6,25.1,"1,018,309"
2019-01-16,25.3,26.4,25.2,25.6,25.4,"1,548,561"
2019-01-15,25.7,26.4,25.4,26,25.6,"1,896,285"
2019-01-14,26.4,27,26.1,26.5,26.2,"2,934,194"
2019-01-13,26.4,26.5,25.9,26.2,26.3,"5,521,077"
2019-01-10,26.3,26.3,25,25.2,26.1,"2,135,909"
2019-01-09,25.4,25.6,25.2,25.2,25.3,"1,631,464"
2019-01-08,25.5,26.2,24.9,26,25.2,"2,456,716"
2019-01-07,25.8,26.9,25.4,26.7,25.7,"3,000,951"
2019-01-06,26.5,27.3,26.4,26.6,26.5,"5,260,632"
2019-01-03,26.3,27.7,25.9,27.3,26.4,"12,286,718"
2019-01-02,27.1,27.2,26.6,26.8,27.1,"6,445,487"
2019-01-01,26.7,26.8,25.7,26.2,26.7,"4,650,306"
2018-12-27,25.9,25.9,25.2,25.5,25.8,"2,538,297"
2018-12-26,25.3,25.5,24,24,25.2,"2,999,923"
2018-12-24,24,24.1,23.7,24,23.9,"546,549"
2018-12-23,23.8,24.5,23.5,24.4,23.7,"709,688"
2018-12-20,24.3,24.8,24.1,24.3,24.3,"1,793,593"
2018-12-19,24.2,24.6,24.2,24.3,24.3,"496,326"
2018-12-18,24.1,24.4,23.6,24.1,24,"843,551"
2018-12-17,24.1,25.4,23.9,25.4,24.1,"927,163"
2018-12-13,25.6,26,25.1,25.3,25.4,"1,300,898"
2018-12-12,25.6,26.5,25.4,26.3,25.5,"1,103,455"
2018-12-11,26.3,26.3,25,26,25.8,"3,089,228"
2018-12-10,25.9,27,25.6,26.7,26,"3,041,592"
2018-12-09,26.9,27.9,26.4,27.7,26.7,"2,011,869"
2018-12-06,27.6,28.3,27.3,27.5,27.6,"6,734,995"
2018-12-05,27.5,27.8,26.6,27.1,27.3,"6,211,633"
2018-12-04,27.1,28.1,25.8,26.2,27,"6,007,537"
2018-12-03,25.6,26.4,25.3,26.2,25.7,"3,802,318"
2018-12-02,25.5,27.5,25.4,27.2,26,"6,513,080"
2018-11-29,26.8,28.4,26.5,27.6,26.9,"5,651,772"
2018-11-28,26.8,28.1,26.6,27.8,27.4,"4,870,224"
2018-11-27,27.5,28.5,26.5,26.8,27.5,"6,920,865"
2018-11-26,26.6,28,26.5,27.7,26.8,"4,381,590"
2018-11-25,27.5,27.5,24.6,25.4,27.4,"7,333,515"
2018-11-22,25.1,25.8,24.8,25.8,25.1,"6,653,680"
2018-11-19,25.2,26.3,24.6,25.7,25,"8,129,276"
