DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,46.5,47.5,45.6,45.6,47,"20,011"
2019-06-27,45.5,47.5,45.5,47.5,45.6,"103,391"
2019-06-26,46.7,46.7,45.5,46,45.9,"3,904"
2019-06-25,45.6,45.7,45.5,45.7,45.5,"6,040"
2019-06-24,45.8,47.9,45.6,47.9,45.9,"7,279"
2019-06-23,46,47.7,46,46.9,46.5,"20,729"
2019-06-20,46.2,47.4,46.2,47.1,46.6,"6,480"
2019-06-19,47.4,48.7,47,47.1,47.4,"5,690"
2019-06-18,48.9,50,47,47.1,48.7,"41,689"
2019-06-17,45.8,46.5,45.6,46.5,45.9,"28,743"
2019-06-16,46.6,48.6,46.4,48.6,47,"23,473"
2019-06-13,47.3,49.3,46.2,49.3,47.7,"15,695"
2019-06-12,47.1,48.1,47,48.1,47.1,"6,645"
2019-06-11,47.7,48.7,47.2,48.7,47.4,"10,581"
2019-06-10,48,49.3,47.4,47.4,47.9,"6,815"
2019-06-09,47.1,47.7,47,47.2,47.1,"3,707"
2019-05-30,46.9,48.7,46,48.7,46.4,"9,698"
2019-05-29,47,47.3,46.6,46.6,46.9,"3,901"
2019-05-28,46.5,47.3,46.5,47.3,47,"4,981"
2019-05-27,46.6,47.2,45,45,46.8,"13,563"
2019-05-26,46.5,47.3,46.5,46.5,46.5,"4,435"
2019-05-23,46.3,48.3,46.3,46.7,46.5,"5,100"
2019-05-22,46.8,47.3,46.6,46.6,46.9,"1,865"
2019-05-21,46.5,48.4,46.5,48.4,46.6,"6,878"
2019-05-20,46.7,49.2,46.7,49.2,47,"5,627"
2019-05-19,48.1,48.6,46.9,46.9,47.3,"30,465"
2019-05-16,47,49.4,46.7,49.4,46.8,"24,234"
2019-05-15,46.5,48.9,46.5,47.8,46.9,"19,326"
2019-05-14,48,50,48,50,48.3,"4,450"
2019-05-13,49.5,50.4,49,49.1,49,"12,701"
2019-05-12,50.5,50.6,47,47.1,50,"61,273"
2019-05-09,47.1,47.3,46.3,46.7,47,"20,656"
2019-05-08,47.2,48.1,46.2,46.6,46.4,"19,695"
2019-05-07,46.7,48.5,46.6,48,46.7,"30,248"
2019-05-06,48.1,49.8,47.7,48.4,48.1,"74,743"
2019-05-05,48.2,51.9,48.2,51.9,48.4,"59,280"
2019-05-02,50.3,50.7,48.8,50.7,49.3,"58,907"
2019-04-30,50.8,51,49.6,51,50.8,"135,186"
2019-04-29,48.4,50.6,48.4,50.4,49.5,"22,897"
2019-04-28,50.6,50.7,50.1,50.5,50.6,"32,005"
2019-04-25,50.6,51,49.1,51,50.6,"94,309"
2019-04-24,49.9,51.5,48.6,51.5,49.6,"27,512"
2019-04-23,50.3,51,47.7,49.8,50.3,"69,017"
2019-04-21,49.3,52.9,48.4,52.9,49.4,"23,881"
2019-04-18,50.3,50.8,49,49.5,50.4,"67,131"
2019-04-17,48.1,48.9,46.5,48.9,48,"25,097"
2019-04-16,47.2,47.3,46.8,46.9,47,"6,099"
2019-04-15,48.7,49,47.2,49,48.7,"2,994"
2019-04-11,48.4,49.7,46.7,48.2,49.1,"14,951"
2019-04-10,46.6,48.4,46.1,48,46.9,"8,005"
2019-04-09,48.6,48.6,48,48.2,48.3,"12,108"
2019-04-08,49.2,49.6,48,49.6,49,"31,663"
2019-04-07,49.3,50.3,48.4,50.3,49.2,"25,565"
2019-04-04,50.4,50.4,48.3,50,50.3,"34,944"
2019-04-03,49.6,50.1,47.7,50.1,49.1,"215,723"
2019-04-02,48.9,50.6,48.9,49.8,49,"18,428"
2019-04-01,48.4,50.3,48,48,48.5,"21,918"
2019-03-31,50.6,52,48,48.2,50.1,"45,049"
2019-03-28,51.6,51.6,47.5,50,50.8,"157,481"
2019-03-27,50,51.4,49.5,50.9,49.8,"14,377"
2019-03-25,50,51.3,49.3,51.3,50,"8,785"
2019-03-24,51.1,52,49.3,52,50,"8,091"
2019-03-21,50.8,51.9,47.9,50.4,50.7,"174,099"
2019-03-20,49.4,53,49.4,53,49.8,"21,835"
2019-03-19,50.9,53,50.7,53,50.9,"17,852"
2019-03-18,51.9,53,50.5,53,51.2,"5,434"
2019-03-14,51.8,53,51,51.6,51.3,"14,340"
2019-03-13,52.7,54,48.2,48.2,51.8,"28,575"
2019-03-12,53.2,55.1,53,55.1,53.2,"29,169"
2019-03-11,55,56,55,56,55.1,"28,701"
2019-03-10,55.3,57.9,55.3,57.9,55.7,"5,580"
2019-03-07,55.2,56,55,56,55.2,"71,935"
2019-03-06,56.7,57.7,54.8,55,56.9,"36,833"
2019-03-05,54.3,55.5,54.2,55.3,54.5,"41,333"
2019-03-04,56,56.9,55.5,56.9,56.1,"38,192"
2019-03-03,56.5,59.5,56.1,56.1,56.9,"12,433"
2019-02-27,56.6,59,56.6,59,56.8,"155,766"
2019-02-26,58.7,59.8,55.4,55.4,59.5,"160,112"
2019-02-25,57.4,58.2,56.8,58.2,57.3,"38,978"
2019-02-24,58.5,63.8,58.4,59.1,58.7,"8,745"
2019-02-20,60.4,62.2,57.9,62.2,59.1,"26,695"
2019-02-19,62.7,64,59.8,64,62.7,"1,638,493"
2019-02-18,62.7,68,62,68,62.4,"1,120,534"
2019-02-17,62,62.1,56.5,56.5,62.1,"537,085"
2019-02-14,57.5,57.6,52.5,52.5,56.5,"585,978"
2019-02-13,52.3,53.8,51,51,52.7,"17,496"
2019-02-12,51.4,54.4,51.4,53.4,52.2,"75,084"
2019-02-11,53,56.4,52.6,56.4,53.1,"44,071"
2019-02-10,54.2,57.6,54,57.6,54.1,"400,738"
2019-02-07,55.9,57,53.3,54.2,55.7,"22,499"
2019-02-06,54,55.1,54,54.1,54.2,"16,293"
2019-02-05,55.8,56.9,54.5,55.7,54.8,"23,282"
2019-02-04,56.3,58.7,56.2,57.8,57.6,"36,740"
2019-02-03,56,59.7,56,58.9,57.8,"139,222"
2019-01-31,58.9,59.3,55,58.9,58.6,"194,753"
2019-01-30,57.6,57.8,53,53,57.6,"2,247,680"
2019-01-29,53,54.2,52.3,54.2,52.8,"3,141,279"
2019-01-28,54,54.7,53,54,53.4,"2,228,842"
2019-01-27,53.2,55.6,53.1,55,53.9,"52,599"
2019-01-24,54.3,55.6,53,54.1,53.7,"49,336"
2019-01-23,55,56,53.6,54.8,54.3,"19,539"
2019-01-22,55.3,55.3,53.9,54.7,54.4,"144,583"
2019-01-21,54.8,56.3,54.8,55.2,55,"79,020"
2019-01-20,56.1,57.9,55.5,57.9,56.2,"26,424"
2019-01-17,57,61,57,59.2,57.1,"88,589"
2019-01-16,60.3,64,59.6,61,60.1,"248,553"
2019-01-15,60.8,61,54,56.5,60.2,"546,506"
2019-01-14,56.3,56.4,52.6,54.8,56.2,"381,120"
2019-01-13,54.3,54.3,49.2,50.2,54.3,"375,091"
2019-01-10,48.1,51,48.1,51,49.4,"65,846"
2019-01-09,50.1,52.9,50,52.9,50.4,"269,094"
2019-01-08,53,54,50.6,50.6,51.9,"544,322"
2019-01-07,51,53.2,50.7,52.7,51.1,"72,731"
2019-01-06,53.1,54.4,52.3,54,52.7,"84,628"
2019-01-03,53.6,55.5,53,55.5,53.6,"1,549,400"
2019-01-02,55.4,55.4,50.4,50.4,54.8,"119,945"
