DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,28.6,29.3,28.5,28.9,28.7,"87,690"
2019-06-27,29.2,29.2,28.5,28.8,28.9,"109,254"
2019-06-26,28.5,28.8,28.5,28.5,28.6,"42,166"
2019-06-25,28.9,28.9,28.2,28.2,28.8,"67,218"
2019-06-24,28.3,28.3,27.9,28,28.2,"49,037"
2019-06-23,28,28.5,28,28.4,28.1,"50,410"
2019-06-20,28.3,28.6,28.3,28.5,28.4,"31,784"
2019-06-19,28.4,28.6,28.4,28.6,28.5,"29,717"
2019-06-18,28.4,28.8,28.2,28.7,28.5,"73,236"
2019-06-17,28.5,28.8,28.5,28.8,28.5,"58,774"
2019-06-16,29,29.8,28.8,29.5,28.9,"122,320"
2019-06-13,29.1,29.4,28.9,29,29.1,"128,775"
2019-06-12,28.9,29.4,28.8,29.3,29,"128,887"
2019-06-11,29.4,29.5,29,29.2,29.4,"191,736"
2019-06-10,29,29.3,28.9,29.2,29,"107,674"
2019-06-09,29.2,29.2,28.3,28.3,28.9,"107,871"
2019-05-30,28.1,28.3,28,28,28.2,"53,628"
2019-05-29,28,28.2,28,28,28.1,"44,790"
2019-05-28,27.9,28.1,27.8,27.8,28,"35,899"
2019-05-27,27.7,27.9,27.6,27.7,27.7,"38,097"
2019-05-26,28,28,27.8,28,27.9,"73,385"
2019-05-23,28.1,28.1,28,28.1,28,"36,400"
2019-05-22,28,28.2,28,28,28.1,"28,443"
2019-05-21,27.9,28.1,27.9,28,27.9,"31,190"
2019-05-20,28.2,28.4,28,28.4,28.1,"42,700"
2019-05-19,28.2,28.5,28.1,28.4,28.4,"32,744"
2019-05-16,27.8,28.2,27.7,27.8,27.9,"43,511"
2019-05-15,27.9,28.1,27.6,27.8,27.7,"44,366"
2019-05-14,27.8,28.4,27.7,28.4,27.8,"19,040"
2019-05-13,28.1,28.5,27.9,28.4,28.2,"50,052"
2019-05-12,28.4,28.7,28.3,28.4,28.4,"122,654"
2019-05-09,28.3,28.6,28.1,28.4,28.3,"69,410"
2019-05-08,28.3,28.4,28,28.2,28.2,"41,797"
2019-05-07,28.2,28.9,28.2,28.9,28.4,"63,175"
2019-05-06,28.5,29.5,28.4,29.2,28.5,"171,864"
2019-05-05,29.5,29.5,28.9,29.2,29.4,"164,099"
2019-05-02,29.2,29.2,27.7,28.3,28.9,"194,202"
2019-04-30,28,28.2,27.6,27.9,27.7,"99,270"
2019-04-29,27.7,28,27.3,28,27.7,"99,362"
2019-04-28,27.7,28,27.5,27.8,27.6,"50,674"
2019-04-25,27.8,27.8,27.2,27.2,27.6,"80,780"
