DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,17.2,17.6,16.7,17.5,17.3,"1,889,733"
2019-06-27,17,17,15.5,15.5,17,"1,820,877"
2019-06-26,15.6,15.8,15.4,15.4,15.5,"144,763"
2019-06-25,15.5,15.7,15.4,15.6,15.5,"217,171"
2019-06-24,15.6,15.7,15.5,15.6,15.6,"168,986"
2019-06-23,15.6,15.9,15.6,15.9,15.7,"78,559"
2019-06-20,15.9,16,15.6,15.8,15.8,"322,962"
2019-06-19,15.6,16,15.6,15.7,15.7,"548,174"
2019-06-18,15.6,15.7,15.4,15.5,15.5,"548,516"
2019-06-17,15.5,15.8,15.3,15.8,15.5,"169,967"
2019-06-16,16,16.2,15.6,16.1,15.8,"316,704"
2019-06-13,15.9,16.1,15.9,15.9,15.9,"283,803"
2019-06-12,15.9,16.4,15.8,16.4,16,"324,077"
2019-06-11,16.4,16.5,15.9,16,16.4,"751,490"
2019-06-10,15.9,16,15.7,15.8,15.8,"235,662"
2019-06-09,15.7,15.8,15.5,15.5,15.6,"34,407"
2019-05-30,15.5,15.5,15.4,15.5,15.4,"90,608"
2019-05-29,15.6,15.8,15.3,15.7,15.5,"232,738"
2019-05-28,15.5,15.6,15.3,15.5,15.6,"38,652"
2019-05-27,15.3,15.8,15.2,15.5,15.2,"94,468"
2019-05-26,15.7,15.7,15.3,15.7,15.6,"96,366"
2019-05-23,15.7,15.9,15.4,15.8,15.6,"148,124"
2019-05-22,15.9,15.9,15.5,15.8,15.6,"334,520"
2019-05-21,15.9,15.9,15.5,15.7,15.8,"181,350"
2019-05-20,15.7,16.2,15.6,16.2,15.7,"84,135"
2019-05-19,16.2,16.3,16.1,16.1,16.2,"109,299"
2019-05-16,16,16.1,15.6,15.6,16,"56,042"
2019-05-15,15.7,15.9,15.6,15.8,15.6,"46,326"
2019-05-14,15.7,16,15.6,16,15.7,"87,879"
2019-05-13,15.9,16.8,15.9,16.5,16,"93,638"
2019-05-12,16.7,16.7,16,16,16.5,"117,289"
2019-05-09,16,16,15.2,15.6,15.9,"191,117"
2019-05-08,15.5,16.1,15.5,15.6,15.6,"113,400"
2019-05-07,15.9,16.5,15.8,16.2,16,"77,627"
2019-05-06,16.1,16.9,16,16.5,16.1,"339,383"
2019-05-05,16.7,17,16.4,16.7,16.6,"201,525"
2019-05-02,16.9,16.9,15.5,15.5,16.8,"522,903"
2019-04-30,15.2,15.8,14.9,15.1,15.5,"163,206"
2019-04-29,15,15.4,15,15.4,15.1,"43,097"
2019-04-28,15.3,15.9,15.2,15.5,15.4,"62,775"
2019-04-25,15.6,15.8,15.4,15.5,15.5,"42,280"
2019-04-24,15.5,15.7,15.3,15.3,15.6,"32,895"
2019-04-23,15.6,15.8,15.5,15.8,15.5,"71,996"
2019-04-21,15.8,16.2,15.7,16.1,15.8,"82,281"
2019-04-18,16.3,16.3,15.7,15.7,16,"186,342"
2019-04-17,16,16.1,15.8,16.1,15.9,"64,962"
2019-04-16,16.1,16.3,15.9,16,16.1,"170,397"
2019-04-15,15.9,16.7,15.9,16.6,16,"189,731"
2019-04-11,16.5,16.6,16,16,16.4,"135,867"
2019-04-10,15.9,16.1,15.6,16,15.9,"107,242"
2019-04-09,15.8,16.3,15.7,16,15.8,"112,702"
2019-04-08,16.5,16.7,15.8,15.9,16.2,"215,548"
2019-04-07,16,16.4,16,16.3,16.1,"45,754"
2019-04-04,16.4,16.6,16.3,16.4,16.3,"74,107"
2019-04-03,16.5,17.1,16.5,17.1,16.5,"45,586"
2019-04-02,16.9,17.2,16.7,16.9,17,"81,865"
2019-04-01,16.6,17,16.6,17,16.6,"72,643"
2019-03-31,17,17.3,16.5,16.5,17,"289,476"
2019-03-28,17,17,16.4,16.4,16.9,"84,836"
2019-03-27,16.5,16.9,16.3,16.7,16.6,"141,787"
2019-03-25,16.6,16.8,16.4,16.4,16.6,"44,629"
2019-03-24,16.3,17,16.3,17,16.5,"105,358"
2019-03-21,17,17,16.6,16.6,16.9,"37,823"
2019-03-20,17,17,16.5,16.9,16.9,"56,717"
2019-03-19,16.7,17.5,16.1,16.5,16.9,"165,873"
2019-03-18,16.6,16.7,16,16.5,16.4,"61,017"
2019-03-14,16.4,16.9,16.4,16.9,16.5,"112,046"
2019-03-13,16.9,17.3,16.9,17.3,17,"210,428"
2019-03-12,17.2,17.5,17,17.4,17,"106,201"
2019-03-11,17.2,17.5,17.2,17.4,17.2,"102,034"
2019-03-10,17.5,17.7,17.4,17.5,17.5,"172,860"
2019-03-07,17.4,17.4,17.2,17.2,17.4,"122,157"
2019-03-06,17.4,17.6,17.1,17.2,17.5,"201,493"
2019-03-05,17.4,17.5,17,17.3,17.2,"179,960"
2019-03-04,17.3,17.8,17.3,17.5,17.4,"136,835"
2019-03-03,17.6,17.7,17.3,17.5,17.4,"131,608"
2019-02-27,17.4,18,17.4,17.7,17.5,"229,737"
2019-02-26,17.6,18.2,17.4,18,17.8,"142,585"
2019-02-25,18.1,18.2,17.2,17.2,18.1,"423,777"
2019-02-24,17.9,18.2,17.9,18,17.9,"181,460"
2019-02-20,18.2,18.4,18,18,18.1,"564,401"
2019-02-19,18.2,18.4,18,18.2,18.3,"520,921"
2019-02-18,18.3,18.6,18.1,18.2,18.2,"884,566"
2019-02-17,18.2,18.3,17.4,17.4,18.2,"762,992"
2019-02-14,17.5,17.6,17.2,17.4,17.4,"285,931"
2019-02-13,17.5,17.7,17.2,17.6,17.4,"295,586"
2019-02-12,17.5,17.7,17.3,17.3,17.6,"377,019"
2019-02-11,17.1,17.3,17,17.1,17.2,"196,089"
2019-02-10,17,17.4,17,17.2,17.1,"428,764"
2019-02-07,17.2,17.5,17.2,17.2,17.2,"132,155"
2019-02-06,17.2,17.5,17.2,17.2,17.2,"202,071"
2019-02-05,17.5,17.7,17.2,17.7,17.4,"181,428"
2019-02-04,17.9,18,17.2,17.3,17.7,"410,071"
2019-02-03,17.2,17.6,17,17.2,17.3,"286,772"
2019-01-31,17.2,18,16.9,18,17.2,"1,091,320"
2019-01-30,18,18.4,18,18.1,18.1,"379,547"
2019-01-29,18.2,18.5,18.1,18.2,18.1,"148,265"
2019-01-28,18.1,18.5,18.1,18.3,18.2,"523,289"
2019-01-27,18.4,18.6,18.2,18.4,18.3,"411,217"
2019-01-24,18.5,18.5,18.2,18.3,18.4,"487,332"
2019-01-23,18.2,18.5,18.1,18.5,18.3,"284,956"
2019-01-22,18,18.9,18,18.5,18.1,"649,250"
2019-01-21,18.5,18.8,18.4,18.5,18.5,"408,387"
2019-01-20,18.4,19.1,18.4,18.9,18.6,"928,149"
2019-01-17,18.8,19.3,18.8,19.1,19,"683,450"
2019-01-16,19.2,19.4,18.5,18.7,19.1,"2,105,111"
2019-01-15,18.8,18.8,18.2,18.5,18.7,"608,294"
2019-01-14,18.4,18.8,18.1,18.6,18.3,"735,609"
2019-01-13,18.6,19,18.4,18.7,18.5,"876,880"
2019-01-10,18.6,18.8,17.9,18.1,18.6,"662,782"
2019-01-09,17.7,18.7,17.6,18.6,17.8,"917,099"
2019-01-08,18.3,18.9,18.3,18.9,18.4,"1,120,705"
2019-01-07,18.7,19.8,18.5,19,18.7,"1,287,958"
2019-01-06,18.8,18.9,18.3,18.8,18.8,"1,253,082"
2019-01-03,18.7,19.2,17.7,17.7,18.8,"1,529,132"
2019-01-02,17.5,17.8,17.4,17.4,17.5,"516,980"
2019-01-01,17.5,17.5,16.8,17,17.3,"285,738"
2018-12-27,17,17.1,16.8,17,17,"397,285"
2018-12-26,17,17.1,16.4,16.4,17,"570,888"
2018-12-24,16.6,16.6,16,16.1,16.5,"358,133"
2018-12-23,16.2,16.5,15.9,16.4,16,"274,391"
2018-12-20,16.2,16.6,16.2,16.6,16.3,"129,392"
2018-12-19,16.2,16.7,16.1,16.4,16.3,"172,160"
2018-12-18,16.3,16.6,16,16,16.4,"110,486"
2018-12-17,16,16.7,15.9,15.9,16,"134,064"
2018-12-13,16.2,16.7,16.2,16.5,16.4,"191,182"
2018-12-12,16.3,16.9,16.2,16.9,16.4,"238,457"
2018-12-11,16.5,16.5,16,16.5,16.5,"330,667"
2018-12-10,16.3,17.1,16.3,16.8,16.4,"432,049"
2018-12-09,16.8,17.4,16.6,17.2,16.8,"293,255"
2018-12-06,17.4,17.6,17.2,17.6,17.3,"538,146"
2018-12-05,17.8,18.4,17.4,18,17.8,"808,649"
2018-12-04,17.7,18.4,17.3,17.3,17.8,"1,750,430"
2018-12-03,17.2,17.6,17,17.2,17.5,"841,635"
2018-12-02,17.3,17.4,16.6,16.8,17.2,"806,617"
2018-11-29,16.4,17.1,16.4,16.9,16.5,"936,439"
2018-11-28,17.2,17.6,16.7,17,17,"1,502,503"
