DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,67,70,67,70,67.9,"7,846"
2019-06-27,69.9,71,69.5,69.9,69.8,"18,056"
2019-06-26,69.4,72.3,69.3,72.3,69.9,"14,945"
2019-06-25,69.1,72,69.1,71,70.6,"19,095"
2019-06-24,71.5,73.4,68.1,68.1,70.7,"8,821"
2019-06-23,68,73.2,68,70.3,70,"7,076"
2019-06-20,69.1,70.9,68.5,70.9,69.2,"6,011"
2019-06-19,70,73.4,67.3,73.2,67.6,"45,376"
2019-06-18,69.5,71.9,69.5,70.4,70.1,"2,909"
2019-06-17,72.6,72.6,70,72,70.3,"16,315"
2019-06-16,73.9,74.3,70.4,73.5,71.2,"50,540"
2019-06-13,70.7,75,70.2,74.8,70.7,"8,256"
2019-06-12,70.2,72.8,67.8,67.8,70.3,"8,032"
2019-06-11,70.7,74,65.2,65.2,72.2,"12,935"
2019-06-10,71,75.6,70.2,75.6,70.8,"18,649"
2019-06-09,72.5,77.8,72.1,74.2,73,"13,122"
2019-05-30,74.6,76.8,74.1,75.1,74.8,"6,659"
2019-05-29,75.5,77.2,75.5,77,76.3,"2,851"
2019-05-28,78.8,78.9,76,76,78.8,"15,989"
2019-05-27,75.6,75.6,75.3,75.4,75.4,"5,146"
2019-05-26,76.4,77,75.3,77,75.9,"2,706"
2019-05-23,76.5,79.5,76,76,77.6,"14,424"
2019-05-22,75.9,79.7,73.9,73.9,76.1,"3,842"
2019-05-21,76.4,76.9,72.9,72.9,75.5,"10,678"
2019-05-20,75.6,76,75.1,75.1,75.7,"36,569"
2019-05-19,75.1,78.5,74.8,75,75.4,"8,064"
2019-05-16,74.7,80,74.1,80,74.9,"9,271"
2019-05-15,74.2,74.2,72.6,73,73.8,"5,941"
2019-05-14,72.7,74.3,72.7,74.3,73,"10,412"
2019-05-13,74,74.1,73,74.1,73.3,"2,150"
