DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,69,69,68.4,68.4,68.9,"22,405"
2019-06-27,69,69.5,68,68.3,68.4,"16,108"
2019-06-26,68.2,69,68.2,68.8,68.8,"5,481"
2019-06-25,68.9,68.9,67.6,67.6,68.1,"23,049"
2019-06-24,67.4,69,67.4,68.9,67.5,"14,180"
2019-06-23,67.6,68,67.6,68,67.7,"17,277"
2019-06-20,68,69,68,69,68,"8,037"
2019-06-19,68.5,69.3,67.5,68.9,68,"45,229"
2019-06-18,69.1,69.1,67.9,67.9,68.6,"3,308"
2019-06-17,67.5,68.6,67.5,68.5,68.2,"5,229"
2019-06-16,68.3,68.7,68,68.4,68.2,"10,719"
2019-06-13,68.9,69.6,68.4,69.2,68.9,"10,883"
2019-06-12,68.9,70,68.7,70,69.2,"7,743"
2019-06-11,69.5,69.7,68.5,68.6,69.4,"18,284"
2019-06-10,68.8,68.8,67.5,67.6,67.6,"6,713"
2019-06-09,67.8,68.8,67.6,67.7,67.7,"4,005"
2019-05-30,67.9,68.3,67.9,68.2,68.1,315
2019-05-29,67.4,68.2,66.9,68.2,67.2,"2,701"
2019-05-28,67.4,68.3,67.2,67.6,67.5,"2,491"
2019-05-27,66.8,67.9,66.5,67.2,66.9,"11,664"
2019-05-26,68,69.2,67.3,67.3,68.5,"5,026"
2019-05-23,68.2,69.7,68.1,69.7,68.6,"5,145"
2019-05-22,69.2,70.6,69,69.1,69.7,"10,191"
2019-05-21,70,70,69,69,70,"11,570"
2019-05-20,69.9,70.5,69,70,69.8,"19,616"
2019-05-19,70,70.1,69.1,69.1,70,"6,732"
2019-05-16,68.8,69.1,68.6,69.1,69,"1,437"
2019-05-15,68.5,69.9,68.2,68.6,69,"5,188"
2019-05-14,68.4,70,68.1,69.1,69.6,"7,122"
2019-05-13,69,69,67.3,67.3,68,"3,731"
2019-05-12,68.2,68.6,68,68,68.4,"12,382"
2019-05-09,67.9,68.5,67.9,68.5,68.1,"4,605"
2019-05-08,68.4,69,68,68.2,68.5,"2,598"
2019-05-07,68.7,69.4,68.7,69.4,69,"6,896"
2019-05-06,69.7,70.4,69.1,69.1,70,"11,587"
2019-05-05,70.6,70.6,68.6,68.6,70.2,"19,696"
2019-05-02,69,69,67,67.2,68.2,"22,551"
2019-04-30,67,70,66,66.8,68,"9,120"
2019-04-29,65.3,66.8,65.3,66.3,65.6,"10,067"
2019-04-28,66.5,66.6,65.1,65.2,66.2,"3,528"
2019-04-25,66.5,66.6,65,66.1,65.4,"5,767"
2019-04-24,65.6,67.1,65.5,66,66.1,"20,146"
2019-04-23,66.7,68.5,66.7,67.1,67.1,"5,917"
2019-04-21,66.4,69.7,66.4,67.5,67.6,"18,910"
2019-04-18,66,67.2,65.6,65.6,66.2,"6,836"
2019-04-17,64.8,66,64.6,66,64.8,"16,008"
2019-04-16,65.5,66.2,65.1,66.2,65.4,"2,431"
2019-04-15,66,67.8,66,66.5,66.2,"1,831"
2019-04-11,66.5,66.7,65.5,65.5,66.3,"3,400"
