DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,26.5,27.6,26.3,27.2,26.3,"375,518"
2019-06-27,27,27.7,26.8,27.2,27,"426,422"
2019-06-26,27.2,27.4,26.9,27.4,27,"419,455"
2019-06-25,27,28.2,27,28,27.1,"716,094"
2019-06-24,28.2,28.9,27.7,28.6,28,"541,667"
2019-06-23,28.2,29.1,28,29,28.4,"505,386"
2019-06-20,28.3,30.4,28.3,29.6,29.2,"1,344,751"
2019-06-19,29.5,29.8,27.4,27.6,29.4,"1,925,626"
2019-06-18,27.4,28,27,27.2,27.1,"386,351"
2019-06-17,26.9,27.2,26.5,26.7,27,"552,264"
2019-06-16,26.8,27.9,26.5,27,26.6,"598,047"
2019-06-13,27,27.4,26.5,26.8,27,"521,725"
2019-06-12,27,27.4,25.6,25.7,27,"521,220"
2019-06-11,25.5,26.4,25.3,26.1,25.6,"539,429"
2019-06-10,26,26.2,25.4,26.1,25.8,"422,405"
2019-06-09,26.1,26.1,25.4,25.4,26,"429,885"
2019-05-30,25.2,25.7,24.9,25,25.3,"317,114"
2019-05-29,24.6,25.3,24.4,24.9,24.5,"237,299"
2019-05-28,24.6,25.4,24.3,25,24.6,"341,545"
2019-05-27,24.5,26.2,24.5,26.2,24.8,"386,164"
2019-05-26,25.7,26.3,23.9,24.3,25.7,"675,008"
2019-05-23,24.2,24.3,23.8,23.8,24,"278,055"
2019-05-22,23.5,23.8,23.2,23.2,23.5,"96,967"
2019-05-21,23,23.4,22.9,23.2,23,"22,279"
2019-05-20,23,23.7,23,23.6,23.2,"182,397"
2019-05-19,23.4,24,22.8,22.8,23.5,"133,219"
2019-05-16,22.8,23.2,22.5,22.8,22.8,"42,671"
2019-05-15,22.9,23.6,22.7,23,22.8,"53,433"
2019-05-14,22.8,23.3,22.6,23,22.6,"91,312"
2019-05-13,23.3,23.4,22.7,23.2,23.1,"123,421"
2019-05-12,23,23.3,22.9,23.1,23,"63,504"
2019-05-09,22.8,23.3,22.8,23.3,22.9,"89,672"
2019-05-08,22.8,23.4,22.8,23.3,22.9,"187,136"
2019-05-07,22.9,24,22.8,23.5,23.2,"81,296"
2019-05-06,23.3,24.4,23.3,24.3,23.4,"169,348"
2019-05-05,24.3,24.7,23,23,24.3,"254,131"
2019-05-02,22.9,22.9,21.8,22,22.7,"89,668"
2019-04-30,21.9,22.1,21.6,22,21.8,"69,713"
2019-04-29,21.3,22,21.1,22,21.3,"78,642"
2019-04-28,21.6,22.5,21.6,22.3,21.8,"158,188"
2019-04-25,22.3,22.9,22.2,22.8,22.3,"285,745"
2019-04-24,22.4,23.1,22.4,23,22.5,"185,763"
2019-04-23,22.7,23.3,22.5,23,22.7,"69,846"
2019-04-21,23.4,24,23.1,23.8,23.2,"125,125"
2019-04-18,23.8,24,23.5,23.8,23.7,"172,340"
2019-04-17,23.6,23.7,22.9,23.1,23.6,"84,255"
2019-04-16,22.8,23.3,22.8,23,22.9,"69,737"
2019-04-15,23,23.8,23,23.7,23,"116,009"
2019-04-11,23.8,23.9,23.3,23.5,23.7,"77,465"
2019-04-10,23.2,23.6,22.9,23.4,23.1,"152,717"
2019-04-09,23.2,23.8,22.9,23.4,23.1,"263,153"
2019-04-08,23.3,24,23.1,23.8,23.3,"144,661"
2019-04-07,24,25.4,23.6,25.2,24,"156,507"
2019-04-04,24.9,25.4,24.2,25,24.8,"133,493"
2019-04-03,24.4,25.7,24.4,25.7,24.7,"196,154"
2019-04-02,25.9,26.2,24.6,24.8,25.7,"678,937"
2019-04-01,24.7,24.7,23.3,23.6,24.5,"291,592"
2019-03-31,23.6,23.9,23.3,23.8,23.4,"92,372"
2019-03-28,23.7,24.3,23.1,23.1,23.6,"157,620"
2019-03-27,23.5,23.8,23.1,23.5,23.2,"61,551"
2019-03-25,23.6,24,23.3,23.9,23.4,"120,036"
2019-03-24,23.6,23.9,23.4,23.9,23.5,"109,970"
2019-03-21,23.9,24,23.5,23.6,23.8,"157,504"
2019-03-20,23.8,24.4,23.4,24,23.5,"112,078"
2019-03-19,24.1,24.5,23.5,23.6,24,"82,338"
2019-03-18,23.6,24.6,23.1,24.1,23.5,"168,877"
2019-03-14,23.8,25.5,23.8,25.3,24,"207,255"
2019-03-13,24.5,26,24.5,25.9,24.6,"382,600"
2019-03-12,26,26.5,25.6,26.3,25.8,"104,562"
2019-03-11,26.2,26.7,26.1,26.7,26.2,"64,092"
2019-03-10,26.4,27,26.3,26.7,26.5,"186,728"
2019-03-07,26.1,26.7,26,26.4,26.3,"233,879"
2019-03-06,26.2,26.8,25.7,26.5,25.8,"283,479"
2019-03-05,26.5,27.1,26.1,27.1,26.4,"332,337"
2019-03-04,27.4,28,26.9,27.7,27.1,"253,761"
2019-03-03,27.5,28.7,27.5,28.2,27.6,"245,175"
2019-02-27,28.2,29.6,28,28.6,28.2,"515,026"
2019-02-26,28.8,29.2,27.6,27.6,28.7,"878,466"
2019-02-25,27.7,27.8,27.1,27.4,27.4,"303,345"
2019-02-24,27.5,27.9,27,27.7,27.1,"247,284"
2019-02-20,27.8,28.5,27.5,27.9,27.7,"373,977"
2019-02-19,27.4,28.4,27,27.7,27.7,"411,724"
2019-02-18,26.9,29,26.9,28.6,27.1,"456,522"
2019-02-17,29,30,28.3,30,28.6,"454,973"
2019-02-14,29.7,29.9,27.6,27.6,29.7,"1,163,336"
2019-02-13,27.4,27.5,26.3,26.5,27.2,"554,917"
2019-02-12,26.4,28.2,26.3,28,26.5,"577,838"
2019-02-11,27.8,28,26,26.1,27.8,"440,413"
2019-02-10,26.8,28,26,27.5,26.2,"488,938"
2019-02-07,28.1,29.4,27.5,29.2,27.7,"324,917"
2019-02-06,28.3,29.6,28.1,29.4,28.5,"442,054"
2019-02-05,28.8,30.9,28.6,30.6,28.9,"532,723"
2019-02-04,30,32.5,29.9,32.4,30.7,"976,538"
