DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,24,24,23.7,23.8,23.9,"111,493"
2019-06-27,23.9,23.9,23.5,23.6,23.8,"132,431"
2019-06-26,23.6,23.6,23.2,23.2,23.5,"96,904"
2019-06-25,23.2,23.4,23,23.1,23.2,"40,559"
2019-06-24,23.2,23.5,23.1,23.2,23.2,"42,842"
2019-06-23,23.5,23.5,23.2,23.3,23.3,"266,883"
2019-06-20,23.5,23.6,23.4,23.6,23.5,"50,245"
2019-06-19,23.6,23.7,23.4,23.4,23.6,"65,839"
2019-06-18,23.5,23.7,23,23.3,23.6,"43,516"
2019-06-17,23.5,23.9,23.3,23.9,23.4,"125,425"
2019-06-16,23.7,24.5,23.7,24.3,23.8,"107,964"
2019-06-13,24.3,24.5,23.8,23.9,24.2,"93,410"
2019-06-12,23.8,24.2,23.7,24.2,23.9,"105,062"
2019-06-11,24.2,24.2,23.7,23.8,24,"91,423"
2019-06-10,23.7,23.9,23.4,23.5,23.7,"54,773"
2019-06-09,23.4,23.5,23.1,23.5,23.2,"15,769"
2019-05-30,23.1,23.4,23.1,23.4,23.2,"16,028"
2019-05-29,23.2,23.4,23,23.1,23.2,"33,918"
2019-05-28,23.4,23.4,22.9,22.9,23.2,"20,698"
2019-05-27,23,23,22.7,23,22.8,"38,330"
2019-05-26,23,23.3,22.9,23.1,23,"53,821"
2019-05-23,23,23.2,23,23.2,23.1,"23,106"
2019-05-22,23.4,23.4,23,23,23.2,"21,853"
2019-05-21,23.1,23.6,23,23.6,23.1,"30,642"
2019-05-20,23.5,23.5,23.3,23.4,23.4,"22,818"
2019-05-19,23.5,23.7,23.3,23.3,23.6,"19,686"
2019-05-16,23.1,23.5,23.1,23.5,23.3,"35,680"
2019-05-15,23.1,23.5,22.9,23,23.1,"25,003"
2019-05-14,23,23.3,23,23.3,23.1,"41,095"
2019-05-13,23.3,23.8,23.3,23.6,23.4,"59,408"
2019-05-12,23.5,23.9,23.3,23.5,23.4,"21,319"
2019-05-09,23.3,23.8,23.3,23.5,23.4,"29,388"
2019-05-08,23.6,24.5,23.4,23.9,23.4,"22,056"
2019-05-07,23.9,24.4,23.6,24.2,23.7,"30,395"
2019-05-06,24,24.2,23.7,24.2,24,"74,101"
2019-05-05,24.7,25.2,23.3,23.3,24.6,"128,690"
2019-05-02,23.4,23.5,22.6,22.8,23.2,"94,183"
2019-04-30,23.2,23.5,23,23.2,23,"96,871"
2019-04-29,22.5,23.1,22.5,22.9,22.9,"78,689"
2019-04-28,22.3,23.1,22.3,22.9,22.6,"68,520"
2019-04-25,23,23.2,22.7,22.9,23.1,"31,039"
2019-04-24,22.5,23.4,22.3,22.5,22.9,"159,605"
2019-04-23,23,23.7,22.5,23.7,22.6,"45,942"
2019-04-21,23.4,23.9,23.1,23.8,23.2,"46,484"
2019-04-18,23.5,23.6,22.8,22.8,23.5,"63,061"
2019-04-17,22.9,22.9,22.4,22.6,22.8,"41,646"
2019-04-16,22.6,23,22.5,22.7,22.6,"51,487"
2019-04-15,23.2,23.7,23.1,23.6,23.2,"15,019"
2019-04-11,23.1,23.5,23,23.4,23,"83,179"
2019-04-10,23,23.2,22.7,22.9,22.9,"70,490"
2019-04-09,22.8,23.6,22.8,23.2,22.9,"112,875"
2019-04-08,23.4,23.7,23.1,23.7,23.3,"67,305"
2019-04-07,23.9,24,23.7,23.9,23.8,"48,373"
2019-04-04,23.8,24.1,23.7,24.1,23.8,"161,257"
2019-04-03,24.1,24.5,24.1,24.3,24.1,"54,023"
2019-04-02,24.2,24.6,24.2,24.2,24.2,"117,412"
2019-04-01,24.3,24.5,24.1,24.1,24.2,"58,480"
2019-03-31,24.3,24.8,24.3,24.6,24.4,"53,430"
2019-03-28,24.5,24.7,24.4,24.5,24.5,"48,630"
2019-03-27,24.3,25,24.3,24.6,24.4,"118,268"
2019-03-25,24.6,25,24.5,24.7,24.5,"68,005"
2019-03-24,24.5,25.1,24.5,25,24.6,"72,140"
2019-03-21,25,25.6,24.8,25.6,25,"133,934"
2019-03-20,25.3,26.1,25.3,25.5,25.4,"137,114"
2019-03-19,25.6,25.7,25.1,25.3,25.5,"25,931"
2019-03-18,25.3,25.8,25.1,25.8,25.3,"72,034"
2019-03-14,25.8,25.8,25.4,25.4,25.6,"96,968"
2019-03-13,25.5,25.7,25.4,25.5,25.4,"119,115"
2019-03-12,25.9,26.1,25.8,26.1,25.8,"79,431"
2019-03-11,26.2,26.5,26,26.5,26.1,"74,267"
2019-03-10,26.3,26.6,26.2,26.6,26.3,"34,879"
2019-03-07,26.5,26.6,26,26.1,26.3,"82,662"
2019-03-06,26.2,26.4,26,26,26.1,"49,155"
2019-03-05,26.1,26.5,26,26.5,26.1,"71,856"
2019-03-04,26.4,26.8,26.1,26.4,26.3,"68,115"
2019-03-03,26.4,27,26.4,26.6,26.5,"78,588"
2019-02-27,26.7,27,26.2,26.4,26.7,"80,200"
2019-02-26,26.4,27,26.4,27,26.5,"91,473"
2019-02-25,26.6,27.1,26.6,26.9,26.7,"88,065"
2019-02-24,26.8,27.4,26.8,27.4,26.9,"66,409"
2019-02-20,27.2,28.3,27.2,27.8,27.3,"127,931"
2019-02-19,28,28.8,27.7,28.5,28.2,"168,838"
2019-02-18,28.6,29,27.5,27.9,28.5,"418,694"
2019-02-17,27.6,27.9,26.5,26.8,27.7,"219,719"
2019-02-14,26.8,26.8,26.6,26.6,26.7,"64,389"
2019-02-13,26.8,26.9,26.4,26.8,26.6,"138,807"
2019-02-12,26.6,26.9,26,26.6,26.6,"155,628"
2019-02-11,26.3,26.8,26.3,26.3,26.4,"101,343"
2019-02-10,26.3,27.1,26.3,26.9,26.6,"153,135"
2019-02-07,27,27,26.5,26.7,26.8,"96,412"
2019-02-06,26.5,27.1,26.5,27.1,26.6,"90,168"
2019-02-05,27.3,27.5,27,27.4,27.1,"74,608"
2019-02-04,27.5,27.9,27,27.2,27.4,"131,487"
2019-02-03,27.4,27.4,26.3,26.8,27.1,"278,985"
2019-01-31,27,28.3,26.8,27.8,26.9,"280,862"
2019-01-30,27.9,28.6,27.7,28.5,27.8,"363,375"
2019-01-29,28.8,29.4,28.7,29.4,28.8,"110,463"
2019-01-28,29.3,29.3,28.5,29,29,"104,618"
2019-01-27,28.7,29,28.4,28.9,28.6,"375,991"
2019-01-24,28.9,30,28.7,30,28.9,"392,142"
2019-01-23,29.3,29.9,29.3,29.7,29.3,"165,382"
2019-01-22,29.8,30.2,29.7,30,29.8,"157,202"
2019-01-21,30,30.4,29.9,30,29.9,"265,411"
2019-01-20,30.2,30.4,29.9,30.4,30,"297,258"
2019-01-17,30.3,30.4,29.8,30.1,30,"362,255"
2019-01-16,30,31.6,30,31,30.2,"555,171"
