DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,116.9,125,109,125,112.1,"3,043"
2019-06-27,119.7,120,111.5,120,116.6,"1,010"
2019-06-26,117.6,118.2,114,115.4,116,"2,245"
2019-06-25,119,121.9,112,121.9,118.3,"5,737"
2019-06-24,122.5,125,118.3,125,121.9,"3,171"
2019-06-23,119.9,119.9,110.1,114.5,119.6,"10,501"
2019-06-20,111.7,116,107.3,116,109,"3,080"
2019-06-19,106,112,105.3,112,107.2,"3,578"
2019-06-18,108,113.9,107.6,110,108.1,"2,023"
2019-06-17,104,112,104,111,106.6,"6,899"
2019-06-16,110,115,109.8,115,110.4,"3,081"
2019-06-13,105.6,114.8,105.6,114.7,109.9,"7,069"
2019-06-12,110.1,119.1,110.1,116.2,111.6,"2,563"
2019-06-11,114.9,115,113.1,115,114.2,"4,893"
2019-06-10,112.6,118,112.6,112.6,113.1,"1,640"
2019-06-09,110.1,117,110.1,115,112.5,896
2019-05-30,115,115,110,113.6,114.3,"3,372"
2019-05-29,113,119,112,119,113.6,"1,619"
2019-05-28,114.2,120,114.2,120,115.9,"4,365"
2019-05-27,115.7,122,114.8,120,117.3,"4,822"
2019-05-26,117,125,117,120.1,118.8,"2,787"
2019-05-23,120,129,120,120.2,122,"10,066"
2019-05-22,120.1,123.9,120,120,120.2,"3,996"
2019-05-21,119.4,119.7,116.4,117.1,117.8,"1,389"
2019-05-20,117,119.8,116,119.8,116.9,"2,102"
2019-05-19,119,123.2,115,123.2,115.4,"2,146"
2019-05-16,123.9,125.3,120.5,123.2,122.7,"2,758"
2019-05-15,123.4,124.2,119.1,119.1,122.2,"2,851"
2019-05-14,121.7,129.6,116.2,122.9,118.9,"7,552"
2019-05-13,118.8,122.9,115,118.5,118.3,"3,865"
2019-05-12,116.7,126,116,122.5,118.5,"8,403"
2019-05-09,128.5,132.5,119,125,122.5,"5,441"
2019-05-08,125,126.8,121,122.9,124.7,"2,905"
2019-05-07,125.7,129,121.1,129,122.4,"1,703"
2019-05-06,124.1,131.7,118.3,131.7,121.2,"1,639"
2019-05-05,119.3,128.5,118.7,118.7,119.8,"5,109"
2019-05-02,119.9,125.9,113.8,120.1,118.7,"18,171"
2019-04-30,129.9,137.9,126.1,135,126.4,"5,318"
2019-04-29,133.8,137,125.3,125.3,133.4,"9,989"
2019-04-28,130,145,127.1,140,130.4,"12,685"
2019-04-25,137,137.2,120.9,128,136,"15,163"
