DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,8,8,7.7,8,8,"384,910"
2019-06-27,7.6,7.8,7.4,7.7,7.5,"28,210"
2019-06-26,8,8,7.6,7.6,8,"702,133"
2019-06-25,8.1,8.1,7.4,7.4,8,"948,101"
2019-06-24,7.4,7.5,7,7.1,7.4,"249,940"
2019-06-23,7.1,7.1,7.1,7.1,7.1,"5,125"
2019-06-20,7.1,7.2,7.1,7.1,7.1,"151,619"
2019-06-19,7.1,7.1,7,7,7,"9,000"
2019-06-18,7.1,7.1,6.9,7.1,7.1,"49,230"
2019-06-17,7,7.1,7,7.1,7,"123,071"
2019-06-16,7.2,7.2,7,7.2,7.1,"166,183"
2019-06-13,7.2,7.2,7,7,7.1,"24,803"
2019-06-12,7,7,7,7,7,"12,407"
2019-06-11,7,7.1,6.9,7.1,7,"70,189"
2019-06-10,7.1,7.2,7,7.1,7.1,"26,307"
2019-06-09,7.1,7.1,7.1,7.1,7.1,"3,556"
2019-05-30,7,7.1,7,7,7,"38,433"
2019-05-29,7,7,6.9,6.9,6.9,"49,160"
2019-05-28,6.8,6.9,6.8,6.9,6.9,"29,850"
2019-05-27,6.8,7.1,6.8,7.1,6.9,"19,800"
2019-05-26,6.9,7.1,6.9,7.1,7,"51,512"
2019-05-23,7.1,7.1,7,7,7,"22,738"
2019-05-22,7,7,7,7,7,100
2019-05-21,6.9,6.9,6.9,6.9,6.9,"15,000"
2019-05-20,7,7,6.9,6.9,7,"105,875"
2019-05-19,6.9,7,6.9,7,6.9,"33,479"
2019-05-16,6.8,6.9,6.8,6.9,6.9,"50,030"
2019-05-15,6.9,6.9,6.9,6.9,6.9,"10,790"
2019-05-14,6.9,7,6.9,6.9,7,"78,891"
2019-05-13,6.9,6.9,6.9,6.9,6.9,"8,309"
2019-05-12,6.9,7.7,6.9,7,7,"3,411"
2019-05-09,7,7,6.9,6.9,7,"63,000"
2019-05-08,6.9,6.9,6.9,6.9,6.9,"55,910"
2019-05-07,6.9,7,6.8,7,6.9,"66,850"
2019-05-06,6.9,7.2,6.9,7.1,7.1,"62,925"
2019-05-05,7.3,7.3,6.9,6.9,7.1,"184,166"
2019-05-02,6.9,6.9,6.8,6.8,6.9,"30,120"
2019-04-30,6.7,6.8,6.7,6.7,6.8,"62,178"
2019-04-29,6.7,6.7,6.6,6.7,6.7,"133,685"
2019-04-25,6.7,6.7,6.7,6.7,6.7,"50,011"
2019-04-24,6.6,6.7,6.6,6.7,6.6,"88,330"
2019-04-23,6.7,6.7,6.7,6.7,6.7,"62,073"
2019-04-21,6.7,6.7,6.6,6.7,6.7,"63,427"
2019-04-18,6.7,6.7,6.6,6.6,6.7,"101,477"
2019-04-17,6.6,6.7,6.6,6.7,6.7,"81,183"
2019-04-16,6.7,6.7,6.6,6.7,6.7,"31,340"
2019-04-15,6.8,6.8,6.7,6.8,6.8,"117,800"
2019-04-11,6.8,6.8,6.8,6.8,6.8,3
2019-04-10,6.7,6.8,6.7,6.8,6.7,"5,281"
2019-04-09,6.7,6.8,6.7,6.8,6.8,"6,700"
2019-04-08,6.8,6.8,6.7,6.8,6.8,"81,049"
2019-04-07,6.7,6.8,6.7,6.8,6.8,"12,060"
2019-04-04,6.8,6.8,6.8,6.8,6.8,"10,000"
2019-04-03,6.8,7,6.7,7,6.8,"188,059"
2019-04-02,7,7,7,7,7,"1,005"
2019-04-01,7,7,6.9,7,6.9,"42,400"
2019-03-31,7,7,6.9,7,7,"21,104"
2019-03-28,6.9,7,6.9,7,6.9,680
2019-03-27,6.9,7,6.9,6.9,6.9,"11,587"
2019-03-25,7,7,6.9,6.9,6.9,"17,489"
2019-03-24,6.9,6.9,6.9,6.9,6.9,"4,723"
2019-03-21,7,7,7,7,7,"2,200"
2019-03-20,6.9,7,6.9,7,6.9,"85,100"
2019-03-19,7,7.1,7,7,7,"26,195"
2019-03-18,7.1,7.1,7.1,7.1,7.1,"7,500"
2019-03-14,7.1,7.1,7.1,7.1,7.1,"81,000"
2019-03-13,7.2,7.2,7.1,7.1,7.1,"81,107"
2019-03-12,7.2,7.2,7,7.2,7.1,"81,000"
2019-03-11,7.2,7.3,7.1,7.3,7.2,"24,155"
2019-03-10,7.3,7.3,7.1,7.1,7.2,"69,652"
2019-03-07,7.1,7.1,7.1,7.1,7.1,"21,228"
2019-03-06,7.2,7.2,7.1,7.1,7.1,"60,880"
2019-03-05,7.1,7.2,7,7,7.2,"3,001"
2019-03-04,7,7.4,7,7.4,7.2,"3,600"
2019-02-27,7.3,7.3,7.2,7.2,7.2,"3,867"
2019-02-26,7.2,7.2,7.1,7.1,7.1,"8,211"
2019-02-25,7.2,7.2,7.2,7.2,7.2,"6,178"
2019-02-24,7.2,7.2,7.2,7.2,7.2,"22,100"
2019-02-20,7.2,7.2,7.2,7.2,7.2,"24,857"
2019-02-19,7.3,7.3,7.3,7.3,7.3,10
2019-02-18,7.1,7.3,7,7.3,7.1,"35,022"
2019-02-17,7.3,7.3,7.1,7.3,7.2,"1,144"
2019-02-14,7,7.1,7,7.1,7.1,"63,240"
2019-02-13,7.1,7.2,7.1,7.1,7.1,"12,042"
2019-02-12,7.1,7.2,7,7.1,7,"126,483"
2019-02-11,7.2,7.2,7.1,7.2,7.2,"11,571"
2019-02-10,7.1,7.2,7,7.2,7.1,"57,680"
2019-02-07,7.2,7.2,7.2,7.2,7.2,"78,498"
2019-02-06,7.3,7.3,7.2,7.2,7.2,"94,881"
2019-02-05,7.2,7.7,7.2,7.5,7.2,"97,450"
2019-02-04,7.3,7.4,7,7,7.3,"30,250"
2019-02-03,7.3,7.4,7.2,7.4,7.2,"52,510"
2019-01-31,7.2,7.3,7.2,7.2,7.3,"16,802"
2019-01-30,7.3,7.4,7.3,7.4,7.4,"8,450"
2019-01-29,7.4,7.5,7.3,7.4,7.4,"27,700"
