DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,25.6,26,25.1,25.2,25.6,"190,166"
2019-06-27,25.2,25.9,25,25,25.5,"447,251"
2019-06-26,25.2,25.9,24.9,25.1,25.2,"341,745"
2019-06-25,25.4,25.9,25,25.4,25.8,"650,592"
2019-06-24,25.4,25.4,24.9,24.9,25.2,"121,044"
2019-06-23,25.2,25.4,24.8,25.2,24.9,"331,115"
2019-06-20,25.2,25.5,25,25,25.2,"149,765"
2019-06-19,25.5,25.5,24.9,24.9,25.5,"159,075"
2019-06-18,25.1,25.5,24.8,24.8,25.3,"80,015"
2019-06-17,25,25.3,25,25,25,"112,014"
2019-06-16,25.2,25.9,24.9,24.9,25.9,"450,263"
2019-06-13,25.6,25.8,25.1,25.1,25.5,"19,808"
2019-06-12,26,26.5,24.9,25,25.6,"637,150"
2019-06-11,25,25.1,24.8,24.9,25,"103,393"
2019-06-10,24.8,25.4,24.8,24.9,24.9,"90,557"
2019-06-09,25,26,25,26,25.1,"199,201"
2019-05-29,27.5,27.5,26.9,27.4,27,"565,301"
2019-05-28,27.2,27.6,27,27.5,27.2,"480,456"
2019-05-27,27.5,27.5,27,27,27.4,"722,825"
2019-05-26,27.2,27.2,26.4,26.9,27.2,"324,256"
2019-05-23,26.6,26.8,25.7,25.7,26.5,"226,553"
2019-05-22,25.9,26,25.8,26,26,"91,807"
2019-05-21,26,26.2,25.7,26.1,26,"176,837"
2019-05-20,26.3,26.8,26.3,26.5,26.3,"158,148"
2019-05-19,26.8,27,25.4,25.4,26.9,"177,635"
2019-05-16,25,25.1,24.6,25,25,"117,674"
2019-05-15,24.8,25,24.6,24.6,24.9,"39,817"
2019-05-14,25,25,24.3,25,24.6,"26,312"
2019-05-13,24.5,25.2,24.3,25.2,24.5,"6,357"
2019-05-12,25.2,25.5,25,25.2,25,"147,505"
2019-05-09,25,25,24.6,24.8,24.7,"23,205"
2019-05-08,24.6,25.1,24.4,24.9,24.7,"13,203"
2019-05-07,24.9,25.2,24.4,25.2,24.9,"148,744"
2019-05-06,25,25,23.8,24.9,24.7,"45,932"
2019-05-05,24.2,24.4,23.2,24,24.3,"28,487"
2019-05-02,23.5,23.8,23.5,23.7,23.5,"93,680"
2019-04-30,23,23.8,22.8,23,23.1,"310,832"
2019-04-29,22.9,23.8,22.8,23.1,23,"247,309"
2019-04-28,24.7,24.9,22.7,23.9,23.8,"377,259"
2019-04-25,23,24.8,23,24.8,23.1,"258,298"
2019-04-24,24.5,24.9,24.2,24.2,24.3,"20,968"
2019-04-23,24.9,25,24.1,25,24.5,"18,423"
2019-04-21,24.5,24.9,24.5,24.9,24.7,"42,498"
2019-04-18,24.7,24.8,24.5,24.8,24.5,"76,769"
2019-04-17,24.7,25.7,24.2,25.7,24.8,"157,482"
2019-04-16,25.4,25.9,24.4,25.9,25.4,"52,166"
2019-04-15,25.7,25.9,25,25.7,25.5,"14,857"
2019-04-11,25.6,26.4,25.6,26.4,25.6,"144,373"
2019-04-10,26.2,26.9,25.7,26.5,25.9,"123,521"
2019-04-09,26.1,27,25.9,26.6,26.6,"89,753"
2019-04-08,27,27,26.5,26.5,26.8,"67,243"
2019-04-07,26.7,26.9,26.7,26.7,26.7,"62,581"
2019-04-04,26.9,26.9,26.6,26.6,26.8,"43,625"
2019-04-03,27,27,26.7,26.9,26.9,"88,233"
2019-04-02,26.7,26.9,26.6,26.8,26.7,"40,092"
2019-04-01,26.7,26.9,26.5,26.9,26.8,"31,170"
2019-03-31,26.8,27,26.4,26.8,26.5,"65,438"
2019-03-28,26.7,26.9,26.5,26.5,26.7,"188,845"
2019-03-27,26.8,27.4,26.6,27.4,26.6,"65,958"
2019-03-25,27,27.1,26.4,26.5,27,"246,475"
2019-03-24,26.4,26.9,26.1,26.1,26.8,"417,516"
2019-03-21,26.4,27.1,26.4,26.9,26.6,"213,826"
2019-03-20,27,27.6,26.8,27.6,26.9,"315,843"
2019-03-19,27.4,27.7,26.8,27.3,27.6,"180,079"
2019-03-18,27.4,27.6,26.8,26.9,27.2,"332,494"
2019-03-14,27.5,27.6,26.4,27.3,27.3,"128,365"
2019-03-13,27,28,27,27,27.3,"484,249"
2019-03-12,28,28,27,28,27.8,"1,816,147"
2019-03-11,28.1,28.1,27.1,28.1,27.8,"1,596,470"
2019-03-10,28.1,28.3,27.9,28.3,28.1,"423,004"
2019-03-07,28.1,28.5,27.6,28.5,28,"472,314"
2019-03-06,28,28.2,27,27,28.1,"801,395"
2019-03-05,26.9,27.6,26.7,27.5,27,"219,015"
2019-03-04,27.2,27.4,27,27,27.1,"140,154"
2019-03-03,27.3,27.3,27,27,27,"86,223"
2019-02-27,27.3,27.4,27,27.4,27,"129,965"
2019-02-26,27.3,27.5,27,27.5,27.1,"290,312"
2019-02-25,27.6,27.6,26.5,26.8,27.5,"263,267"
2019-02-24,26.5,27.1,26.5,27.1,26.7,"58,567"
2019-02-20,27.1,27.1,26.8,26.9,27,"122,295"
2019-02-19,26.9,27.1,26.7,26.8,26.8,"62,586"
2019-02-18,26.9,27.1,26.5,27,26.9,"190,425"
2019-02-17,27.2,27.4,26.7,26.7,27,"61,788"
2019-02-14,26.8,27,26.8,26.9,26.8,"146,650"
2019-02-13,27.1,27.6,26.9,27.5,27,"198,262"
2019-02-12,27.3,27.7,26.7,27,26.8,"584,317"
2019-02-11,27.3,27.8,26.7,27.5,27.5,"42,893"
2019-02-10,27,28.3,26.1,26.1,26.8,"195,829"
2019-02-07,26.9,27.8,26.8,27.1,27,"447,176"
2019-02-06,27.2,28,26.8,28,27.1,"463,712"
2019-02-05,27.9,28.1,27.4,28.1,27.6,"288,629"
2019-02-04,28,28.2,27.2,27.4,28.1,"267,647"
2019-02-03,27.9,28.1,26.2,27.1,27.8,"331,333"
2019-01-31,26.7,28,26.3,28,26.9,"294,849"
2019-01-30,28.1,28.4,28.1,28.3,28.1,"213,687"
2019-01-29,28.6,28.8,28.1,28.4,28.4,"366,826"
2019-01-28,28.3,28.3,27.8,28,28.1,"352,918"
2019-01-27,28,28.9,27.5,28.8,27.8,"974,445"
2019-01-24,29,29.3,28.7,29.3,29,"394,570"
2019-01-23,29.3,29.7,28.5,28.5,29.3,"1,100,491"
2019-01-22,28.5,29,28.2,28.2,28.4,"789,190"
2019-01-21,28.6,29,28.4,29,28.5,"498,941"
2019-01-20,29.2,29.3,28.4,28.5,29,"891,545"
2019-01-17,28.4,28.7,28,28.2,28.3,"278,118"
2019-01-16,28.5,29,28.3,28.5,28.4,"676,624"
2019-01-15,28.4,28.5,28,28.4,28.5,"313,978"
2019-01-14,28.1,28.9,28.1,28.7,28.2,"659,704"
2019-01-13,28.6,29.2,28.5,29,28.6,"611,404"
2019-01-10,29,30,28.8,29.7,28.9,"1,260,315"
2019-01-09,29.7,29.9,29.1,29.9,29.8,"489,562"
2019-01-08,29.9,30.1,28.5,28.6,29.7,"953,121"
2019-01-07,28.7,30.2,28.5,29.9,28.6,"798,093"
2019-01-06,29.5,29.7,28.7,28.8,29.6,"1,098,284"
2019-01-03,28.3,28.6,28,28,28.5,"444,522"
2019-01-02,28,28.4,28,28.3,28.1,"304,595"
2019-01-01,28.2,28.5,27.9,27.9,28.3,"354,542"
2018-12-27,27.6,27.8,27.5,27.7,27.6,"51,623"
2018-12-26,28,28,27.1,27.2,27.7,"389,491"
2018-12-24,27,27.5,27,27.3,27.1,"323,049"
2018-12-23,27.5,27.5,27.3,27.5,27.3,"80,934"
2018-12-20,27.9,27.9,27.2,27.2,27.6,"443,310"
2018-12-19,27.3,27.5,27,27,27.4,"246,228"
2018-12-18,27,27.4,26.6,26.6,27.1,"277,186"
2018-12-17,27,27.4,26.8,27.4,26.9,"46,552"
2018-12-13,27.4,28,27.4,28,27.5,"62,567"
2018-12-12,27.7,28.5,27.7,28.5,28,"366,803"
2018-12-11,28,28.5,27.3,27.3,28,"762,468"
2018-12-10,27.5,27.5,26.7,27.1,27.4,"203,308"
2018-12-09,26.7,27.3,26.7,27,26.9,"106,356"
2018-12-06,27.4,28,27,27.7,27.2,"209,315"
2018-12-05,27.6,27.8,27,27.2,27.7,"414,015"
2018-12-04,26.9,27.6,26.5,26.7,27.3,"693,904"
2018-12-03,26.5,26.8,26.2,26.3,26.5,"88,102"
2018-12-02,26.3,26.7,26,26.1,26.3,"696,901"
2018-11-29,26.3,27,26.3,27,26.3,"196,202"
2018-11-28,26.9,27.1,26.2,27.1,27,"437,511"
2018-11-27,27,28,26.7,27.7,26.9,"865,384"
2018-11-26,28,28.2,27.1,27.5,28,"440,903"
2018-11-25,27.5,27.9,27.3,27.3,27.6,"214,755"
2018-11-22,27.6,28.5,27.5,28.5,27.7,"520,692"
2018-11-20,28.5,28.5,27.5,27.5,28.2,"522,030"
2018-11-19,27.6,28.1,27.5,28,27.5,"967,110"
2018-11-18,28.5,29,27,29,28.2,"1,511,401"
2018-11-15,29.2,29.8,29,29.8,29.2,"592,426"
2018-11-14,29.5,29.8,29,29.3,29.4,"937,560"
2018-11-13,29.6,29.6,29,29,29.2,"758,738"
2018-11-12,28.9,29.3,28.8,29.3,28.9,"324,373"
2018-11-11,29.1,29.9,29.1,29.1,29.3,"694,811"
2018-11-08,29.5,29.6,29,29.4,29.4,"532,018"
2018-11-07,29,29.4,28.8,29.2,29.1,"552,452"
2018-11-06,29,29.8,28.8,29.4,29,"471,473"
2018-11-05,29.9,30.6,29,30.2,29.6,"1,107,266"
2018-11-04,30.6,31.4,30.1,31.4,30.5,"1,573,137"
2018-11-01,31.7,31.8,31.2,31.5,31.5,"2,468,262"
2018-10-31,31.7,32.3,31.7,32.3,31.7,"2,936,484"
2018-10-30,32.1,32.8,31.6,32.2,32.1,"6,619,169"
2018-10-29,32.1,32.4,31.8,32.2,32,"2,463,558"
2018-10-28,32,32.9,31.6,32.2,32.2,"4,741,931"
2018-10-25,32.1,32.2,30.5,31,32,"3,714,623"
2018-10-24,31.3,31.8,29.8,29.8,31.2,"4,541,658"
2018-10-23,29.4,30.2,28.4,29,29.6,"1,990,213"
2018-10-22,28.5,29.5,28.2,29.5,28.7,"2,322,586"
2018-10-21,29.4,30.8,29,29.4,29.3,"3,342,672"
2018-10-18,29.5,29.9,27.2,27.3,29.4,"5,509,422"
2018-10-17,27,27.8,27,27,27.2,"1,953,572"
2018-10-16,27,27.2,26.1,26.2,27,"484,050"
2018-10-15,26.2,27,26.2,26.9,26.4,"442,089"
2018-10-14,27.3,27.6,26.3,26.3,26.9,"1,287,762"
2018-10-11,26,27.5,25.8,26,26.1,"1,307,862"
2018-10-10,25.9,26,25.8,25.9,25.9,"215,503"
2018-10-09,25.8,26.1,25.8,26,25.9,"447,637"
2018-10-08,26,26.3,25.2,25.2,26,"342,884"
2018-10-07,25.5,25.6,25.3,25.6,25.5,"640,804"
2018-10-04,25.6,26.1,25.6,26,25.9,"471,237"
2018-10-03,26.1,27,24.3,24.4,25.9,"1,200,536"
2018-10-02,24.6,24.7,24.1,24.4,24.6,"206,942"
2018-10-01,24.7,24.7,24,24.2,24.5,"248,342"
2018-09-30,24.3,24.6,24.1,24.4,24.4,"180,884"
2018-09-27,24.4,24.5,24.1,24.4,24.3,"205,370"
2018-09-26,25,25,24.3,24.6,24.5,"267,694"
2018-09-25,25,25.1,24.5,25,25,"431,641"
2018-09-24,24.2,24.8,24,24.1,24.4,"111,402"
2018-09-23,24.1,24.8,24.1,24.1,24.3,"160,125"
2018-09-20,24.7,25.8,24.6,25.8,24.7,"136,328"
2018-09-19,25.2,25.5,25,25,25.3,"120,520"
2018-09-18,25,25.1,24.1,24.1,25,"85,655"
2018-09-17,24.5,25.2,24.5,25,24.7,"99,791"
2018-09-16,24.6,25,24.6,24.8,24.8,"104,144"
