DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,46.4,46.8,45.8,46.2,46.3,"204,280"
2019-06-27,46.1,46.9,45.9,46.6,46.1,"200,555"
2019-06-26,46.4,47,46.3,46.6,46.4,"150,688"
2019-06-25,46.9,47,46.3,46.9,46.4,"87,608"
2019-06-24,46.8,48,46.7,46.7,46.9,"196,670"
2019-06-23,46.8,47.1,46.3,46.8,46.6,"102,924"
2019-06-20,47.1,47.4,46.5,47.1,46.8,"270,943"
2019-06-19,47,47.9,47,47.6,47.1,"231,821"
2019-06-18,47.4,47.8,46.2,46.5,47.4,"294,672"
2019-06-17,46.3,47.4,46.1,47.4,46.2,"231,417"
2019-06-16,46.9,48.3,46.8,47.3,47,"390,436"
2019-06-13,46.9,47.8,46.7,47.1,47,"391,257"
2019-06-12,47.1,47.6,47,47.6,47.2,"202,108"
2019-06-11,48,48.3,47.5,47.5,47.9,"579,128"
2019-06-10,47.5,48.2,47,47.1,47.5,"453,418"
2019-06-09,46.8,46.8,46.2,46.4,46.7,"174,596"
2019-05-30,46.6,46.7,45.9,46,46.4,"178,746"
2019-05-29,46.5,46.5,45,45.4,46.2,"251,747"
2019-05-28,45.5,45.5,44.8,44.9,45,"137,889"
2019-05-27,44.6,44.7,43.9,44.4,44.4,"103,464"
2019-05-26,44.7,44.8,44.4,44.8,44.5,"61,236"
2019-05-23,44.9,45,44.1,45,44.5,"102,888"
2019-05-22,44.8,45.3,44.5,45.1,44.8,"98,575"
2019-05-21,45.1,45.7,45,45.7,45.1,"138,175"
2019-05-20,45.6,46.6,45.6,46.2,45.6,"134,678"
2019-05-19,45.9,46.5,45.6,45.9,46.2,"214,632"
2019-05-16,45.6,45.8,44.8,45,45.4,"119,501"
2019-05-15,45,45.5,44.9,45.5,45,"233,131"
2019-05-14,45,45.7,45,45.7,45.1,"122,582"
2019-05-13,46,46.2,45.5,46.2,45.7,"196,981"
2019-05-12,46.4,46.8,46,46.5,46.1,"140,588"
2019-05-09,46.1,46.5,45.5,46.5,46,"261,634"
2019-05-08,46,46.6,45.3,46.2,46.1,"379,454"
2019-05-07,46.4,48.2,46.1,48,46.2,"455,738"
2019-05-06,47.9,48.3,45.4,46.7,47.6,"794,541"
2019-05-05,46.9,46.9,44,44,46.7,"1,415,550"
2019-05-02,42.7,42.7,39.9,39.9,42.7,"710,453"
2019-04-30,38.5,39.6,38.5,39,38.9,"365,207"
2019-04-29,38.7,39.2,38.6,38.8,38.8,"291,663"
