DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,38.2,39.4,38.1,38.1,38.3,"46,787"
2019-06-27,37.9,38.6,37.8,38.5,38.1,"70,832"
2019-06-26,38.3,38.9,38.2,38.9,38.5,"59,491"
2019-06-25,39.1,39.7,38.3,39,38.9,"160,172"
2019-06-24,38.8,39.5,38.1,38.3,39,"180,198"
2019-06-23,38.2,39.5,37.8,39.5,38.3,"106,157"
2019-06-20,39.8,40.2,38,40.2,39,"168,664"
2019-06-19,40.1,40.2,39.1,39.2,40.1,"498,483"
2019-06-18,39.5,40,37.6,38.6,39.2,"218,638"
2019-06-17,39.2,39.3,37.8,39.2,38.6,"133,338"
2019-06-16,39.5,42,38.5,42,39.2,"224,460"
2019-06-13,39,39.3,38.6,39.3,38.8,"73,517"
2019-06-12,39,39.5,38.5,39.5,39.1,"149,930"
2019-06-11,39,40.7,38.4,40.7,38.9,"181,306"
2019-06-10,40,42,38.6,42,39.8,"556,359"
2019-06-09,38.8,38.9,36.8,37.5,38.5,"294,028"
2019-05-30,37,37.7,36.4,37.7,36.8,"157,634"
2019-05-29,37.8,40.2,36.8,40.2,37.7,"166,796"
2019-05-28,36.9,37.1,33.4,35,36.8,"731,422"
2019-05-27,34.7,35.7,33.5,33.9,35,"111,515"
2019-05-26,33.4,34,33,33.1,33.9,"78,708"
2019-05-23,33,33.8,32.9,32.9,33,"22,513"
2019-05-22,33.1,34,33,34,33.1,"16,200"
2019-05-21,34,34.2,32.4,32.4,34,"250,529"
2019-05-20,32.2,32.6,32.2,32.6,32.2,"9,814"
2019-05-19,32.7,32.7,32,32.1,32.6,"45,835"
2019-05-16,32,32.4,31.7,32,32.3,"22,100"
2019-05-15,32,32.4,31.7,32,32.1,"9,502"
2019-05-14,32.2,32.2,31.9,32.2,32,"18,744"
2019-05-13,32.2,32.2,32.1,32.2,32.2,"6,545"
2019-05-12,32.4,32.8,32.1,32.2,32.4,"16,938"
2019-05-09,31.9,33.5,31.8,32.5,32,"44,350"
2019-05-08,32.6,32.6,32,32.5,32.2,"10,580"
2019-05-07,32.2,33,32.2,32.4,32.5,"21,900"
2019-05-06,32.3,33.9,32.3,33.9,32.5,"59,947"
2019-05-05,33.7,33.8,33.1,33.5,33.7,"64,537"
2019-05-02,32.3,33,31.5,31.5,32.5,"115,919"
2019-04-30,32.3,32.5,31.2,32.5,32,"94,467"
2019-04-29,31.2,32.4,31.2,32,31.5,"22,716"
2019-04-28,32.5,33,30.1,32.6,32.3,"10,665"
2019-04-25,32.7,33.6,32.7,32.9,32.8,"54,253"
2019-04-24,32.9,33.5,32.8,33.1,33,"45,112"
2019-04-23,33.5,34.5,33.2,33.3,33.4,"19,600"
2019-04-21,33.6,34.9,33.5,34.8,33.9,"54,750"
2019-04-18,34.6,35,33.1,33.1,34.8,"103,846"
2019-04-17,33.1,34.5,32.3,33.5,33.2,"33,607"
2019-04-16,33.4,33.4,33,33.1,33.2,"38,407"
2019-04-15,33.7,33.8,33.7,33.8,33.8,"19,131"
2019-04-11,34.6,34.8,33.6,34.8,34,"107,552"
2019-04-10,33.5,35,33.4,33.4,34.2,"17,438"
2019-04-09,33.4,35,33.3,35,33.5,"55,923"
2019-04-08,34.1,34.6,34.1,34.4,34.3,"23,069"
2019-04-07,35.2,35.6,34.5,35.5,34.8,"50,464"
2019-04-04,35.1,35.2,34.5,34.5,34.9,"39,006"
2019-04-03,34.9,35.1,34.6,35.1,34.8,"29,490"
2019-04-02,35.2,35.6,35.2,35.4,35.4,"75,881"
2019-04-01,35.2,35.3,34.7,35.1,35.3,"103,394"
2019-03-31,35,35,34.3,34.3,34.8,"17,633"
2019-03-28,34.2,35.3,34.2,35.2,34.3,"30,610"
2019-03-27,34.9,34.9,34.3,34.5,34.5,"32,680"
2019-03-25,34.5,35.7,34.3,34.7,34.5,"62,384"
2019-03-24,34.7,36.5,34.3,35.8,34.7,"85,505"
2019-03-21,34.9,35.3,34.7,34.8,35,"57,220"
2019-03-20,35,36.9,34.6,35.5,34.8,"90,977"
2019-03-19,35.2,35.2,34.4,34.6,35.1,"33,980"
2019-03-18,34.5,34.6,33.9,34.2,34.3,"94,505"
2019-03-14,34.1,35.3,33.6,34.4,34.2,"103,542"
2019-03-13,33.9,35.7,33.4,34.6,33.6,"373,528"
