DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,27.1,27.3,27,27,27.1,"3,866"
2019-06-27,27.9,27.9,27,27.9,27.2,"2,350"
2019-06-26,28.2,29.6,28.2,28.5,28.5,"1,961"
2019-06-25,28.5,30,28.3,30,29.1,"3,833"
2019-06-24,28.2,28.2,28.2,28.2,28.2,758
2019-06-23,27.9,29.5,27.9,29.5,28,"5,292"
2019-06-20,28.5,29,28.1,28.5,28.6,"3,600"
2019-06-19,28.6,29,28.6,29,28.7,"2,075"
2019-06-18,28.4,29,28.4,29,28.7,"7,450"
2019-06-17,28.7,29.5,28.2,28.2,28.3,"4,503"
2019-06-16,27.9,31,27.9,31,29.4,"3,643"
2019-06-13,29.5,29.5,28.5,29.5,28.9,"2,109"
2019-06-12,29.9,30.2,28.9,29.5,29.4,"1,266"
2019-06-11,29,29.5,28.1,29.5,28.6,"3,334"
2019-06-10,28,29.5,27.2,29.5,27.7,"3,314"
2019-06-09,28,29.7,28,29.2,28.2,"3,908"
2019-05-30,29.3,29.8,28.8,29.8,29.2,"3,148"
2019-05-29,30.3,30.3,29,29.4,30,"1,206"
2019-05-28,29.1,30.5,28.5,28.5,28.8,359
2019-05-27,29.9,29.9,28.3,29.1,28.8,"1,329"
2019-05-26,29.1,30,29,29.5,29.2,"1,503"
2019-05-23,29.8,33.5,29.8,33.5,29.9,"2,041"
2019-05-22,31,31,31,31,31,300
2019-05-21,29.5,30.5,29.5,30.5,29.7,"1,582"
2019-05-20,30.7,31,30.2,30.2,30.6,"2,700"
2019-05-19,31.5,31.9,30,31,30.8,"1,579"
2019-05-16,31,32,30,32,30.9,798
2019-05-15,30.7,31,28.8,28.8,30,81
2019-05-14,30.1,30.1,30,30,30.1,"1,075"
2019-05-13,30,30,30,30,30,500
2019-05-12,30,30.8,29.9,29.9,30.1,"3,180"
2019-05-09,31,31.9,30,31.5,31.3,"3,607"
2019-05-08,30.9,31,30.9,31,31,22
2019-05-07,32.2,32.6,29.2,31.4,29.6,"15,263"
2019-05-06,32.9,33.3,30.7,33.3,31.4,405
2019-05-05,32.9,33,30.8,30.8,32.1,"32,743"
2019-05-02,29.6,30.1,29.5,30.1,30,"2,370"
2019-04-30,29.7,30.9,28.2,29.5,30.2,"2,525"
2019-04-29,30,31.7,30,31.6,31,"7,285"
2019-04-28,31,31.8,30,30,31.4,"17,541"
2019-04-25,30,30,29.4,30,29.6,"4,280"
2019-04-24,29,30,28.9,29,29,"10,958"
2019-04-23,29,29.4,29,29.4,29,"8,548"
2019-04-21,30.5,30.9,29.3,30.4,30.2,"11,154"
2019-04-18,30.3,30.8,29.2,30.8,30.2,"6,051"
2019-04-17,29.8,30,29.8,30,29.9,"4,550"
2019-04-16,29,29.9,28.7,28.7,29.5,"1,602"
2019-04-15,30.3,30.3,28,28.1,28.7,"14,263"
2019-04-11,29.2,29.3,27,28.7,27.6,"1,982"
2019-04-10,29,29,28.3,28.8,28.6,"2,027"
2019-04-09,29.5,29.5,28.7,28.8,28.8,"2,001"
2019-04-08,29.5,30.9,28.5,29.1,29.6,"13,565"
2019-04-07,28.6,32,28.6,32,28.7,"2,902"
2019-04-04,29.3,29.6,28.1,28.1,29.4,"3,310"
2019-04-03,29.4,29.4,28,28,29,"1,276"
2019-04-02,28.5,28.9,27.8,28.9,28.1,"4,202"
2019-04-01,28,28.1,28,28.1,28.1,"3,300"
2019-03-31,28,30.4,28,30.4,28,"2,432"
2019-03-28,29,30,29,30,29.3,"5,146"
2019-03-27,29.8,30,29.4,30,29.9,"1,429"
2019-03-25,29.1,32,29.1,31,29.4,"9,288"
2019-03-24,29.2,30,29,30,29.3,"4,150"
2019-03-21,29.1,29.5,29,29.5,29.2,702
2019-03-20,29.4,29.9,28,29,29,"2,281"
2019-03-19,28,30,27.1,30,28,603
2019-03-18,27.9,28.5,27,28,27.7,"2,342"
2019-03-14,27.9,27.9,27.9,27.9,27.9,1
2019-03-13,27.9,27.9,27.9,27.9,27.9,476
2019-03-12,26.9,29,26.7,26.7,27,"13,634"
2019-03-11,27.7,27.9,26.3,26.5,26.7,"2,582"
2019-03-10,26.1,28.9,26.1,28.9,26.3,"11,871"
2019-03-07,27.4,27.5,27.2,27.2,27.4,"1,250"
2019-03-06,27.4,27.8,26.7,27.5,27.2,"15,061"
2019-03-05,27.8,29.8,27,29.8,27.4,"10,435"
2019-03-04,28.5,29.9,27.2,27.2,29.2,"5,521"
2019-03-03,29.9,30.9,27,27,30.1,"4,389"
