DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,14.6,15,14.5,14.6,14.6,"137,190"
2019-06-27,14.9,14.9,14.7,14.9,14.8,"479,213"
2019-06-26,14.7,15,14.6,14.7,14.8,"438,112"
2019-06-25,14.7,15,14.7,14.7,14.8,"297,912"
2019-06-24,14.7,15,14.7,15,14.9,"695,763"
2019-06-23,14.9,15,14.6,14.6,14.8,"563,773"
2019-06-20,14.7,15.2,14.7,14.8,14.7,"726,411"
2019-06-19,14.7,15,14.7,14.7,14.7,"71,258"
2019-06-18,14.6,15,14.6,14.8,14.7,"188,658"
2019-06-17,14.9,15,14.7,15,14.7,"113,830"
2019-06-16,15,15.6,14.7,14.7,15,"822,510"
2019-06-13,15,15.3,14.9,15,15,"806,206"
2019-06-12,15.1,15.1,14.8,14.8,15,"424,415"
2019-06-11,14.9,14.9,14.7,14.8,14.9,"106,653"
2019-06-10,14.8,15,14.7,15,14.8,"24,644"
2019-06-09,14.8,15,14.7,15,14.9,"47,115"
2019-05-30,15,15.2,14.9,15.1,15,"345,470"
2019-05-29,15,15.2,14.8,15.2,15,"80,679"
2019-05-28,15.2,15.2,14.7,14.9,15.1,"302,200"
2019-05-27,15,15.2,14.7,15,14.9,"189,161"
2019-05-26,14.7,14.9,14.5,14.5,14.9,"171,999"
2019-05-23,14.5,14.5,14,14.2,14.5,"173,304"
2019-05-21,15.9,16.1,15.3,16.1,15.6,"638,615"
2019-05-20,16,16.5,15.9,16.3,16,"1,190,840"
2019-05-19,16.6,16.6,16.1,16.1,16.5,"771,436"
2019-05-16,16.1,16.1,15.5,15.5,16,"525,270"
2019-05-15,15.4,15.5,15.1,15.1,15.4,"168,466"
2019-05-14,15.4,15.4,15.1,15.3,15.4,"375,037"
2019-05-13,15.4,15.4,15.1,15.3,15.3,"384,977"
2019-05-12,15.2,15.3,15.1,15.3,15.3,"126,509"
2019-05-09,15.2,15.2,14.9,15.2,15.2,"98,576"
2019-05-08,15,15.3,14.9,15.3,15,"52,505"
2019-05-07,15.2,15.2,15,15.1,15.2,"97,388"
2019-05-06,15,15.6,15,15.6,15.1,"196,600"
2019-05-05,15.4,15.5,15.2,15.5,15.5,"490,678"
2019-05-02,15.2,15.4,15,15.1,15.2,"306,160"
2019-04-30,15.3,15.3,14.7,14.9,15.1,"430,488"
2019-04-29,14.8,15.3,14.8,15.2,14.8,"182,113"
2019-04-28,14.9,15.7,14.8,15.2,15,"195,585"
2019-04-25,14.8,15.7,14.6,15,15.2,"452,993"
2019-04-24,14.7,15,14.7,15,14.7,"187,344"
2019-04-23,15.1,15.1,14.8,14.8,15,"269,491"
2019-04-21,14.8,15,14.8,15,14.8,"46,695"
2019-04-18,15,15.2,14.7,15.2,14.8,"24,952"
2019-04-17,14.7,15,14.5,14.9,15,"229,320"
2019-04-16,14.6,14.7,14.5,14.6,14.6,"155,181"
2019-04-15,14.6,14.8,14.6,14.8,14.6,"28,491"
2019-04-11,14.7,14.7,14.5,14.5,14.6,"132,280"
2019-04-10,14.6,15,14.5,14.7,14.6,"368,973"
2019-04-09,14.7,14.9,14.7,14.7,14.7,"90,156"
2019-04-08,14.7,15,14.7,14.8,14.8,"134,916"
2019-04-07,15,15.1,14.9,14.9,15,"132,716"
2019-04-04,15,15.1,14.8,14.8,15,"191,608"
2019-04-03,15.1,15.1,14.8,15,14.9,"407,482"
2019-04-02,15.2,15.2,15,15.2,15.2,"72,310"
2019-04-01,15.2,15.3,15,15.3,15.1,"165,945"
2019-03-31,15.3,15.4,15.2,15.3,15.2,"100,150"
2019-03-28,15.5,15.5,15.2,15.2,15.4,"292,738"
2019-03-27,15.2,15.3,15.1,15.1,15.3,"198,952"
2019-03-25,15.2,15.4,15.1,15.1,15.2,"177,461"
2019-03-24,15.2,15.5,15.1,15.5,15.2,"344,703"
2019-03-21,15.6,15.8,15.4,15.5,15.5,"166,682"
2019-03-20,15.6,15.8,15.5,15.8,15.5,"58,686"
2019-03-19,15.6,15.7,15.5,15.7,15.6,"146,610"
2019-03-18,15.5,16,15.5,15.8,15.5,"225,430"
2019-03-14,15.7,16.2,15.6,16,15.7,"151,354"
2019-03-13,16,16.2,15.8,16,15.9,"634,844"
2019-03-12,15.8,15.8,15.6,15.6,15.8,"140,009"
