DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,26.5,26.8,25.8,26.1,26.5,"1,340,420"
2019-06-27,25.9,26.3,25.8,26.2,25.9,"671,112"
2019-06-26,26,26.3,25.9,26.2,26,"625,525"
2019-06-25,26.3,26.6,26.1,26.5,26.1,"410,782"
2019-06-24,26.1,26.3,25.9,26.2,26.2,"424,407"
2019-06-23,26,27,26,27,26.1,"383,215"
2019-06-20,26.1,27.1,26.1,26.7,26.3,"540,543"
2019-06-19,26.6,27.5,26.5,27.5,26.7,"604,960"
2019-06-18,27.4,27.5,25.9,26,27.3,"1,933,706"
2019-06-17,25.5,26.1,25.3,25.8,25.8,"741,086"
2019-06-16,25.9,26.7,25.9,26.2,26,"895,385"
2019-06-13,25.9,26.4,25.2,25.3,25.9,"691,769"
2019-06-12,25.3,26.2,25.2,26.1,25.3,"672,141"
2019-06-11,26,26.1,25.7,26,25.9,"718,211"
2019-06-10,25.9,26.1,25.3,25.3,25.9,"735,084"
2019-06-09,25.1,25.1,24.4,24.8,25,"378,201"
2019-05-30,24.9,24.9,24.4,24.6,24.6,"452,863"
2019-05-29,25,25,24.6,24.8,24.8,"291,245"
2019-05-28,24.4,24.6,24.1,24.4,24.4,"550,140"
2019-05-27,24.2,24.2,24,24,24.1,"102,954"
2019-05-26,24,25.1,24,25,24.2,"502,074"
2019-05-23,25,25.3,25,25,25,"131,684"
2019-05-22,25.1,25.7,25,25.2,25.1,"432,145"
2019-05-21,25.5,25.5,24.9,25.4,25.3,"236,914"
2019-05-20,25.5,26.2,25.4,26.1,25.5,"262,962"
2019-05-19,26,26.3,25.3,25.4,26,"415,049"
2019-05-16,25,25.6,24.9,25.2,25.1,"346,122"
2019-05-15,25.3,25.7,25,25.7,25.2,"414,215"
2019-05-14,25.5,26,25.5,26,25.7,"270,951"
2019-05-13,26,26.8,25.9,26.8,26.1,"672,369"
2019-05-12,26.5,27.1,26.1,26.2,26.5,"1,076,553"
2019-05-09,25.8,26,25.4,25.8,25.8,"515,066"
2019-05-08,25.8,25.9,24.8,25.9,25.7,"616,490"
2019-05-07,26.2,26.7,25.7,26,25.9,"976,066"
2019-05-06,26,26.2,24.7,25.4,25.7,"1,033,291"
2019-05-05,25.4,25.9,25,25,25.2,"1,067,539"
2019-05-02,25,25,22.9,23,24.9,"1,028,424"
2019-04-30,23,23.2,22.2,22.2,22.8,"549,444"
2019-04-29,22,22.5,21.5,22.5,21.8,"282,704"
2019-04-28,22.7,23.1,22.5,23,22.6,"409,678"
2019-04-25,22.9,23.4,22.7,23.3,23.1,"421,421"
2019-04-24,22.8,23.4,22.7,23.2,23,"335,675"
2019-04-23,23.4,24.5,23.1,24.5,23.2,"439,580"
