DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,193.4,195.4,191.9,192.1,193.2,"804,519"
2019-06-27,192.3,193.7,191.5,192,192.1,"288,217"
2019-06-26,192,193,190.8,191.9,191.7,"220,603"
2019-06-25,192.7,194,191.7,192,192.5,"211,063"
2019-06-24,191.9,193.9,191.3,193.4,192.2,"155,046"
2019-06-23,193.5,194.4,190.3,193.6,192.6,"154,920"
2019-06-20,192,195,188.3,188.5,193.4,"472,404"
2019-06-19,190,190.7,186,188.6,189.5,"425,290"
2019-06-18,187,188,183,183,186.9,"84,642"
2019-06-17,183,187,182,186,183,"159,914"
2019-06-16,185.2,193,184.6,191.8,185.3,"289,087"
2019-06-13,190.8,193,186.3,186.3,190.8,"390,104"
2019-06-12,185.3,188.7,181.8,182.9,186.3,"446,971"
2019-06-11,182.5,182.9,178.9,178.9,181.7,"107,581"
2019-06-10,178.6,182.2,178.2,178.2,178.9,"115,033"
2019-06-09,182,184,176.6,184,177.4,"196,752"
2019-05-30,179.7,182,177.5,178.6,178.6,"203,291"
2019-05-29,178.5,178.9,176.7,178,178.6,"67,769"
2019-05-28,178.2,178.2,175.5,176,177.4,"87,799"
2019-05-27,176.1,176.9,174.2,175.7,175.8,"43,727"
2019-05-26,174.6,177,174.6,176,175.7,"71,343"
2019-05-23,176.2,176.4,174.1,175,175.5,"78,582"
2019-05-22,175.5,176,172.1,172.1,174.9,"49,194"
2019-05-21,171.7,177,171.3,177,172.3,"112,632"
2019-05-20,173.6,178.8,173.6,178.8,173.9,"84,604"
2019-05-19,178.3,179.5,174.2,174.2,178.8,"138,580"
2019-05-16,174.5,175,171.1,172.3,174.2,"63,318"
2019-05-15,173,175,170.9,175,171.7,"114,737"
2019-05-14,175,175.8,169.9,171.9,174.1,"206,573"
2019-05-13,170.6,172.8,170,172,171.3,"97,549"
2019-05-12,171.9,174,170.7,172.9,171.8,"158,685"
2019-05-09,173,175,170,172,172.9,"121,733"
2019-05-08,174,175.4,169.5,172.1,173.9,"113,421"
2019-05-07,173.4,173.9,170.8,172.7,172.1,"280,386"
2019-05-06,173,179.9,171.9,178,173,"130,691"
2019-05-05,177.7,177.8,170,171.9,175.1,"285,401"
2019-05-02,172.3,177,168.7,177,171.9,"240,571"
2019-04-30,169,173,165.1,173,169.9,"228,750"
2019-04-29,173,175,171,175,172.6,"102,579"
2019-04-28,174,179,173.1,179,174.8,"100,564"
2019-04-25,180,181,177.7,181,178.7,"138,999"
2019-04-24,181.2,182.4,180.4,180.5,180.9,"195,424"
2019-04-23,181,182,180.7,181.1,181,"102,873"
2019-04-21,181.6,184,181,183.1,181.4,"66,635"
2019-04-18,183,183.4,181,183.4,182.3,"182,602"
2019-04-17,182.3,182.3,178,180,181.9,"139,435"
2019-04-16,178.1,181.4,178,181.2,178.5,"143,319"
2019-04-15,180,184,180,184,181.2,"55,380"
2019-04-11,182.6,184.5,181.2,183.4,182.9,"84,491"
2019-04-10,181.9,184.5,180.8,181.7,181.4,"75,434"
2019-04-09,181.7,186,181.5,182.6,181.8,"158,654"
2019-04-08,183.9,185.2,181.1,181.6,183,"171,474"
2019-04-07,182,187,181,186.9,181.4,"229,329"
2019-04-04,186.5,186.5,180.4,183.4,185.2,"243,233"
2019-04-03,183.1,188.4,181.8,185.7,183.2,"332,121"
2019-04-02,185.4,192,185,190.9,185.6,"354,633"
2019-04-01,188,196,187.5,193,189,"431,564"
2019-03-31,194.9,194.9,190,192.1,193.8,"356,984"
2019-03-28,193,197.8,191,195,192.1,"745,999"
2019-03-27,196.5,201,182.3,193,198.6,"680,331"
2019-03-25,191.6,210,188.7,210,190.6,"2,437,363"
2019-03-21,269,270.8,262,263.8,268.9,"886,872"
2019-03-20,266,272,262.5,270.5,263.8,"478,080"
2019-03-19,271.8,273.5,269,272.1,270.3,"399,560"
2019-03-18,273,278.6,269,277.3,271.9,"546,039"
2019-03-14,278.2,278.9,270,270.1,277,"521,393"
2019-03-13,271,275.5,269.7,272.4,271.9,"598,511"
2019-03-12,273,275,266.3,273.1,269.9,"508,522"
2019-03-11,273.4,279.9,271.1,277,273.1,"533,575"
2019-03-10,276.6,279.9,265,266.1,276.8,"944,298"
2019-03-07,267.4,267.4,257.4,261,264.5,"505,083"
2019-03-06,259,265,253.5,253.5,259.4,"920,081"
2019-03-05,253,254.5,241.6,241.6,253.5,"736,910"
2019-03-04,243.9,249,241.1,249,243.5,"593,802"
2019-03-03,248.4,259,241,250,248.4,"1,389,022"
2019-02-27,241.5,242.7,238.9,241.6,240,"216,155"
2019-02-26,241.1,243.3,238.1,239,241.1,"169,029"
2019-02-25,240.9,246,239,245,240.4,"240,640"
2019-02-24,244,246.8,242.5,245.7,244.6,"305,737"
2019-02-20,244,244.6,237.6,238,242.9,"180,899"
2019-02-19,237.5,238.5,235.7,237,236.5,"139,729"
2019-02-18,237.1,238.4,236.5,236.5,237.1,"67,640"
2019-02-17,237.8,239.4,235.1,239,237,"95,455"
2019-02-14,237,239,235,239,236.3,"186,157"
2019-02-13,239.1,243,238.1,242,239.7,"151,248"
2019-02-12,242.2,247,242.1,246.5,242.5,"213,314"
2019-02-11,247,249.9,245.1,247.6,246,"238,032"
2019-02-10,249.9,254.6,246.9,247,249.1,"605,262"
2019-02-07,247.2,250,243,243,247.4,"382,157"
2019-02-06,244,247,242.2,245,243.4,"286,418"
2019-02-05,244.7,253,242,247.4,244.8,"604,856"
2019-02-04,247.7,249.6,240,240,246.4,"943,968"
2019-02-03,238.2,239.9,233,235,238.4,"241,922"
2019-01-31,235.6,244.8,235,240.8,235.9,"349,409"
2019-01-30,241.6,242.5,235.5,237,241.5,"488,584"
2019-01-29,234.4,237.8,233,235.1,235.1,"298,529"
2019-01-28,235.5,237.5,232.2,232.2,235.1,"395,934"
2019-01-27,232,233.6,230.5,231.4,232.1,"265,144"
2019-01-24,233.2,234.8,230.7,232.5,231.3,"240,230"
2019-01-23,232.5,235.4,230,233,233.7,"261,633"
2019-01-22,230,235.6,230,235.6,231.3,"177,566"
2019-01-21,233,237,232.8,233,234.1,"194,886"
2019-01-20,232,236.4,231.5,235,232.2,"240,896"
2019-01-17,231.3,243.9,230.5,238.4,233.3,"430,595"
2019-01-16,238,244.5,237.5,242,238.4,"530,997"
2019-01-15,239.6,244,237,240,239.7,"687,756"
2019-01-14,238,244,234.8,234.9,238.9,"1,225,861"
2019-01-13,233.5,239,232.8,236.1,233.8,"438,913"
2019-01-10,235.5,245.5,235,241.9,235.9,"567,317"
2019-01-09,238.3,244.8,228,233.8,238.7,"1,178,383"
2019-01-08,235,236.5,230.1,233.9,232.2,"379,075"
2019-01-07,231.4,237,226.6,229.5,230.7,"890,686"
2019-01-06,226,226.6,224.1,226,226.1,"259,631"
2019-01-03,225,226.9,223.4,225.5,225.7,"247,901"
2019-01-02,225,226.1,221.6,224.4,225.2,"168,787"
2019-01-01,223,223,221,221.3,222.7,"78,926"
2018-12-27,222.7,222.8,218.5,219,221.2,"330,424"
2018-12-26,221,221.9,219,221.1,220.2,"123,079"
2018-12-24,222,223.5,219,221.9,221.1,"99,317"
2018-12-23,220.7,220.8,216.6,216.6,220,"138,839"
2018-12-20,216.5,217,215.2,216.2,216.4,"66,525"
2018-12-19,217,217.8,215.1,217.7,216,"155,603"
2018-12-18,216.5,217.7,215.1,216.5,216.5,"108,375"
2018-12-17,215.9,216.5,213.5,214.7,215.3,"55,389"
2018-12-13,216,216.3,214.4,215.7,214.7,"108,781"
2018-12-12,216.5,217,213.2,215.8,215.9,"123,057"
2018-12-11,215,216.4,214.2,215.4,214.9,"70,104"
2018-12-10,216,217,214.3,217,215.4,"59,774"
2018-12-09,214,215,212.5,213.3,213.7,"58,974"
2018-12-06,214,216.5,212.2,214.2,213,"36,035"
2018-12-05,213.9,217.2,213.7,214.8,214.2,"31,077"
2018-12-04,213.2,215,212.2,212.3,213.7,"54,899"
2018-12-03,214.8,215.8,211.1,215.8,212.2,"86,799"
2018-12-02,215.1,217,212,215,212.7,"145,979"
2018-11-29,219,219,214,217.7,215.1,"67,961"
2018-11-28,215.2,220,215.1,217,215.7,"85,851"
2018-11-27,215.1,220.9,215,220.9,217,"206,505"
2018-11-26,219.4,221.4,218.5,219,219.9,"124,305"
2018-11-25,219.1,221.2,217.2,221.2,219.6,"66,442"
2018-11-22,221,223.5,218.6,220,219.3,"65,633"
2018-11-20,220,223.8,218.6,223.5,220.6,"38,824"
2018-11-19,221.9,224.8,218,219.9,221.2,"91,904"
2018-11-18,218,219,216.7,218.9,218,"107,930"
2018-11-15,217.6,219.4,216.1,217,217.1,"75,414"
2018-11-14,217,219.8,216.7,219,217.6,"68,032"
2018-11-13,219.5,219.5,213,215.9,217.6,"127,749"
2018-11-12,214.3,216,211.3,214,213.4,"106,584"
2018-11-11,213.2,218.7,212.2,217,213.8,"71,773"
2018-11-08,214.9,215.4,209.1,209.1,214.3,"92,932"
2018-11-07,210.5,210.9,208.2,209.2,209,"83,801"
2018-11-06,207.6,212,207.5,209.2,208.4,"82,630"
2018-11-05,210.1,211,206.1,210,210.1,"75,369"
2018-11-04,208.3,218,207,215.6,208,"117,415"
2018-11-01,215,220,214.7,216.4,215.6,"159,802"
2018-10-31,218,222.7,214.7,220.1,216.4,"112,883"
2018-10-30,218.7,232,218.7,227.9,220.8,"320,535"
2018-10-29,225.3,228,217.2,220.3,225.6,"166,283"
2018-10-28,223.2,228.8,220.3,228.8,222.4,"76,919"
2018-10-25,226.6,227.7,218,218.5,225.2,"155,886"
2018-10-24,219,220,216.1,220,217.9,"56,818"
2018-10-23,218,220,216.5,219.9,217.3,"83,992"
2018-10-22,216.2,223.5,216.2,221.2,217.3,"100,464"
2018-10-21,221,223.6,219,221,220.8,"118,630"
2018-10-18,224,225.5,220.5,224.2,222.4,"135,500"
2018-10-17,226,228,224,225.1,225.2,"103,229"
2018-10-16,224.5,225.7,220,221.8,225,"225,183"
2018-10-15,220.7,226.7,219.1,222,220.2,"250,062"
2018-10-14,223.9,230,223.7,230,224.4,"223,406"
2018-10-11,230,241.9,229.6,235,230.8,"519,205"
2018-10-10,234.4,235.5,228,234.6,233.8,"465,080"
2018-10-09,236.4,242.2,235,242.2,235.8,"703,725"
2018-10-08,242.5,248.4,237,241.9,242.2,"1,212,816"
2018-10-07,240.7,244,235,235.5,240.9,"1,243,949"
2018-10-04,233.9,233.9,216.3,216.7,233.9,"1,313,151"
2018-10-03,215.3,217.5,215,217.5,215.1,"146,972"
2018-10-02,215.7,219,212.7,217,215.2,"141,793"
2018-10-01,217,217.7,214,215,215.3,"171,029"
2018-09-30,211,216,209.7,215,210.9,"298,494"
2018-09-27,215,217,213.2,216.1,214.5,"136,143"
2018-09-26,219,224,215.8,221.5,217,"137,750"
2018-09-25,222,222,214.6,216.8,220.8,"263,783"
2018-09-24,216.1,221.7,216.1,219.1,216.8,"348,590"
2018-09-23,218.5,230,218,229,219.9,"524,875"
2018-09-20,228.6,233,227,229.5,227.8,"493,661"
2018-09-19,225.5,230.9,221,223.2,226.4,"559,616"
2018-09-18,222.9,229,220.1,225.6,222.4,"682,765"
2018-09-17,223.6,231,223.5,231,224.9,"706,060"
2018-09-16,230,237,222.9,222.9,230.5,"1,445,867"
2018-09-13,222.5,225,212.3,212.3,222.9,"1,595,279"
2018-09-12,213.5,214.9,208.5,209,213.2,"319,672"
2018-09-11,209.6,211.5,208.5,209.3,208.9,"377,064"
2018-09-10,208.2,217,208.1,216,209.1,"432,248"
2018-09-09,214,216,208.5,211.3,214.4,"546,102"
2018-09-06,211.5,213.7,207.9,211.9,211.2,"425,003"
2018-09-05,209.9,212.8,204.1,208.2,211.4,"463,748"
2018-09-04,208.1,211.9,203.9,203.9,208.3,"420,024"
2018-09-03,203,204,201.6,203.6,202.7,"135,645"
2018-08-30,201.8,203.7,197.4,197.4,201.6,"279,565"
