DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,60,61.2,59.5,59.5,60.1,"864,903"
2019-06-27,59.8,59.8,57.6,58.3,58.9,"907,267"
2019-06-26,58.6,59.8,57.7,58.4,58.1,"1,115,863"
2019-06-25,58.5,59,56.6,57.3,58.4,"866,935"
2019-06-24,57.3,59,55.8,55.8,57.2,"1,427,405"
2019-06-23,55.8,56.7,54.5,54.8,55.8,"863,552"
2019-06-20,54.5,54.8,53.8,54,54.2,"195,787"
2019-06-19,53.8,56,53.8,55.6,54,"330,305"
2019-06-18,55.6,57,53.6,54.8,55.2,"946,839"
2019-06-17,53.7,54.9,51.5,52.5,54.1,"643,108"
2019-06-16,52.4,53.5,52.1,52.1,52.5,"323,316"
2019-06-13,51.8,52.5,51.4,52.4,51.8,"203,447"
2019-06-12,52,52.8,51.8,52.7,52,"154,181"
2019-06-11,52.9,53.3,51.4,51.5,52.9,"345,840"
2019-06-10,51.4,52.4,51.2,52.2,51.5,"170,397"
2019-06-09,52.6,52.8,49.5,49.5,52.2,"181,114"
2019-05-30,49.5,50,49.3,50,49.5,"38,284"
2019-05-29,49.7,50,49.2,50,49.7,"36,422"
2019-05-28,49.7,49.8,48.5,49.4,49.6,"61,611"
2019-05-27,48.6,49.2,48.6,49.2,48.8,"26,942"
2019-05-26,49.2,50,49.1,50,49.2,"43,392"
2019-05-23,49.5,50.1,49.5,50.1,49.8,"21,248"
2019-05-22,50,50,49.4,49.5,49.8,"67,243"
2019-05-21,49.2,50.1,49.2,50.1,49.5,"70,666"
2019-05-20,50,50.9,49.8,50.7,50.1,"112,061"
2019-05-19,50.7,51,50.3,50.9,50.9,"57,955"
2019-05-16,50.4,50.6,49.5,49.5,50.3,"56,645"
2019-05-15,49.6,50.8,49.4,50.3,49.7,"57,813"
2019-05-14,50,51,49.8,50.5,49.9,"95,458"
2019-05-13,50.9,51.8,50.7,51.7,50.9,"91,148"
2019-05-12,51.6,52.1,51.2,52,51.3,"110,323"
2019-05-09,51.1,52.6,51,52,51.3,"272,585"
2019-05-08,51.8,52,51.1,51.7,51.5,"161,452"
2019-05-07,52,53.5,51.4,52.9,51.7,"322,196"
