DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,529.9,543.9,522,532.1,524.1,"17,554"
2019-06-27,535.2,557.9,533.1,546.2,535.6,"31,598"
2019-06-26,543.8,558,541.6,558,546.2,"34,217"
2019-06-25,556.2,574,547,547.8,557.4,"64,414"
2019-06-24,544,549,533.1,540.2,542.1,"26,565"
2019-06-23,540,549,518.1,518.1,532.7,"50,900"
2019-06-20,514.2,538,510.1,515,513.8,"31,427"
2019-06-19,513.6,544.5,512.6,540,515,"44,365"
2019-06-18,526,554,516.2,524,530.3,"44,652"
2019-06-17,520,563.9,512.3,539,518,"50,268"
2019-06-16,530,530,500,501,530,"101,492"
2019-06-13,487.4,487.4,447,450,487.4,"35,772"
2019-06-12,445.1,464.9,445,458,448.2,"32,068"
2019-06-11,453.5,453.5,421,421,453.5,"33,016"
2019-06-10,418,419,409,412,417.1,"10,333"
2019-06-09,406.7,413,406,407.2,407.5,"11,104"
2019-05-30,407,409.8,404.2,409.8,405.5,"8,155"
2019-05-29,402.2,414.5,402.2,414,404.9,"11,004"
2019-05-28,409,415,408,409.3,409.2,"10,641"
2019-05-27,408.8,422.8,408,422.8,408.7,"5,771"
2019-05-26,422.2,424,405,405.1,419.7,"12,973"
2019-05-23,406.9,425,405,423.2,406,"9,127"
2019-05-22,426,427.9,410,411,423.2,"16,467"
2019-05-21,410.5,414.8,404.3,412,410.7,"5,490"
2019-05-20,409,418,403,406,406.6,"6,619"
2019-05-19,406,417.7,400,416,403.6,"15,401"
2019-05-16,410,419,410,415.2,411.9,"4,704"
2019-05-15,414.5,415.2,410,414.7,412.1,"3,133"
2019-05-14,417.5,422,414.2,419.9,415.9,"2,791"
2019-05-13,418,432,416.5,425,418.5,"7,867"
2019-05-12,424.8,424.8,406,419,419,"8,829"
2019-05-09,411.2,419,410.5,418.9,412.3,"5,617"
2019-05-08,412,419.2,405.7,414,409.9,"6,758"
2019-05-07,406.8,430.7,406.8,430.6,409.5,"9,245"
2019-05-06,419,446.7,415.3,446,418,"15,390"
2019-05-05,440.1,448,437.1,439.9,441.5,"13,920"
2019-05-02,434,435,403.5,407.2,433.2,"17,415"
2019-04-30,396,422.9,396,410,402.1,"14,050"
2019-04-29,406.8,431,406.8,429,409,"10,027"
2019-04-28,437.9,455,426,446,433.6,"8,853"
2019-04-25,442,453.6,430,450,447.7,"17,563"
2019-04-24,440.3,463.3,440.3,463.3,443.1,"11,579"
2019-04-23,462.5,480,461.3,476.1,463.3,"8,051"
2019-04-21,474,485,473.1,479.9,475.7,"8,662"
2019-04-18,468.2,480,465.3,472,471.4,"7,885"
2019-04-17,462,488.9,462,478,465.7,"12,565"
2019-04-16,471.5,490,470,490,471.9,"8,523"
2019-04-15,480,521.9,480,488.8,488.7,"18,813"
2019-04-11,477,490,473,473,480.1,"10,639"
2019-04-10,464.5,480,461,479.8,466.3,"10,407"
2019-04-09,477.8,508,460,501,470.3,"17,113"
2019-04-08,492.1,526.7,492,520,499.6,"19,099"
2019-04-07,520,541.7,512.2,539.9,520,"18,904"
2019-04-04,536,548,535.1,537,537,"16,316"
2019-04-03,534,545,525.6,540,534,"20,258"
2019-04-02,536,545,532,536.5,533.1,"12,773"
2019-04-01,539,550.2,532,535,534.3,"15,686"
2019-03-31,537,545,531.3,541.2,533.9,"15,693"
2019-03-28,546.5,568,546.1,560,548,"19,950"
2019-03-27,557,557,535,557,553.1,"24,265"
2019-03-25,543,559.5,538.1,559.5,540.1,"27,056"
2019-03-24,551,590,549,575,558.3,"36,960"
2019-03-21,561.9,561.9,525,525,561.9,"56,605"
2019-03-20,524.9,539,506.5,513.3,522.7,"25,864"
2019-03-19,506,523.3,500.2,514.5,503.4,"21,393"
2019-03-18,518.9,546,510.2,544.3,514.3,"11,078"
2019-03-14,547.9,560,542,548.2,544.3,"20,571"
2019-03-13,549.7,563,540,548,547.1,"25,296"
2019-03-12,547,577.9,545.2,573,546.3,"15,105"
2019-03-11,575,576,530,537.2,567.1,"32,992"
2019-03-10,536.5,555,535.2,553.6,537.1,"11,838"
2019-03-07,546.2,567.9,545.1,561,547.6,"17,697"
2019-03-06,556.3,568.9,555,564.9,560.8,"11,664"
2019-03-05,560,589.9,556,581,559.9,"17,494"
2019-03-04,579.6,610,576.5,591,578.5,"22,659"
2019-03-03,593,616,587,616,588.9,"32,101"
2019-02-27,615,637.7,612,619,616.1,"24,796"
2019-02-26,622,622,591,598,618.6,"21,546"
2019-02-25,603,618,592.1,610.7,597.8,"14,787"
2019-02-24,611.9,625,609,625,610.5,"22,438"
2019-02-20,618.4,634.5,618,634.5,621.7,"20,927"
2019-02-19,628.5,634.5,620.2,623.1,623.3,"15,598"
2019-02-18,625,646,620,646,623.1,"24,542"
2019-02-17,640,663.6,630,663.6,637.4,"34,593"
2019-02-14,670,690,661.2,680,666.3,"24,988"
2019-02-13,693.8,711,685,692,688.8,"38,049"
2019-02-12,684.9,698,670,689,673.9,"17,244"
2019-02-11,685,710.2,680.3,710.2,685,"26,231"
2019-02-10,709.4,734,702.3,705,708.1,"50,429"
2019-02-07,693.7,693.7,652.2,659,693.7,"52,118"
2019-02-06,650,667,643.1,667,645.3,"15,151"
2019-02-05,653.6,669,647,662.3,649.9,"21,853"
2019-02-04,654.6,670,641,645,654.3,"26,581"
2019-02-03,633,664,625,647.2,635.4,"18,855"
2019-01-31,650,674.8,640,665,646,"26,350"
2019-01-30,665,687.9,647,670,653.7,"24,700"
2019-01-29,654.3,699,641,678,667.8,"54,237"
2019-01-28,664.4,664.4,618.2,620,663.6,"40,504"
2019-01-27,612.2,663,610.9,663,618.1,"32,448"
2019-01-24,650,694,650,688,657.8,"28,109"
2019-01-23,675.5,704,670,690,683.1,"51,815"
2019-01-22,687,723.7,675,719.8,684,"37,865"
2019-01-21,709.7,749,700.1,732,705.7,"44,026"
2019-01-20,719,775,716.3,757.3,725.2,"53,864"
2019-01-17,756,800,752.5,798,762.1,"63,095"
2019-01-16,775.3,819,775.2,809.9,778.2,"75,253"
2019-01-15,800.2,816,775,780.1,800.4,"104,533"
2019-01-14,764.9,782,740.1,750,760.5,"124,738"
2019-01-13,793,819.9,780,800,783.8,"135,924"
2019-01-10,764.3,764.3,720,720,764.3,"110,878"
2019-01-09,717.7,720,689.9,689.9,711,"71,111"
2019-01-08,680,709.5,674.9,674.9,679.8,"103,778"
2019-01-07,665,685,659.8,669.8,662.2,"55,406"
2019-01-06,659.2,699,655,687.8,659.7,"81,162"
2019-01-03,683,688,660,669,678.3,"65,765"
2019-01-02,657.5,695,651.1,680,659.1,"82,895"
2019-01-01,679.8,708,657.2,680,669.3,"53,238"
2018-12-27,689,723.6,680.2,699,686.4,"93,860"
2018-12-24,673.3,673.3,628,628,673.3,"48,519"
2018-12-23,628,666,622,666,626.4,"32,857"
2018-12-20,661,712,652,680,667.6,"98,341"
2018-12-19,665.7,665.7,637.5,637.5,665.7,"63,581"
2018-12-18,634,673,606.4,645.5,619.3,"116,870"
2018-12-17,655.5,715,655.5,710,655.5,"59,947"
2018-12-13,712,768,705,748.9,708.6,"87,581"
2018-12-12,731.1,778.8,705.2,710,738.9,"119,493"
2018-12-11,726.7,790,726.7,775,729.2,"153,527"
2018-12-10,780,830,752.3,800,785.6,"158,516"
2018-12-09,785.6,785.6,750,750,785.6,"116,043"
2018-12-06,731.2,731.2,689,695,730.8,"131,030"
2018-12-05,687.6,687.6,630,630,680.2,"83,535"
2018-12-04,620,695,490,540,639.7,"237,625"
2018-12-03,572,573.7,549.8,549.8,573,"133,211"
2018-12-02,533.7,533.7,480.1,490.8,533.7,"103,989"
2018-11-29,488.5,540,488.5,535,490.8,"94,454"
2018-11-28,525.4,555,525,530,528.1,"89,846"
2018-11-27,524,556,516.6,529,526.7,"99,677"
2018-11-26,530,539.4,507,539,525.7,"103,180"
2018-11-25,496,496,459,470,496,"33,062"
2018-11-22,454,495,450,485,456.1,"90,459"
2018-11-20,473,547.8,472,546.5,480.7,"103,518"
2018-11-19,509.7,509.7,472,509.7,509.7,"145,841"
2018-11-18,468.7,468.7,450,459.7,468.7,"15,429"
2018-11-15,431,431,396,399.4,431,"93,226"
2018-11-14,395,425.5,395,413,396.4,"133,286"
2018-11-13,391.3,391.3,365,370,391.3,"75,224"
2018-11-12,359.9,359.9,336.9,337.9,359.9,"74,341"
2018-11-11,337,338.1,318,318,331,"115,564"
2018-11-08,312,315.5,304,304,310.9,"64,641"
2018-11-07,294.6,304,286.5,289,300.3,"26,292"
2018-11-06,288.4,294,285.7,294,287.4,"8,208"
2018-11-05,285.6,296,285.6,292,288.2,"12,941"
2018-11-04,285,295,285,290,287.2,"9,991"
2018-11-01,289.9,297.5,286.6,297.5,289,"8,682"
2018-10-31,287,293.9,285,289,286.2,"9,845"
2018-10-30,290.7,304,285.1,299,287.9,"16,241"
2018-10-29,293.5,298.8,275,280,291.3,"19,035"
2018-10-28,287,287,273.3,287,276.4,"18,179"
2018-10-25,292,312,287,309.9,293.2,"16,568"
2018-10-24,305,314.8,302.3,303.9,307.4,"58,620"
2018-10-23,300,304,290,292,299.1,"36,473"
2018-10-22,285.8,288.8,278.2,280,284.3,"8,472"
2018-10-21,280.3,294.9,280,292.3,280.7,"3,771"
2018-10-18,296,309.8,290,291,297.9,"43,702"
2018-10-17,292.1,298.9,281,281,288.7,"19,560"
2018-10-16,277.1,285,275,279.8,276.7,"6,609"
2018-10-15,279,279.9,270.5,279.9,274.6,"2,204"
2018-10-14,277,289.8,263.3,270.1,271.3,"7,685"
2018-10-11,275.9,287.9,265.1,278,267.2,"8,003"
2018-10-10,286.5,294,277.3,293.2,282,"16,630"
2018-10-09,293,299,290,290,291.2,"28,585"
2018-10-08,290,304.8,290,303,291.7,"22,175"
2018-10-07,308,318.2,300,310,301.9,"24,460"
2018-10-04,301.4,301.4,285,285,301.3,"70,166"
2018-10-03,277.2,277.2,259.6,264,277.2,"12,976"
2018-10-02,255.2,263.9,254.5,263.9,254.9,"5,335"
2018-10-01,261.7,269,255.1,269,259.2,"6,913"
2018-09-30,264,264,242.2,243.2,260.9,"7,349"
2018-09-27,241.6,249.9,241.3,247.3,242.8,"4,509"
2018-09-26,245.1,253.5,245.1,253.5,245.9,"2,613"
2018-09-25,253.7,253.9,242,250.1,245.8,"4,155"
2018-09-24,245,263.8,245,263.8,250.2,"7,852"
2018-09-23,260.9,270,256.1,260.1,263.8,"8,358"
2018-09-20,265,272,260,272,263.5,"18,293"
2018-09-19,269,281,267.1,281,271.9,"8,329"
2018-09-18,275.4,284.7,275.1,282.2,275.3,"5,172"
2018-09-17,285,285,271,275.1,281.9,"17,452"
2018-09-16,275.1,285,272.1,282,275.8,"13,954"
2018-09-13,280,292.9,280,290,282.5,"5,080"
