DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,37.2,39.5,36.9,38.9,37.2,"740,650"
2019-06-27,39,42.4,38.7,41.8,39.2,"986,647"
2019-06-26,41.1,43.7,40.1,43.3,41.3,"1,324,601"
2019-06-25,43.2,45,42,44.9,43,"957,707"
2019-06-24,44.9,46.2,44.5,45.8,44.6,"620,745"
2019-06-23,45,47.3,44.6,46.1,45.3,"563,977"
2019-06-20,46,50,45.8,49,46.1,"946,079"
2019-06-19,49,50.5,46.5,46.5,50,"2,206,138"
2019-06-18,46.4,46.7,45.1,45.7,46,"940,765"
2019-06-17,44.4,46.7,44,44.7,44.3,"709,592"
2019-06-16,45,47.9,44.5,47.5,44.8,"803,175"
2019-06-13,45.8,49.1,45.5,47.5,46.9,"897,309"
2019-06-12,46.9,47.9,45,46,47,"647,089"
2019-06-11,45.5,47,44,46.6,45.5,"773,766"
2019-06-10,46.4,47.3,43.7,47.3,45.7,"749,714"
2019-06-09,46,49.2,45.8,48.8,46.3,"653,586"
2019-05-30,48.5,50,48,48.1,48.3,"731,741"
2019-05-29,48.7,48.8,46.9,48,48.3,"259,541"
2019-05-28,47,50,46,50,46.5,"777,227"
2019-05-26,50.8,52.8,50.6,50.8,51.9,"737,233"
2019-05-23,50.7,53,50.5,51.6,50.8,"476,653"
2019-05-22,51.5,53.8,51.5,52.6,52.6,"643,628"
2019-05-21,53,54.4,51.8,53.5,52.6,"697,215"
2019-05-20,53.8,56,52.2,55,53.7,"743,020"
2019-05-19,53.9,53.9,51,51,53.9,"1,092,271"
2019-05-16,49.2,49.5,47.1,49.5,49,"195,195"
2019-05-15,47.8,49.6,46.6,47,48.3,"391,579"
2019-05-14,46.5,46.5,45.1,45.1,46.2,"189,731"
2019-05-13,46.3,47.1,44.9,45.5,45.3,"213,832"
2019-05-12,45.2,46.6,45,46.5,45.8,"179,068"
2019-05-09,46,49.4,46,49.4,46.3,"363,908"
2019-05-08,48.5,50.2,47,50.2,47.7,"195,897"
2019-05-07,48.4,52,47.4,51.3,48.2,"354,869"
2019-05-06,50.4,54,50.4,54,50.8,"583,218"
2019-05-05,53.2,53.4,49.2,49.2,53.2,"708,212"
2019-05-02,48.8,50.7,48,50,48.6,"371,026"
2019-04-30,49.6,50,48.3,49.9,49,"416,583"
2019-04-29,48.8,48.8,46,46,48.8,"557,622"
2019-04-28,43.9,51.5,43.7,51.5,44.4,"832,122"
2019-04-25,53.4,56.2,52,54.9,53.5,"756,630"
2019-04-24,54.5,55,51.2,53.8,53.7,"821,903"
2019-04-23,51.3,55.5,51.3,53,52.3,"337,330"
2019-04-21,53.2,58,53.2,57.3,55,"630,416"
2019-04-18,58.3,59.9,56.3,59.9,57.3,"557,781"
2019-04-17,57.9,57.9,52.7,54,57.9,"1,402,662"
2019-04-16,53.1,53.5,52,53.1,52.7,"214,368"
2019-04-15,53.2,54.7,52.6,53.2,53,"536,548"
2019-04-11,53.5,55,52.6,52.6,53.1,"303,560"
2019-04-10,52.6,53.5,51,51.9,51.8,"309,319"
2019-04-09,50.9,54.3,49.9,52,51.8,"581,895"
2019-04-08,52.3,57.8,51.8,57.8,52.2,"217,716"
2019-04-07,57.1,59.7,55.2,59.7,56.7,"210,486"
2019-04-04,58.5,59.9,58,59.9,58.8,"312,663"
2019-04-03,57.5,61.9,57.5,60.9,59.6,"616,459"
2019-04-02,59.3,61.1,56.7,60.3,60.1,"516,281"
2019-04-01,57.6,59.4,55,55.4,58.6,"395,643"
2019-03-31,54.8,58,54.5,54.5,55.2,"438,550"
2019-03-28,53.8,54.8,50.4,50.4,54.3,"523,802"
2019-03-27,50.5,52.7,49.3,51.9,49.9,"119,236"
2019-03-25,51.9,52,50.2,50.8,51.5,"206,945"
2019-03-24,50.5,51.4,48.6,51,49.6,"144,056"
2019-03-21,50,52.8,47.3,51,51.1,"535,265"
2019-03-20,49.7,55.8,49.7,55.8,49.9,"393,491"
2019-03-19,55.5,55.8,51.8,53.5,55.2,"324,084"
2019-03-18,51.4,57.2,51.2,57.2,53.5,"1,108,666"
2019-03-14,57.7,61.4,56,61.2,56.8,"496,260"
2019-03-13,59,64,59,63.8,60,"851,157"
2019-03-12,63.5,63.5,59,61.7,62.2,"431,619"
2019-03-11,61.4,65,60.5,65,61.6,"1,111,478"
2019-03-10,64.1,66.1,64.1,66,64.7,"301,632"
2019-03-07,63.8,67,63.5,63.9,64.3,"1,469,170"
2019-03-06,63,65.6,62.2,65.6,63.2,"1,140,753"
2019-03-05,63.7,66.5,63.2,65.4,64.4,"1,034,925"
2019-03-04,66.5,67.3,64.1,64.3,65.9,"827,028"
2019-03-03,64.5,68,63.1,65,64.1,"1,149,116"
2019-02-27,68,69.6,65.9,67.1,67.3,"828,107"
2019-02-26,68,69.3,63.9,63.9,67,"3,804,859"
2019-02-25,63.6,63.8,60.6,62.8,63,"1,882,408"
2019-02-24,62.6,62.9,59.1,59.2,62,"1,193,375"
2019-02-20,58.5,60.4,56,56,58.6,"1,990,058"
2019-02-19,56,63,54.8,61.5,56,"1,546,719"
2019-02-18,62.7,66,58.8,62,60.8,"1,897,616"
2019-02-17,61.4,62.3,60,61.8,61.3,"1,239,201"
2019-02-14,61,65.3,59.8,63.8,61.1,"2,058,151"
2019-02-13,59,59.7,54,55.5,59.5,"1,545,767"
2019-02-12,56.9,57.8,52.5,55.5,54.3,"2,045,975"
2019-02-11,55.4,55.4,49.1,50.4,55.4,"1,865,388"
2019-02-10,51.2,52.9,49.5,50.5,50.4,"2,742,511"
2019-02-07,48.8,48.8,46.8,48.8,48.8,"2,909,675"
2019-02-06,44.4,44.4,42.5,44.4,44.4,"5,309,122"
2019-02-05,41.6,41.8,38.8,39.5,40.4,"1,909,433"
2019-02-04,39,44,38.6,43.2,38.8,"1,858,157"
2019-02-03,42.6,48.2,41.6,44.9,42.8,"2,150,978"
2019-01-31,44.9,46,42.3,43,44.2,"2,244,652"
2019-01-30,41.5,42.4,39.5,39.5,42.3,"3,333,762"
2019-01-29,39.9,41.6,37,38.7,38.6,"1,768,613"
2019-01-28,38.5,43.1,38.5,43.1,38.7,"2,224,235"
2019-01-27,43,43.1,39,40,42.7,"4,129,929"
2019-01-24,39.8,41.4,38.6,40.1,39.2,"2,747,965"
2019-01-23,39.3,39.3,36.1,36.9,39.1,"6,336,336"
2019-01-22,35.8,35.8,32.7,35,35.8,"3,124,846"
2019-01-21,32.6,32.6,31,31.5,32.6,"4,071,894"
