DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,31.8,33.1,31.5,32.7,31.9,"17,277"
2019-06-27,32.5,33.7,32,32,32.7,"46,104"
2019-06-26,32.6,33.7,32.6,33.7,32.7,"67,867"
2019-06-25,32.6,33.9,32.5,32.6,32.7,"32,698"
2019-06-24,33,33.7,32.9,33.7,33,"15,722"
2019-06-23,33.1,34.1,33,34.1,33.1,"28,920"
2019-06-20,33.5,34.6,33.4,34.6,33.5,"10,450"
2019-06-19,33.3,33.9,33.1,33.5,33.4,"31,398"
2019-06-18,33,34.7,32.7,34.5,33.1,"16,087"
2019-06-17,33.9,35.1,33.9,35,34.1,"19,293"
2019-06-16,34.2,35.7,34.2,35,34.9,"36,364"
2019-06-13,35.3,35.5,33.1,33.1,34.9,"63,627"
2019-06-12,34.9,34.9,33,33,34.4,"32,232"
2019-06-11,33.2,33.9,31,31,32.9,"46,869"
2019-06-10,31,32.1,30.9,32.1,31,"108,170"
2019-06-09,32.2,33.4,32.1,33.4,32.2,"24,094"
2019-05-30,33.6,33.8,32.3,33,32.9,"46,915"
2019-05-29,33.9,34.3,33,34.3,33.2,"52,509"
2019-05-28,33,34,33,33.6,33.5,"56,014"
2019-05-27,34,34.9,33.4,34.1,33.6,"55,351"
2019-05-26,34,34.8,34,34.7,34.3,"35,445"
2019-05-23,33.6,35,33.6,33.6,33.7,"51,099"
2019-05-22,33.9,34.5,33,33.5,33.2,"36,958"
2019-05-21,34.4,35.5,33.1,35.5,33.8,"34,032"
2019-05-20,34.8,36,34,35.2,34.1,"38,137"
2019-05-19,35.1,36.6,35,35.4,35.1,"20,480"
2019-05-16,36,36.6,34.9,35.3,35.4,"28,373"
2019-05-15,36.3,37,35,35.7,35.3,"23,933"
2019-05-14,36.6,36.6,35.5,36.3,35.7,"20,165"
2019-05-13,36.5,36.5,35.2,35.2,36.2,"9,563"
2019-05-12,34.8,37,34.6,34.6,35.2,"40,111"
2019-05-09,35,38.2,34.6,38.2,35,"13,983"
2019-05-08,35.8,36.8,33.6,35,34.8,"20,862"
2019-05-07,36.5,37,34.7,36.5,35.4,"59,880"
2019-05-06,36.4,38,35.5,36.4,35.7,"112,611"
2019-05-05,37,38.9,36.5,37,36.8,"92,424"
2019-05-02,36.5,39.6,36.5,38.4,37.9,"54,172"
2019-04-30,39.3,40,37.6,38.9,38.4,"70,218"
2019-04-29,37.3,39,37.1,37.5,37.6,"31,450"
2019-04-28,37.1,38.9,37.1,38.9,37.3,"18,599"
2019-04-25,37.9,38,36.9,36.9,37.7,"28,501"
2019-04-24,36.5,39.6,36,36,36.9,"20,767"
