DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,13.6,13.8,13.5,13.7,13.5,"377,513"
2019-06-27,13.7,13.9,13.5,13.6,13.7,"986,848"
2019-06-26,13.6,13.7,13.6,13.7,13.6,"369,763"
2019-06-25,13.6,13.8,13.6,13.8,13.6,"210,801"
2019-06-24,13.8,13.9,13.7,13.7,13.8,"283,581"
2019-06-23,13.7,14,13.4,13.5,13.7,"2,480,728"
2019-06-20,13.6,13.7,13.4,13.4,13.6,"143,514"
2019-06-19,13.5,13.9,13.3,13.3,13.7,"520,461"
2019-06-18,13.4,13.5,13.3,13.4,13.4,"295,277"
2019-06-17,13.2,13.8,12.7,13.8,13.3,"490,537"
2019-06-16,13.8,14,13.8,14,13.9,"537,150"
2019-06-13,14,14,13.8,13.9,13.9,"455,829"
2019-06-12,14,14,13.8,13.9,14,"658,306"
2019-06-11,14,14,13.8,14,13.9,"360,492"
2019-06-10,14,14.1,13.8,13.9,14,"879,037"
2019-06-09,13.9,14.1,13.9,14.1,13.9,"290,975"
2019-05-30,13.9,14.1,13.9,14,14.1,"529,615"
2019-05-29,14,14,13.7,13.8,14,"344,438"
2019-05-28,13.8,13.8,13.5,13.6,13.8,"295,419"
2019-05-27,13.7,13.7,13.5,13.5,13.6,"318,422"
2019-05-26,13.7,14,13.4,14,13.5,"862,373"
2019-05-22,14.8,15.1,14.7,15,14.9,"557,861"
2019-05-21,14.9,15.1,14.8,14.9,14.9,"456,751"
2019-05-20,15,15.4,14.9,15,15,"1,202,975"
2019-05-19,15,15,14.6,14.7,15,"630,875"
2019-05-16,14.5,14.5,14,14.3,14.5,"506,031"
2019-05-15,14.2,14.4,14.1,14.2,14.2,"447,340"
2019-05-14,14.5,14.5,14.2,14.3,14.4,"276,789"
2019-05-13,14.4,14.7,14.4,14.6,14.4,"127,690"
2019-05-12,14.6,14.7,14.3,14.7,14.5,"133,620"
2019-05-09,14.8,14.8,14.3,14.6,14.8,"608,087"
2019-05-08,14.4,14.6,14.2,14.5,14.4,"240,297"
2019-05-07,14.4,14.6,14.1,14.6,14.3,"334,512"
2019-05-06,14.6,14.7,14.5,14.6,14.6,"410,217"
2019-05-05,14.8,14.8,14.1,14.2,14.7,"830,317"
2019-05-02,14,14.5,13.8,13.8,14.1,"954,400"
2019-04-30,14.5,15,14.5,15,14.6,"171,178"
2019-04-29,14.7,14.8,14.4,14.8,14.6,"601,575"
2019-04-28,14.8,15.1,14.8,15.1,14.8,"183,191"
2019-04-25,14.8,15,14.6,14.7,14.9,"490,395"
2019-04-24,14.7,14.7,14.3,14.5,14.6,"296,694"
2019-04-23,14.4,14.5,14.3,14.5,14.4,"221,074"
2019-04-21,14.4,14.5,14.3,14.4,14.4,"183,547"
2019-04-18,14.4,14.4,14.1,14.3,14.4,"185,402"
2019-04-17,14.3,14.3,14.1,14.2,14.2,"97,719"
2019-04-16,14.1,14.2,14,14.2,14.1,"213,775"
2019-04-15,14.3,14.3,14,14.3,14.2,"98,961"
2019-04-11,14.1,14.2,13.9,14,14,"288,864"
2019-04-10,13.9,14.3,13.9,14.3,14,"424,504"
2019-04-09,14.3,14.3,13.9,13.9,14.2,"316,631"
2019-04-08,14.3,14.3,14.1,14.3,14.2,"265,608"
2019-04-07,14.4,14.5,14.2,14.5,14.3,"155,417"
2019-04-04,14.4,14.4,13.9,14.2,14.2,"1,036,734"
2019-04-03,14.2,14.8,14.1,14.4,14.1,"727,723"
2019-04-02,14.4,15.1,14.4,14.9,14.6,"833,683"
2019-04-01,15,15.2,14.8,15.2,14.9,"427,037"
2019-03-31,15.3,15.5,15.2,15.5,15.3,"185,492"
2019-03-28,15.2,15.9,15.2,15.6,15.4,"811,449"
2019-03-27,15.5,15.9,15.4,15.6,15.6,"650,626"
2019-03-25,15.6,16.2,15.5,15.8,15.6,"740,992"
2019-03-24,15.8,16.1,15.6,16.1,15.6,"1,008,742"
2019-03-21,16.1,16.5,16,16.1,16.1,"1,126,288"
2019-03-20,16.1,16.8,16,16.5,16.1,"1,031,412"
2019-03-19,16.3,16.7,15.8,15.8,16.3,"1,073,579"
2019-03-18,16.2,16.2,15.8,15.9,16.1,"774,192"
2019-03-14,16.2,16.2,15.8,15.8,16.1,"1,319,167"
2019-03-13,15.8,16.1,15.7,15.8,15.7,"2,083,035"
2019-03-12,15.7,15.9,15.7,15.9,15.7,"929,992"
2019-03-11,16,16,15.7,15.9,15.9,"556,736"
2019-03-10,15.9,16.1,15.8,16.1,15.9,"616,857"
2019-03-07,16,16.2,15.8,16.2,15.9,"289,498"
2019-03-06,16,16.2,15.9,16.2,16,"211,708"
2019-03-05,16,16,15.7,15.8,16,"394,459"
2019-03-04,15.8,16,15.8,15.9,15.8,"542,864"
2019-03-03,15.8,16.1,15.8,16,15.9,"422,290"
2019-02-27,16,16,15.8,15.8,16,"417,666"
2019-02-26,15.9,16.2,15.8,16.2,15.9,"651,392"
2019-02-25,16.2,16.2,15.8,16.1,16,"980,219"
2019-02-24,16.1,16.2,15.9,16.2,16,"484,623"
2019-02-20,16.2,16.3,16.1,16.3,16.1,"367,843"
2019-02-19,16.2,16.4,16.2,16.2,16.3,"201,851"
2019-02-18,16.2,16.7,16.2,16.6,16.3,"735,587"
2019-02-17,16.7,16.8,16.4,16.5,16.7,"469,278"
2019-02-14,16.6,16.8,16.3,16.4,16.6,"951,261"
2019-02-13,16.5,16.5,16,16.1,16.3,"611,333"
2019-02-12,16.1,16.4,15.9,16.4,16,"522,861"
2019-02-11,15.8,16.3,15.8,16.1,16,"615,266"
2019-02-10,15.9,16.8,15.8,16.7,16.1,"1,052,168"
2019-02-07,16.6,16.9,16.5,16.9,16.6,"369,730"
2019-02-06,16.6,16.9,16.4,16.5,16.5,"459,380"
2019-02-05,16.5,16.9,16.3,16.8,16.5,"741,144"
2019-02-04,16.8,16.9,16.4,16.6,16.7,"447,096"
2019-02-03,16.6,17.2,16.5,17,16.6,"908,615"
2019-01-31,17.1,17.3,16.8,17.3,17,"1,768,919"
2019-01-30,17.3,17.7,17.2,17.6,17.3,"705,614"
2019-01-29,17.6,17.6,17.1,17.2,17.5,"952,839"
2019-01-28,17.2,17.9,17.2,17.8,17.3,"1,339,319"
2019-01-27,17.6,18.4,17.6,18.3,17.8,"2,959,249"
