DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,13.4,13.5,13.4,13.5,13.4,"61,127"
2019-06-27,13.4,13.7,13.4,13.5,13.4,"50,732"
2019-06-26,13.4,13.6,13.4,13.5,13.4,"71,014"
2019-06-25,13.5,13.5,13.4,13.4,13.5,"62,115"
2019-06-24,13.3,13.6,13.3,13.6,13.4,"51,708"
2019-06-23,13.5,13.7,13.4,13.5,13.4,"20,201"
2019-06-20,13.5,13.8,13.4,13.5,13.5,"31,064"
2019-06-19,13.3,13.5,13.3,13.5,13.4,"84,549"
2019-06-18,13.6,13.7,13.2,13.4,13.5,"67,212"
2019-06-17,13.4,13.8,13.4,13.8,13.4,"126,787"
2019-06-16,13.7,14,13.7,14,13.8,"133,618"
2019-06-13,14,14,13.8,14,14,"34,230"
2019-06-12,13.9,14.5,13.9,14.5,14,"17,927"
2019-06-11,14.2,14.3,13.9,13.9,14.1,"71,836"
2019-06-10,13.9,14,13.7,14,13.9,"38,023"
2019-06-09,14,14,13.9,14,14,"62,176"
2019-05-30,14,14,13.3,13.5,13.9,"93,165"
2019-05-29,13.5,13.5,13.3,13.5,13.4,"15,390"
2019-05-28,13.5,13.5,13.1,13.1,13.3,"32,054"
2019-05-27,13.2,13.5,13.1,13.5,13.1,"140,603"
2019-05-26,13.3,13.9,13,13,13.4,"33,493"
2019-05-23,13.9,13.9,13.7,13.8,13.7,"27,840"
2019-05-22,13.8,13.9,13.6,13.9,13.7,"21,229"
2019-05-21,13.7,13.7,13.4,13.4,13.6,"7,744"
2019-05-20,13.6,13.8,13.6,13.8,13.6,"19,558"
2019-05-19,13.8,14,13.5,13.8,13.8,"44,646"
2019-05-16,13.7,13.8,13.5,13.7,13.6,"35,742"
2019-05-15,13.4,14,13.4,13.9,13.6,"44,430"
2019-05-14,13.7,13.8,13.5,13.8,13.6,"68,312"
2019-05-13,13.7,13.9,13.5,13.7,13.6,"61,751"
2019-05-12,13.8,14.1,13.6,13.9,13.7,"99,578"
2019-05-09,13.8,13.8,13.5,13.5,13.8,"36,401"
2019-05-08,13.8,13.8,13.5,13.6,13.6,"54,252"
2019-05-07,13.7,14,13.6,14,13.6,"83,306"
2019-05-06,13.8,14,13.8,14,13.8,"78,851"
2019-05-05,14,14.2,13.7,14,14,"209,677"
2019-05-02,13.8,14,13.5,13.7,13.7,"106,476"
2019-04-30,13.4,13.8,13.4,13.5,13.4,"73,072"
2019-04-29,13.4,13.9,13.4,13.9,13.5,"172,258"
2019-04-28,13.5,13.9,13.5,13.9,13.5,"83,330"
2019-04-25,13.6,14.2,13.6,14.2,13.7,"146,578"
2019-04-24,13.8,14,13.5,13.6,13.7,"138,298"
2019-04-23,13.5,14.4,13.5,14.2,13.6,"297,732"
2019-04-21,14.4,14.4,14,14.1,14.2,"218,072"
2019-04-18,13.8,14.4,13.6,13.6,13.9,"66,225"
2019-04-17,13.5,14,13.5,13.7,13.5,"57,305"
2019-04-16,13.8,14,13.5,14,13.8,"82,919"
2019-04-15,14,14.6,14,14,14,"147,195"
2019-04-11,13.9,14,13.5,13.5,13.7,"87,227"
2019-04-10,13.5,13.5,13.1,13.1,13.5,"12,234"
2019-04-09,13,13.4,13,13.4,13.1,"52,205"
2019-04-08,13.1,13.8,13.1,13.7,13.2,"119,693"
2019-04-07,13.9,13.9,13.5,13.9,13.6,"72,206"
2019-04-04,13.9,13.9,13.2,13.6,13.5,"42,278"
2019-04-03,13.9,14.2,13.2,14.2,13.5,"159,276"
2019-04-02,14.2,14.4,14.1,14.4,14.2,"6,683"
2019-04-01,14.2,14.4,13.9,13.9,14,"39,991"
2019-03-31,13.9,14.2,13.9,14,13.9,"110,764"
2019-03-28,14.1,14.3,13.9,14.3,14,"35,127"
2019-03-27,14.1,14.8,14,14.6,14.1,"38,865"
2019-03-25,14.4,14.9,14.1,14.1,14.5,"126,500"
2019-03-24,14,14.9,13.9,14.9,14,"54,990"
2019-03-21,13.9,13.9,13.4,13.7,13.6,"15,319"
2019-03-20,13.9,14,13.8,14,13.9,"17,600"
2019-03-19,13.9,14.2,13.5,14,14.1,"146,787"
2019-03-18,13.7,13.8,13.2,13.2,13.8,"75,379"
2019-03-14,13.4,13.6,13.2,13.2,13.3,"63,735"
2019-03-13,13.5,13.8,13.4,13.8,13.5,"38,680"
2019-03-12,13.7,14,13.6,13.9,13.7,"97,466"
2019-03-11,13.9,14,13.7,13.9,13.8,"110,578"
2019-03-10,13.9,14,13.8,14,13.9,"17,610"
2019-03-07,13.9,14,13.7,14,13.8,"62,625"
2019-03-06,14,14,13.8,14,13.9,"63,572"
2019-03-05,14,14.1,13.9,13.9,14,"94,067"
2019-03-04,14,14.2,13.9,14.2,14,"101,321"
2019-03-03,14.1,14.3,14,14.2,14.1,"81,184"
2019-02-27,14.3,14.5,14.1,14.5,14.2,"21,251"
2019-02-26,14.5,14.5,14.1,14.2,14.3,"81,525"
2019-02-25,14.5,14.5,14,14.3,14.2,"60,680"
2019-02-24,14.3,14.6,14.3,14.4,14.4,"31,095"
2019-02-20,14.5,14.7,14,14,14.4,"110,497"
2019-02-19,14.4,14.4,13.9,14.4,14.2,"62,144"
2019-02-18,14.3,14.6,14.2,14.3,14.3,"64,993"
2019-02-17,14.4,14.5,14.1,14.5,14.3,"119,672"
2019-02-14,14.3,15.2,14.3,15.2,14.5,"97,357"
2019-02-13,14.9,14.9,14.4,14.7,14.8,"98,437"
2019-02-12,14.8,15,14.8,14.8,14.9,"67,032"
2019-02-11,14.8,14.8,14.6,14.6,14.7,"69,964"
2019-02-10,14.7,15,14.5,14.9,14.6,"69,232"
2019-02-07,15,15.6,14.8,15.2,14.8,"96,037"
2019-02-06,15.3,15.5,14.8,15.3,14.9,"91,215"
2019-02-05,15.4,15.7,15.2,15.7,15.3,"57,694"
2019-02-04,15.3,15.7,15.2,15.4,15.3,"100,580"
2019-02-03,15.4,15.8,15.4,15.8,15.5,"42,602"
2019-01-31,15.7,16.5,15.6,16.4,15.7,"181,311"
2019-01-30,16,16,15.6,15.7,15.9,"166,789"
2019-01-29,15.6,15.7,15.3,15.6,15.4,"139,992"
2019-01-28,15.6,16,15.5,16,15.6,"87,256"
2019-01-27,15.8,16,15.6,16,15.6,"74,273"
2019-01-24,15.5,15.8,15.5,15.5,15.5,"61,302"
2019-01-23,15.6,16.2,15.1,15.1,15.4,"165,108"
2019-01-22,14.9,15.2,14.9,15.1,14.9,"104,602"
2019-01-21,15,15.1,14.9,15,15,"67,489"
2019-01-20,14.8,15,14.6,14.9,14.8,"102,077"
2019-01-17,14.7,15.3,14.7,14.9,14.9,"209,234"
2019-01-16,15.2,15.9,15.1,15.5,15.3,"162,405"
2019-01-15,15.3,15.8,15.2,15.8,15.2,"134,137"
2019-01-14,15.6,16,15.6,16,15.7,"100,201"
2019-01-13,15.8,16,15.7,16,15.9,"50,217"
2019-01-10,15.7,16.1,15.6,15.8,15.9,"116,860"
2019-01-09,15.5,16,15.5,16,15.7,"160,197"
2019-01-08,16,16.7,15.5,16.4,16,"212,363"
2019-01-07,16.4,16.9,16.2,16.9,16.4,"189,411"
2019-01-06,16.8,17.1,15.9,15.9,16.9,"377,150"
2019-01-03,15.7,15.7,15.1,15.1,15.6,"309,861"
2019-01-02,15.1,15.8,14.6,15.8,15,"392,611"
2019-01-01,15.4,15.4,14.4,14.5,15.4,"365,813"
2018-12-27,14.2,14.3,13.9,13.9,14,"149,290"
2018-12-26,13.8,14,13.7,14,13.8,"85,682"
2018-12-24,13.7,14.2,13.4,13.4,13.8,"79,340"
2018-12-23,13.5,13.5,13,13.3,13.4,"44,938"
2018-12-20,13.1,13.4,13,13,13.2,"43,267"
2018-12-19,13.2,13.2,12.8,12.8,13.1,"103,386"
2018-12-18,12.6,12.6,12.4,12.6,12.5,"34,905"
2018-12-17,12.5,12.8,12.5,12.8,12.5,"48,737"
2018-12-13,12.7,13,12.7,13,12.8,"98,355"
2018-12-12,12.9,13.2,12.9,13.1,13,"34,094"
2018-12-11,13,13.2,12.9,13.2,13,"43,604"
2018-12-10,13.1,13.2,13,13,13.2,"70,114"
2018-12-09,13.3,13.4,12.9,13.2,13.2,"99,387"
2018-12-06,12.7,13,12.7,12.9,12.9,"70,063"
2018-12-05,12.6,13.4,12.5,13.2,12.6,"193,170"
2018-12-04,13,13,12.5,12.8,13,"145,516"
2018-12-03,12.6,12.9,12.4,12.9,12.6,"73,255"
2018-12-02,12.6,12.7,12.3,12.5,12.4,"96,432"
2018-11-29,12.2,12.7,12.2,12.7,12.2,"77,806"
2018-11-28,12.4,12.8,12.1,12.8,12.5,"33,624"
2018-11-27,12.2,12.4,12,12.4,12.1,"86,230"
