DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,83.6,84.8,83.1,83.1,84,"235,441"
2019-06-27,84,85,82.9,85,83.4,"98,036"
2019-06-26,83.4,84.3,82.6,82.9,83.3,"37,365"
2019-06-25,83,83.7,82.7,83.2,83,"69,170"
2019-06-24,83.1,83.9,83.1,83.2,83.1,"49,237"
2019-06-23,83.1,84,83,83.5,83.2,"27,819"
2019-06-20,84.5,85.9,84,84.7,84.1,"33,482"
2019-06-19,85,86.7,84.7,86.7,85,"14,411"
2019-06-18,85.9,85.9,84.5,85,85.7,"16,604"
2019-06-17,84.2,86.7,84.2,86.5,84.9,"23,751"
2019-06-16,85.8,87.6,85.8,87.2,86.1,"38,990"
2019-06-13,87.1,87.8,86.7,87.6,86.9,"25,485"
2019-06-12,86.5,88.8,86.5,88.3,87.4,"57,063"
2019-06-11,87,88.7,86.3,86.3,88.1,"93,096"
2019-06-10,86,87,85.9,86,86.1,"53,584"
2019-06-09,85.4,86.1,85.4,86,85.7,"10,025"
2019-05-30,85.5,86,83.2,85,85.6,"50,038"
2019-05-29,83.3,84.9,83.3,84.9,83.5,"15,015"
2019-05-28,83.3,85,83.3,85,83.7,"22,511"
2019-05-27,82.9,84,82.9,83.8,83,"39,518"
2019-05-26,83.9,85,83.1,84.2,83.6,"18,058"
2019-05-23,83.3,85.1,83.3,84.3,84,"25,519"
2019-05-22,85.4,85.7,84.3,85.4,84.4,"77,137"
2019-05-21,85.1,87.6,85.1,87.6,85.4,"19,113"
2019-05-20,87.7,87.8,86.3,86.7,87.4,"5,977"
2019-05-19,87.4,89.6,87.4,87.8,87.9,"36,938"
2019-05-16,87,87,85.7,85.7,86.6,"2,441"
2019-05-15,87.3,87.3,85.1,85.3,86.3,"10,025"
2019-05-14,85.7,87.2,85.3,86.1,86.1,"5,550"
2019-05-13,86.1,87.5,86.1,86.2,86.6,"8,405"
2019-05-12,86.3,87.5,86.3,87,87,"45,541"
2019-05-09,87.6,87.9,86.5,86.8,87.6,"33,041"
2019-05-08,86.9,87.5,85.6,86.9,86.1,"11,619"
2019-05-07,86.9,88.7,86.9,88.6,86.9,"64,742"
2019-05-06,87.4,89.3,86.9,89.1,87.3,"48,256"
2019-05-05,90,91.6,88.5,91.6,89.3,"84,045"
2019-05-02,90.2,92.9,85.8,85.8,89.7,"82,636"
2019-04-30,84.4,85.3,84,84.9,84.5,"46,815"
2019-04-29,83.6,85.8,83.3,85.6,83.8,"44,512"
2019-04-28,86.1,87.9,85.7,87.5,86.4,"36,176"
2019-04-25,87,87.4,86.1,86.9,86.8,"82,237"
2019-04-24,86.6,88,85.5,85.5,86.7,"45,428"
2019-04-23,87,87,86.5,86.6,86.8,"9,284"
2019-04-21,88.8,88.8,87.1,87.1,88.4,"21,203"
2019-04-18,88.5,88.6,86,86.7,88.4,"30,881"
2019-04-17,86.8,86.8,84.1,86,85.9,"39,749"
2019-04-16,87.4,87.8,84.4,86.5,85.6,"34,318"
2019-04-15,86.7,88.4,86.7,87.2,86.9,"9,658"
2019-04-11,87.9,87.9,85.8,87.4,87,"24,014"
2019-04-10,88,88.4,86,86.4,87.4,"16,058"
2019-04-09,87.8,88.5,86.2,86.3,87.4,"25,579"
2019-04-08,87.9,89.5,86,88.5,87.8,"45,496"
2019-04-07,89.8,90.3,89.7,90.2,90,"37,206"
2019-04-04,90.7,91.1,90.1,90.1,90.8,"75,375"
2019-04-03,90.9,91.9,90.6,91.9,90.7,"38,085"
2019-04-02,91,92.5,90.2,90.2,91.1,"68,124"
2019-04-01,90.6,91,90.1,90.1,90.6,"26,058"
2019-03-31,89.1,91,89.1,90.7,90.4,"66,254"
2019-03-28,91.7,91.9,90.3,91.1,91.5,"80,454"
2019-03-27,92,92.5,90.5,92.4,91.5,"65,617"
2019-03-25,92.2,92.2,91.1,91.5,91.8,"26,161"
2019-03-24,90.7,91,89.7,90.5,90.7,"94,506"
2019-03-21,90.6,92.6,90.4,92.6,90.9,"83,386"
2019-03-20,92.5,92.7,91.3,91.3,92,"61,593"
2019-03-19,91.6,92.3,91.5,92.1,91.8,"59,789"
2019-03-18,92.5,92.5,91.5,92,92.1,"55,208"
2019-03-14,91.9,92.7,91,91,92,"82,658"
2019-03-13,91.6,93.5,91.4,93.4,91.5,"90,225"
2019-03-12,93.2,95,93,94.5,93.2,"92,144"
2019-03-11,94.4,95.9,94.2,95.2,94.5,"52,627"
2019-03-10,95.7,97.8,95.3,97.1,96.3,"73,908"
2019-03-07,97.5,98.4,95.6,98.4,97.2,"94,094"
2019-03-06,98,98,93.8,94.7,97.3,"252,601"
2019-03-05,94.3,94.3,91.5,91.5,93.7,"199,456"
2019-03-04,91.3,92,91,91.5,91.1,"66,442"
2019-03-03,92.2,92.5,90.7,92.5,91.3,"151,450"
2019-02-27,92.9,93.2,92.8,93,92.9,"50,397"
2019-02-26,93,94,93,93.5,93.1,"71,517"
2019-02-25,93.2,94.4,93,93,93.4,"74,508"
2019-02-24,93.4,95.5,93.1,94.1,93.4,"76,554"
2019-02-20,94.2,94.9,93.1,93.1,94,"44,386"
2019-02-19,93.3,93.9,92.9,93.3,93,"24,431"
2019-02-18,94.1,94.5,93.2,94.3,93.3,"120,364"
2019-02-17,94.2,95,93.9,94.6,94.3,"61,216"
2019-02-14,95.3,96.5,94.1,94.1,95.2,"172,254"
2019-02-13,95.8,96,94,94.7,95.8,"166,203"
2019-02-12,94.1,96,93.5,94.3,93.7,"93,748"
2019-02-11,94.2,96.2,94.1,96.2,94.6,"69,545"
2019-02-10,94.4,98.7,94.3,96.2,94.6,"150,047"
2019-02-07,96,96.7,94,94.5,96.2,"85,621"
2019-02-06,94.1,95.7,93,95.7,93.1,"51,749"
2019-02-05,94.2,95.4,94,95.2,94.2,"65,241"
2019-02-04,95.9,96.5,94.4,94.4,95.2,"113,567"
2019-02-03,93.9,96.3,93.5,95.8,94.1,"178,704"
2019-01-31,95,95.4,91.4,92,94.8,"193,119"
2019-01-30,91.8,94.7,91.4,93.1,92.3,"160,470"
2019-01-29,94,97,92.4,96,93.8,"285,893"
2019-01-28,97.9,103,95.1,103,96.9,"332,730"
2019-01-27,104,105.5,102.7,103.1,105,"260,708"
2019-01-24,103,105.4,102.6,103.6,102.9,"219,026"
2019-01-23,103.3,105.8,102.5,105.8,103,"182,331"
2019-01-22,104,108.8,104,108.4,105.6,"208,956"
