DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,45.7,45.8,45.2,45.2,45.7,"60,267"
2019-06-27,45,45.5,44.8,44.9,45.2,"40,187"
2019-06-26,45.1,45.1,44.5,44.5,45,"14,813"
2019-06-25,45,45.1,44.2,44.6,45,"31,109"
2019-06-24,45,45,44.4,44.5,45,"27,825"
2019-06-23,44.5,44.7,44.3,44.3,44.6,"21,920"
2019-06-20,44.9,45.3,44.1,44.3,44.6,"46,516"
2019-06-19,44.6,44.9,44.3,44.9,44.6,"39,315"
2019-06-18,44.8,44.9,44.2,44.6,44.8,"47,623"
2019-06-17,44.4,44.6,44.3,44.5,44.4,"32,158"
2019-06-16,44.5,45,44.3,44.6,44.4,"57,579"
2019-06-13,44.9,45,44.4,45,44.8,"40,961"
2019-06-12,44.9,44.9,44.6,44.9,44.8,"11,009"
2019-06-11,44.6,45.5,44.6,45,44.9,"98,098"
2019-06-10,44.5,45,44.5,44.7,44.6,"45,114"
2019-06-09,44.7,44.7,44,44.3,44.6,"7,910"
2019-05-30,44.4,44.4,44,44,44.3,"9,713"
2019-05-29,44.3,44.7,43.8,44.1,43.9,"40,902"
2019-05-28,44.2,44.3,43.9,43.9,44.1,"34,901"
2019-05-27,43.8,44,43.8,43.9,43.9,"10,602"
2019-05-26,43.7,44,43.5,43.8,43.9,"14,564"
2019-05-23,43.7,44,43.3,43.6,43.7,"7,956"
2019-05-22,44.1,44.3,43.3,43.3,43.9,"4,119"
2019-05-21,44,44.3,43.5,43.6,43.8,"5,628"
2019-05-20,44,45,43.3,45,43.8,"22,280"
2019-05-19,44.3,44.5,43.3,43.3,44.3,"14,303"
2019-05-16,43,43.6,43,43.1,43.1,"7,873"
2019-05-15,43.2,43.7,42.8,43.5,43.1,"7,622"
2019-05-14,43.5,43.8,43.5,43.6,43.6,"6,217"
2019-05-13,43.9,44.1,43.6,43.9,43.8,"2,589"
2019-05-12,43.7,44.5,43.4,43.4,44.1,"37,463"
2019-05-09,42.9,43.9,42.5,43,43.2,"12,559"
2019-05-08,42.6,44,42.6,43.8,42.7,"40,365"
2019-05-07,44,45,43.6,45,43.8,"12,547"
2019-05-06,44.5,45.6,43.2,43.2,44.5,"27,194"
2019-05-05,44.9,45.6,44.9,45.6,45.4,"53,089"
2019-05-02,45,45.2,43.5,45.2,44.7,"14,327"
2019-04-30,44.6,44.6,43.1,43.2,44.5,"70,151"
2019-04-29,42.9,43.7,42.9,43.7,43,"16,695"
2019-04-28,43.4,43.9,42.9,43,43.6,"53,856"
2019-04-25,43,43.4,41.8,42.3,42.9,"4,582"
2019-04-24,42,42.4,41.8,42,42.1,"7,084"
2019-04-23,42.3,43.3,42.1,43.3,42.4,"20,083"
2019-04-21,43,43.8,42.4,42.4,43.1,"43,723"
2019-04-18,43,43,41.7,42.3,42.8,"24,629"
2019-04-17,41.9,42,41.2,41.4,41.8,"17,328"
2019-04-16,41.9,41.9,40.8,41,41.5,"17,098"
2019-04-15,41.1,42.3,41.1,42.3,41.2,"46,064"
2019-04-11,41.4,42.4,41.4,42,42,"24,483"
2019-04-10,41.9,42.1,41.8,41.9,41.9,"19,164"
2019-04-09,41.7,42.5,41.7,42.4,41.9,"102,564"
2019-04-08,42.9,43.9,42.9,43.6,43,"56,080"
2019-04-07,44.1,44.2,43.7,44,43.9,"21,232"
2019-04-04,44.1,44.1,44,44,44,"35,429"
2019-04-03,44,44.2,44,44,44,"33,561"
2019-04-02,44.3,44.6,44,44.1,44,"15,490"
2019-04-01,44,44.8,43.8,44,44,"67,753"
2019-03-31,43.9,44.4,43.9,44.3,43.9,"72,509"
2019-03-28,44,44.4,44,44.4,44,"17,231"
2019-03-27,44.1,44.3,44,44.1,44,"12,185"
2019-03-25,44,44.5,43.9,44.5,43.9,"105,685"
2019-03-24,44.2,44.5,44.2,44.2,44.2,"42,975"
2019-03-21,44.5,45,44.3,44.3,44.4,"38,310"
2019-03-20,44.4,45,44.4,44.7,44.5,"66,767"
2019-03-19,44.3,44.7,44.1,44.5,44.5,"112,691"
2019-03-18,44.1,45.3,44.1,45.2,44.5,"175,495"
2019-03-14,45.6,46,45.4,45.8,45.5,"115,368"
