DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,264.7,266.2,263.5,263.6,264.3,"617,472"
2019-06-27,263.7,264.9,262.8,263.5,263.5,"994,149"
2019-06-26,263.8,263.9,260.7,260.7,263.4,"400,826"
2019-06-25,260.6,261.7,260.4,260.5,260.7,"379,358"
2019-06-24,261.5,261.5,260,261,261.2,"194,566"
2019-06-23,260,262.5,260,260.7,260.6,"281,597"
2019-06-20,260.8,262,259.4,261,260.7,"194,640"
2019-06-19,261,261,257.9,258,260.2,"264,946"
2019-06-18,257.1,259.5,255,255,257.5,"257,903"
2019-06-17,254,255.3,252.8,255.2,254.1,"438,845"
2019-06-16,255.3,258.9,255,257.9,255.2,"129,084"
2019-06-13,257.5,258.4,257,257.5,257.9,"257,618"
2019-06-12,257.1,258.4,257,258,257.4,"179,823"
2019-06-11,257.8,258.4,256.4,256.8,257.7,"550,812"
2019-06-10,256.3,256.4,254,254.8,256.2,"154,786"
2019-06-09,254.1,256.9,253.5,254.8,253.9,"127,342"
2019-05-30,254.9,256,254.1,255.5,254.8,"154,608"
2019-05-29,255.4,257.1,251,252,255.2,"159,795"
2019-05-28,252,253.1,246.5,247.7,251.9,"498,747"
2019-05-27,246.6,248,244.9,248,245.8,"823,118"
2019-05-26,247.4,249,246.9,248.5,247.6,"113,730"
2019-05-23,248.8,249.9,248,249,248.3,"118,726"
2019-05-22,248.9,250.7,248.5,250,248.8,"242,903"
2019-05-21,248.5,250,248.2,249.5,248.9,"116,610"
2019-05-20,248.8,254.6,248.7,253,249.5,"150,800"
2019-05-19,253,253.8,249.5,249.5,252.4,"161,693"
2019-05-16,249,249.5,248.3,249.5,248.7,"177,331"
2019-05-15,250.2,255.8,245.5,254.2,248.4,"445,878"
2019-05-14,253.7,256.8,253.5,255.2,254.2,"195,769"
2019-05-13,255.2,259,254,257.6,255,"274,203"
2019-05-12,257.9,258.5,257.4,258,257.6,"76,122"
2019-05-09,258,259,257,258.7,257.6,"126,633"
2019-05-08,258.2,259.5,258,259.5,258.6,"107,107"
2019-05-07,259.5,262,259.1,262,259.4,"182,525"
2019-05-06,261.9,263.3,260.9,262.1,261.8,"127,937"
2019-05-05,261.9,262.4,260.5,261.5,261.5,"143,838"
2019-05-02,261.3,262.5,259.3,260,260,"255,420"
2019-04-30,262,262,258.1,259,259.9,"247,221"
2019-04-29,258.5,259.6,256.6,259,257.6,"202,697"
2019-04-28,260,260,258,259.6,258.6,"100,464"
2019-04-25,258.9,261,258.1,258.5,259.4,"100,717"
2019-04-24,257.3,259.7,256,258,257.3,"141,815"
2019-04-23,256.8,260.2,256.8,260.2,257.2,"108,910"
2019-04-21,261,261.5,259,259.1,260.2,"128,769"
2019-04-18,259.5,260.2,257.6,258.1,259,"167,621"
2019-04-17,258.1,259.8,256.2,256.8,258.2,"189,760"
2019-04-16,256.3,261.5,255.4,260.3,256.6,"277,273"
2019-04-15,260.3,263.5,260,263.5,260.3,"291,701"
2019-04-11,262.6,263.4,260.1,261,262.4,"150,562"
2019-04-10,260,264.1,260,262.1,260.3,"209,510"
2019-04-09,262.6,264.9,260.2,262.6,262.8,"194,257"
2019-04-08,264.5,266,260,266,260.8,"408,556"
2019-04-07,265.5,267.4,265.5,266.5,266,"121,341"
2019-04-04,268,268,266.5,267,267.5,"116,688"
2019-04-03,266.9,268,266.5,268,267,"230,604"
2019-04-02,268,269.1,267.1,267.3,268,"174,103"
2019-04-01,266.9,268.8,266.8,266.9,267.1,"182,195"
2019-03-31,267,268.3,266.6,267.3,266.9,"166,598"
2019-03-28,267.8,269.2,267.7,268.1,268.1,"148,955"
2019-03-27,268.1,272,267,269.2,267.7,"537,158"
2019-03-25,270,271.4,268.3,269.4,269.5,"157,775"
2019-03-24,269,270,268.7,270,269.4,"216,812"
2019-03-21,270,272.4,269.7,272.4,269.9,"212,220"
2019-03-20,272.9,272.9,269.5,272.1,272.2,"569,301"
2019-03-19,272.7,272.8,266.5,267.4,272.1,"528,363"
2019-03-18,267.9,268.4,266.2,266.4,267.3,"736,787"
2019-03-14,266.7,268.6,265.5,265.5,267.6,"688,233"
2019-03-13,265.8,268,265.6,267.3,266.4,"331,461"
2019-03-12,269.3,269.4,266.8,268,268.5,"430,720"
2019-03-11,268,272,267,272,268,"209,650"
2019-03-10,269.6,270,267.8,268.1,269.6,"195,935"
2019-03-07,267.5,270,266.7,266.7,267.7,"232,992"
2019-03-06,266.6,268.9,266.2,267.1,266.7,"541,028"
2019-03-05,268,270.2,266.3,270.1,268.1,"686,458"
2019-03-04,270,272.6,269,272.6,270.1,"1,181,878"
2019-03-03,271.1,273.8,270.1,273.8,272.6,"336,512"
2019-02-27,274,276.2,272.3,276.2,273.8,"573,651"
2019-02-26,276.3,277.3,274.1,274.1,276.1,"1,448,764"
2019-02-25,274,274.3,271,271,274.1,"1,645,581"
2019-02-24,271,271.6,267.1,270,270.9,"410,361"
2019-02-20,269.3,270.7,267.8,269,269.9,"1,615,812"
2019-02-19,267.4,269.9,265,266,268.4,"807,496"
2019-02-18,265.9,266.5,264,264,266,"625,965"
2019-02-17,265,265,263.7,265,264,"300,381"
2019-02-14,263.5,265.9,263.4,264.5,264,"439,282"
2019-02-13,264.6,266.9,264.1,266.9,264.7,"222,032"
2019-02-12,265.1,266.9,264.2,264.2,265.7,"364,097"
2019-02-11,266,267.7,264.7,266,265.7,"293,909"
2019-02-10,266,268.6,265.3,266,266.9,"252,546"
2019-02-07,268,268,263.5,264.2,267,"370,719"
2019-02-06,265.6,269.8,263.2,267,264,"567,720"
2019-02-05,266.3,268,265.5,268,266.5,"240,863"
2019-02-04,266.1,268.8,264,266,267.2,"299,330"
2019-02-03,266,267.4,262.9,263.7,266.7,"279,769"
2019-01-31,262.6,268.4,262.6,267.2,263.3,"448,234"
2019-01-30,264.9,273,264.9,273,266.8,"457,224"
2019-01-29,272.4,273.1,271.7,272.6,272.6,"564,735"
2019-01-28,271.6,272.7,267.6,269.3,271.7,"1,051,990"
2019-01-27,269.8,269.9,266.1,266.8,269.3,"405,303"
2019-01-24,265,268,264.4,268,265,"529,877"
2019-01-23,267.3,268.9,266,267.7,267.1,"402,945"
2019-01-22,268.1,269.8,264.3,264.7,267.8,"1,107,797"
2019-01-21,264.1,264.5,262.3,262.5,263.8,"918,029"
2019-01-20,262.9,264.8,262.1,264,262.4,"178,889"
2019-01-17,264.9,265.5,263.5,265.3,264,"355,136"
2019-01-16,264.5,268,263,263.9,265.3,"553,834"
2019-01-15,264,264.9,262.1,262.1,264.1,"533,274"
2019-01-14,261.4,263.8,261.4,263.8,261.8,"438,590"
2019-01-13,263.8,263.9,262.4,263.2,263.2,"276,538"
2019-01-10,263.1,264,261.3,262.9,262.7,"398,042"
2019-01-09,262.5,262.5,259.8,259.9,261.8,"674,928"
2019-01-08,258.5,260.1,256.8,257,258.9,"338,933"
2019-01-07,256.4,259.4,255.6,258.8,256.8,"450,176"
2019-01-06,257.5,258.9,254.9,255,257.9,"344,774"
2019-01-03,255,255.7,252.9,254,254.8,"446,554"
2019-01-02,254,255,252,254,253.3,"449,718"
2019-01-01,254,255.4,253.1,255,253.7,"164,199"
2018-12-27,254.3,254.5,253,253.3,254.2,"322,756"
2018-12-26,253.7,253.9,251,251.1,253.3,"177,850"
2018-12-24,251.5,251.8,250.6,250.8,251.3,"535,480"
2018-12-23,251.8,251.9,247.7,248.7,251,"291,969"
2018-12-20,249,250.2,248.1,250,248.7,"219,957"
2018-12-19,249.9,251.1,247.8,251,248.3,"631,634"
2018-12-18,252,254.1,250.2,251.3,250.8,"317,122"
2018-12-17,251,251.8,248,249.8,250.7,"407,809"
2018-12-13,247.1,251,247.1,248.2,247.9,"951,311"
2018-12-12,249.9,252.4,247.5,252,248.2,"547,238"
2018-12-11,251.5,255,251.2,253.5,251.7,"293,837"
2018-12-10,254.9,255,250,254.3,254.4,"781,976"
2018-12-09,254,255,253.6,253.6,254.2,"183,146"
2018-12-06,254,257.4,252.2,257.2,253.6,"305,867"
2018-12-05,257,260.6,256.6,260,257.4,"371,605"
2018-12-04,260,260.7,258.7,260,259.9,"702,461"
2018-12-03,259.5,262.4,259.5,261,260,"404,394"
2018-12-02,262.9,263.5,260,263.5,261.4,"201,043"
2018-11-29,264.1,264.5,258.5,259,263.5,"777,155"
2018-11-28,258,259.9,254,258,258.1,"718,651"
2018-11-26,275.8,276.5,272.7,275.5,274.5,"553,995"
2018-11-25,275,280.6,274.4,279,275.3,"298,136"
2018-11-22,277.8,280.5,275,276,278.2,"869,819"
2018-11-20,275,275,268.7,269.9,274.4,"607,869"
2018-11-19,267,269,265.6,265.7,267.6,"443,304"
2018-11-18,265,269,263.2,264.9,265.6,"237,499"
2018-11-15,263,265,262.6,264,263.1,"246,454"
2018-11-14,265,266.5,262.6,265.4,263.1,"231,375"
2018-11-13,265,267.8,262.9,265,265.3,"300,365"
2018-11-12,262.8,270.6,261.6,270.6,262.7,"572,099"
2018-11-11,267,271.6,264.3,265.1,267.2,"137,248"
2018-11-08,264.8,266,264,265,264.6,"112,910"
2018-11-07,265.5,265.5,263.8,263.8,264.8,"79,746"
2018-11-06,264.1,264.9,263.5,264.4,263.8,"316,989"
2018-11-05,265.9,265.9,263.3,264,264.3,"292,411"
2018-11-04,264.4,265,263.3,263.9,264,"71,479"
2018-11-01,263.8,267.3,263.5,267.3,263.9,"122,912"
2018-10-31,267.5,268.5,266,268,267.2,"725,267"
2018-10-30,267.4,268.1,265.5,267.3,267.1,"173,876"
2018-10-29,266.1,266.6,261.5,261.5,265.8,"324,390"
2018-10-28,261.5,264.9,260.9,264.9,261.3,"125,401"
2018-10-25,265,266,262,264.5,262.8,"233,927"
2018-10-24,264,265.7,261.7,263.7,263.7,"224,830"
2018-10-23,262.6,265,261.6,264,262.1,"342,915"
2018-10-22,263.5,269.7,262,269.7,263,"746,498"
2018-10-21,268.5,273,267.7,268.7,268.6,"160,931"
2018-10-18,265,268.8,264.9,267.4,265.7,"248,134"
2018-10-17,267.1,269.5,266.6,269.5,267.3,"268,229"
2018-10-16,268.5,270.9,268.1,268.8,268.8,"444,145"
2018-10-15,268.1,275,267.8,272.5,268.1,"298,218"
2018-10-14,272.4,273,270.6,272.6,272.3,"124,956"
2018-10-11,271.9,277.9,271.2,277.9,272.4,"250,772"
2018-10-10,277.1,282.2,276.9,282.2,277.7,"226,975"
2018-10-09,280.7,284.6,271.3,271.3,280.1,"786,499"
2018-10-08,271.8,271.8,268.1,270.1,271.3,"162,757"
2018-10-07,269.3,271,268.4,271,268.9,"168,783"
2018-10-04,271,273.6,268.5,270.9,271.4,"331,477"
2018-10-03,271,273,270.6,272,270.9,"107,989"
2018-10-02,272.4,275,272,275,272.5,"107,382"
2018-10-01,274.8,274.8,270.8,272.5,273.1,"188,855"
2018-09-30,273.6,275.9,269,269.3,272.7,"232,731"
2018-09-27,270,272.9,269,271.9,270.3,"166,462"
2018-09-26,272.4,274,271,272,271.8,"118,720"
