DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,246.6,258,246.1,248.7,247.1,"31,177"
2019-06-27,250,257,250,253.6,251,"23,928"
2019-06-26,255.6,264,255.1,257.3,255.7,"47,116"
2019-06-25,257.7,259.9,242.5,242.5,257.3,"44,614"
2019-06-24,242.3,249.3,242,249.3,243.9,"14,859"
2019-06-23,243,251.9,243,249,243.6,"18,682"
2019-06-20,244.5,251,242.2,250,243,"14,686"
2019-06-19,243.1,253.1,242,252.5,245.1,"43,405"
2019-06-18,250,263,247.1,260,250.2,"66,069"
2019-06-17,262,268,258.1,262.9,260.1,"67,217"
2019-06-16,261.5,262,255,257.7,260.1,"37,079"
2019-06-13,260,264,255.6,259.9,256.8,"43,997"
2019-06-12,257.9,267,257,267,258.6,"27,608"
2019-06-11,260.7,266.9,257.1,258,261.1,"49,507"
2019-06-10,260.1,262.9,251,262.9,257.3,"41,143"
2019-06-09,256.1,271,256.1,269,259.4,"45,785"
2019-05-30,272,278.7,266.4,273.7,267.6,"50,229"
2019-05-29,268.8,274.8,263,263.1,271.1,"51,289"
2019-05-28,268.4,284,268.1,278,270.3,"79,290"
2019-05-27,275.5,275.6,255,259.7,275.1,"183,645"
2019-05-26,254.5,255,236.5,243.8,253.5,"91,984"
2019-05-23,237.7,247.6,237,246,238.4,"20,496"
2019-05-22,244.8,248,240.1,248,244.6,"19,001"
2019-05-21,241.7,245,236,242.2,237.2,"42,924"
2019-05-20,244.1,251.8,243.1,245.9,244.7,"22,497"
2019-05-19,246.4,255,245.5,245.5,246.8,"29,032"
2019-05-16,247.7,256.8,242,256.8,248,"39,138"
2019-05-15,252.8,259.9,248.5,259,250.1,"37,029"
2019-05-14,257.8,261.9,247,247.5,257.4,"54,263"
2019-05-13,248.7,260,245,255.6,247.5,"67,787"
2019-05-12,255.7,266,255.1,265.3,257.1,"58,889"
2019-05-09,268,282,264,274.8,265.3,"106,642"
2019-05-08,269.2,270,250.5,250.5,269.5,"101,635"
2019-05-07,251,268.9,250,268.9,251.9,"43,522"
2019-05-06,260,275,256,265.7,261.1,"78,823"
2019-05-05,259.9,275.5,257.2,271,259.8,"105,077"
2019-05-02,282.3,295,272.2,279,281.7,"130,091"
2019-04-30,280,287.9,245,261.1,279.6,"195,763"
2019-04-29,261,298,261,289,264.8,"166,241"
2019-04-28,287,287.3,260.1,260.1,286,"148,185"
2019-04-25,263,269,246,254.9,264.2,"168,509"
2019-04-24,247.4,247.4,228,228.9,247.4,"150,491"
2019-04-23,229.3,239.9,224.8,230,227.5,"150,536"
2019-04-21,227.4,227.4,208,209,227.4,"193,593"
2019-04-18,210.2,214.6,198.2,198.2,209.1,"284,885"
2019-04-17,195.1,195.1,177.4,177.8,195.1,"68,457"
