DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,28.4,28.8,28,28.3,28.2,"34,272"
2019-06-27,29.1,29.6,28.4,29.3,29,"47,266"
2019-06-26,28.2,29.9,28.2,29.4,28.5,"67,303"
2019-06-25,29.4,30.4,29.4,29.6,29.5,"162,468"
2019-06-24,29.6,29.9,29.2,29.8,29.6,"73,017"
2019-06-23,29.2,30,29.2,30,29.4,"141,057"
2019-06-20,30,30.4,29.7,30.4,30,"50,502"
2019-06-19,30.7,31.4,29.8,30,30.5,"285,723"
2019-06-18,29.3,30.6,28.7,30,29.4,"61,857"
2019-06-17,30,30.7,29,29.7,29.5,"151,105"
2019-06-16,30.3,30.9,29.8,30.5,30.3,"110,573"
2019-06-13,29.9,31.2,29,29.2,30.5,"269,898"
2019-06-12,29,29.6,28.1,29,28.9,"128,415"
2019-06-11,28.6,30.6,28.3,29.2,28.9,"93,196"
2019-06-10,28.8,30.4,28.7,30.4,29,"55,368"
2019-06-09,29.6,30.9,29.6,30.4,30,"15,807"
2019-05-30,30.5,31.5,30.2,30.9,30.8,"460,390"
2019-05-29,30.6,31.5,30.1,31.4,30.6,"365,373"
2019-05-28,30.9,31,29.5,29.7,30.9,"289,318"
2019-05-27,29.3,30,29.3,30,29.5,"25,060"
2019-05-26,29.6,31,29.6,30.9,29.8,"83,581"
2019-05-23,30.8,31.4,28.7,31.1,30.3,"88,353"
2019-05-21,33.9,34.5,33.1,34.5,33.5,"570,810"
2019-05-20,34.9,35.5,34.1,35.2,34.6,"372,285"
2019-05-19,35.5,35.7,33.7,33.9,35.1,"458,293"
2019-05-16,34,34.8,33.7,34.8,34,"34,805"
2019-05-15,34.2,35.1,33.4,34.8,33.9,"72,524"
2019-05-14,34.5,34.8,33,33.4,34.6,"336,492"
2019-05-13,33.9,34.3,32.1,33.5,33.4,"144,657"
2019-05-12,33.1,35,33.1,35,33.6,"137,292"
2019-05-09,34,35,32.4,35,33.6,"313,761"
2019-05-08,34.6,35.5,34,35.5,34.1,"373,278"
2019-05-07,35.5,35.7,34.7,35.4,35.4,"241,386"
2019-05-06,36.1,36.1,34.3,35.5,36.1,"705,038"
2019-05-05,35.8,36,34.2,35.2,35.7,"261,968"
2019-05-02,35.2,36.8,34.2,35.9,34.9,"392,502"
2019-04-30,35.1,35.9,34.4,35.9,35.1,"73,708"
2019-04-29,34.4,35.9,34.1,34.8,34.5,"227,925"
2019-04-28,34.6,34.8,34.1,34.3,34.5,"78,582"
2019-04-25,34.6,35,33.6,34.1,34.2,"27,064"
2019-04-24,34.9,34.9,34.1,34.2,34.7,"12,966"
2019-04-23,35.1,35.3,34.2,34.4,34.8,"22,050"
2019-04-21,34,34.6,34,34.3,34.2,"5,039"
2019-04-18,34.9,35.6,34.2,35.3,35.4,"186,724"
2019-04-17,34.4,35.9,33.7,35.8,35.2,"83,544"
2019-04-16,35,35.7,33.9,34.7,34.2,"31,729"
2019-04-15,34.2,35.8,34.2,35.8,34.6,"48,560"
2019-04-11,35.8,36.4,35.1,36.4,35.8,"177,300"
2019-04-10,35.4,36.7,35,35.8,35.1,"277,552"
2019-04-09,35.5,36.6,34.5,34.5,35.4,"180,886"
2019-04-08,34.5,34.8,34.2,34.2,34.5,"67,382"
2019-04-07,34.9,35.1,34.4,34.4,34.9,"50,823"
2019-04-04,34.1,35.2,33.7,33.7,34.2,"63,147"
2019-04-03,34.6,35.5,34,35.5,34.7,"102,969"
2019-04-02,34.3,36.4,34.3,36.4,34.6,"66,377"
2019-04-01,34,36.3,34,35.4,34.8,"238,400"
2019-03-31,35.6,36.1,34.2,36.1,34.5,"90,500"
2019-03-28,36,36.5,33.2,36.5,35.6,"17,460"
2019-03-27,36,36.6,35,35,35.7,"602,815"
2019-03-25,34.9,35.6,34.4,35.6,34.9,"8,852"
2019-03-24,35.2,35.9,33.6,35.5,34.4,"75,491"
2019-03-21,34.6,36.4,34.2,35.6,34.5,"33,993"
2019-03-20,36.1,36.7,35.2,35.5,35.9,"169,600"
2019-03-19,35.8,35.8,33,33,35.4,"29,694"
2019-03-18,32.8,34.8,32.1,34.8,33.2,"48,922"
2019-03-14,34.7,36.7,34.3,36.7,34.4,"44,163"
2019-03-13,34.3,37.9,33.3,37.9,34.7,"56,283"
2019-03-12,37,38.8,36.1,38.8,36.8,"45,012"
2019-03-11,38.4,38.7,37,38.7,38.5,"23,699"
2019-03-10,38.8,39.2,37.4,39.2,38.1,"23,271"
2019-03-07,38.9,39.5,37.9,38.6,38.5,"191,022"
2019-03-06,38.4,38.4,36.9,38.3,38.2,"156,317"
2019-03-05,36.8,38.7,36.8,38.2,37,"96,638"
2019-03-04,38.8,40,37.1,39.9,38.2,"412,044"
2019-03-03,39.1,39.6,37.9,38.7,38.6,"93,012"
2019-02-27,38.9,39.9,38.1,39.9,38.3,"59,072"
2019-02-26,39.4,40,37.7,38,39.4,"318,702"
2019-02-25,38.7,39.3,37.3,38.9,38.4,"12,172"
2019-02-24,37.9,38.6,37.3,37.3,38.2,"30,899"
2019-02-20,38.6,39.5,36.7,39.5,38.3,"91,592"
