DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,658,669.5,658,666.1,660.5,"9,739"
2019-06-27,670.7,672.3,662.2,665,664,"7,877"
2019-06-26,663,669.9,661,669.9,663.8,"11,985"
2019-06-25,664,666.7,660,660,661.8,"11,486"
2019-06-24,665,672,660.3,672,661.8,"10,295"
2019-06-23,666.2,683,665,683,668.3,"10,318"
2019-06-20,678.1,685,678.1,685,679.7,"12,163"
2019-06-19,683.5,690.2,681,690.1,683.5,"15,321"
2019-06-18,688.2,699.6,686,695,688.5,"12,668"
2019-06-17,690,714,686.8,686.8,690.4,"26,309"
2019-06-16,689.5,698,681,688,686.8,"21,777"
2019-06-13,683,692,682,685,683.3,"13,287"
2019-06-12,685.7,703.8,684.1,698.9,686.1,"17,197"
2019-06-11,694,699.5,682.7,685,693.9,"23,100"
2019-06-10,680,690,669,669.9,679.5,"21,644"
2019-06-09,670,674.9,650.5,655.5,667,"12,644"
2019-05-30,650.4,657,643.2,656,644.7,"12,977"
2019-05-29,657,660,650.6,660,655.6,"14,972"
2019-05-28,650,652,636.4,638.1,648.8,"10,285"
2019-05-27,632,644.9,630,642,632.1,"12,199"
2019-05-26,640,651.2,638,647.4,641.2,"17,615"
2019-05-23,650,660,645,654.7,646.8,"12,286"
2019-05-22,652.5,663,652,656.6,654.4,"9,103"
2019-05-21,653.9,665,652,661,653.2,"8,552"
2019-05-20,664,671.2,660,669,661,"11,279"
2019-05-19,667.9,675.9,665,675,667.9,"8,879"
2019-05-16,662.3,667.1,662.2,665,662.6,"6,922"
2019-05-15,664.7,669.9,660.1,664,662.1,"4,757"
2019-05-14,666.9,676.1,661,668.6,663.3,"6,760"
2019-05-13,671,683.1,665,682.4,667.5,"9,632"
2019-05-12,685,692,680,692,681.2,"6,850"
2019-05-09,681.8,687,678.2,684.9,681.9,"10,917"
2019-05-08,678.1,690.1,675.9,687.9,678.2,"12,350"
2019-05-07,685.1,697.5,685,695,687,"12,389"
2019-05-06,689,713,687.3,712,689.6,"19,996"
2019-05-05,701,708.7,690,690,702.2,"24,260"
2019-05-02,686.8,689,656.3,660,684.6,"19,325"
2019-04-30,653.8,667.9,650,659.6,656.3,"20,868"
2019-04-29,656.1,689.9,656,682.2,659.5,"23,624"
2019-04-28,680.6,697.7,680.5,697.7,681.7,"20,338"
2019-04-25,693.8,702.8,686.2,688.6,697.7,"15,485"
2019-04-24,688.9,702,681,702,682.9,"23,718"
2019-04-23,704.9,725,700,725,700.7,"16,431"
2019-04-21,723,732.5,714.2,714.5,720.6,"20,319"
2019-04-18,712.7,712.7,691,693,709.6,"24,260"
2019-04-17,693,715,679.9,714.7,690.3,"26,860"
2019-04-16,705.5,726,699.5,726,706.5,"28,193"
2019-04-15,724,758,723,746.8,725.8,"18,875"
