DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,41.9,42.4,41.2,42,41.7,"459,452"
2019-06-27,42,42.2,41.5,41.8,42,"647,066"
2019-06-26,42,42,41.3,41.3,41.8,"409,967"
2019-06-25,41.4,41.7,41.2,41.6,41.3,"272,135"
2019-06-24,41.7,41.8,41.2,41.3,41.6,"472,192"
2019-06-23,41.5,41.5,40.9,41.1,41.4,"309,869"
2019-06-20,41.1,41.4,40.8,41.3,41.1,"376,488"
2019-06-19,41.4,41.5,40.7,40.7,41.3,"498,354"
2019-06-18,40.5,40.9,40.4,40.6,40.6,"380,664"
2019-06-17,40.4,40.6,40.4,40.4,40.5,"341,866"
2019-06-16,40.6,40.8,40.4,40.8,40.5,"456,062"
2019-06-13,40.7,40.8,40.4,40.7,40.6,"461,072"
2019-06-12,40.7,40.9,40.6,40.8,40.7,"660,491"
2019-06-11,40.8,41.3,40.7,41.3,40.8,"415,834"
2019-06-10,41.2,41.2,40.5,40.6,41.1,"426,151"
2019-06-09,40.7,40.9,40.5,40.5,40.7,"489,235"
2019-05-30,40.4,41,40.4,40.7,40.5,"630,914"
2019-05-29,40.7,41.3,40.5,41.3,40.7,"523,157"
2019-05-28,41,41.5,40.2,40.2,41.1,"1,405,973"
2019-05-27,40.3,40.5,39.8,39.9,40.3,"470,189"
2019-05-26,39.8,40.3,39.6,40.3,39.9,"168,102"
2019-05-23,40,40,39.2,39.2,39.8,"287,481"
2019-05-22,39,39.6,39,39.2,39.3,"467,670"
2019-05-21,39.5,40,39.1,40,39.3,"738,916"
2019-05-20,40.1,40.5,39.4,39.7,40.3,"452,963"
2019-05-19,39.7,39.8,39,39.4,39.8,"791,553"
2019-05-16,39.4,39.4,39,39.2,39.2,"447,040"
2019-05-15,39.2,39.5,39.1,39.4,39.2,"149,806"
2019-05-14,39.3,39.5,39,39,39.3,"172,443"
2019-05-13,38.9,39.4,38.9,38.9,39,"286,271"
2019-05-12,38.9,39.5,38.9,39.5,39,"577,286"
2019-05-09,39.5,39.8,39.1,39.8,39.3,"393,825"
2019-05-08,39.5,39.6,39.2,39.6,39.4,"383,963"
2019-05-07,39.4,40,39.4,40,39.5,"346,725"
2019-05-06,40,40.4,39.4,40.4,40,"338,726"
2019-05-05,40.4,40.4,39.6,40,40.1,"984,815"
2019-05-02,39.7,39.9,39.3,39.7,39.7,"542,994"
2019-04-30,39.8,40,39.1,39.1,39.7,"522,475"
2019-04-29,38.9,39.6,38.7,39.6,39.1,"546,766"
2019-04-28,39.3,39.5,39.2,39.4,39.3,"142,138"
2019-04-25,39.4,39.6,39.3,39.5,39.3,"239,752"
2019-04-24,39.5,39.9,39.4,39.9,39.5,"229,326"
2019-04-23,39.6,39.9,39.4,39.7,39.6,"332,566"
2019-04-21,39.9,40.2,39.6,40.2,39.7,"323,705"
2019-04-18,40.1,40.1,39.3,39.6,40,"745,762"
2019-04-17,39.5,40,39.3,39.8,39.5,"528,531"
2019-04-16,39.3,40.2,39.1,40.2,39.4,"161,133"
2019-04-15,39.8,40.5,39.6,40,39.8,"224,120"
2019-04-11,39.9,40,39.8,39.8,39.9,"289,421"
2019-04-10,39.9,40.3,39.6,39.8,39.8,"582,962"
2019-04-09,39.8,40.1,39.8,40.1,39.9,"482,842"
2019-04-08,40,40.7,40,40.5,40.1,"567,318"
2019-04-07,40.8,40.8,40.1,40.1,40.4,"203,803"
2019-04-04,40.1,40.4,40,40.1,40.1,"311,286"
2019-04-03,40.2,40.5,39.9,40.5,40.1,"712,250"
2019-04-02,40.5,41.4,40.5,40.5,40.5,"550,584"
2019-04-01,40.5,41,40.2,41,40.5,"583,125"
2019-03-31,40.7,41.1,40.2,41.1,40.4,"350,436"
2019-03-28,41,42,40.4,40.4,41.1,"1,026,231"
2019-03-27,40.3,40.7,40,40.3,40.4,"480,659"
2019-03-25,40.2,41,39.2,40.1,40.1,"276,295"
2019-03-24,40.3,41.3,40.3,41.3,40.4,"597,618"
2019-03-21,40.9,41.5,40,41.5,40.3,"824,733"
2019-03-20,41.2,41.8,41.1,41.5,41.3,"329,669"
2019-03-19,41.5,41.8,40.7,41.7,41.2,"175,170"
2019-03-18,41.4,42.1,40.6,42.1,40.9,"553,685"
2019-03-14,41.2,42,41,42,41.7,"735,010"
2019-03-13,42,42.3,41.7,42.3,41.8,"325,851"
2019-03-12,42.1,42.6,42.1,42.5,42.2,"579,237"
2019-03-11,42.3,42.6,42.3,42.5,42.4,"305,785"
2019-03-10,42.5,42.7,42.4,42.7,42.5,"614,811"
