DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,27.2,29.2,27.1,28.5,27.3,"82,103"
2019-06-27,28.9,30.6,28.2,29.2,28.5,"252,005"
2019-06-26,29,30,28.5,28.8,29.1,"137,330"
2019-06-25,28.7,30.9,28.6,30.6,28.8,"310,078"
2019-06-24,30.5,32.4,30.2,31.9,30.5,"231,105"
2019-06-23,31.5,33,30.7,33,31.5,"451,671"
2019-06-20,32.1,33,32,33,32.2,"1,031,309"
2019-06-19,30,30,27.6,27.6,30,"396,146"
2019-06-18,27,27.5,26.7,26.7,27.3,"186,260"
2019-06-17,26.4,27,26.1,26.1,26.5,"78,192"
2019-06-16,26.2,27.5,26.2,27.1,26.5,"138,906"
2019-06-13,26.9,28.3,26.9,27.5,27,"149,251"
2019-06-12,27.5,27.6,26.2,26.2,27.5,"121,976"
2019-06-11,26,27.1,26,26.9,26.1,"70,612"
2019-06-10,26,27.3,25.9,27.3,26.4,"67,296"
2019-06-09,26,28.1,26,26.9,26.7,"126,204"
2019-05-30,26.6,27.3,25.7,25.7,26.5,"136,702"
2019-05-29,25.4,26.4,25.4,26.4,25.6,"36,637"
2019-05-28,25.6,27,25.5,26.4,25.8,"100,082"
2019-05-27,26.5,28.2,26.3,26.8,26.4,"325,120"
2019-05-26,26.2,26.2,23.9,24.2,26.2,"191,761"
2019-05-23,24,24,23.4,23.9,23.9,"32,488"
2019-05-22,23.7,23.7,22.9,23.2,23.5,"17,544"
2019-05-21,23.3,23.3,23,23.3,23.1,"2,802"
2019-05-20,23.1,23.9,23,23.9,23.1,"16,494"
2019-05-19,23.7,23.7,23,23,23.6,"26,156"
2019-05-16,23.2,23.3,22.8,23,22.9,"12,124"
2019-05-15,23.2,23.8,23,23.8,23.1,"3,151"
2019-05-14,23,23.3,23,23,23,"2,302"
2019-05-13,22.8,23.2,22.8,23.2,23.1,"16,187"
2019-05-12,23.3,24.5,23.1,24.5,23.2,"8,250"
2019-05-09,23.5,23.5,23,23.4,23.2,"12,757"
2019-05-08,23.5,23.7,22.6,23.2,23,"26,014"
2019-05-07,23.7,23.7,23.5,23.6,23.5,"7,676"
2019-05-06,24.1,24.6,23.5,24.1,23.6,"36,388"
2019-05-05,24.3,24.6,23.5,23.5,24.4,"87,138"
2019-05-02,23.5,23.5,22.5,23,23,"34,504"
2019-04-30,22.2,22.7,22,22.7,22.1,"30,676"
2019-04-29,22.9,22.9,22.4,22.7,22.5,"19,863"
2019-04-28,22.9,23,22.3,22.8,22.6,"34,941"
2019-04-25,23.3,23.7,22.6,23.1,23.2,"33,020"
2019-04-24,23.2,23.3,22.5,22.5,23.1,"13,988"
2019-04-23,23.4,23.9,22.2,23.9,22.9,"12,660"
2019-04-21,22.8,23.7,22.7,23.4,22.8,"66,051"
2019-04-18,24,24.5,23,24.5,23.6,"17,620"
2019-04-17,24.3,24.3,23,23.3,24,"32,659"
2019-04-16,23,23.8,22.8,22.8,23.4,"11,103"
2019-04-15,23.3,24,23.3,24,23.5,"9,668"
2019-04-11,24,24.4,23.3,23.4,24.1,"29,135"
2019-04-10,23.6,24.5,22.9,24.5,23.1,"9,718"
2019-04-09,23.4,25,22.9,25,23,"59,259"
2019-04-08,23.1,23.4,23,23.1,23.1,"45,209"
2019-04-07,23.2,24.9,23,24.9,23.2,"46,600"
2019-04-04,24.9,24.9,24.3,24.7,24.5,"58,224"
2019-04-03,24.6,25.2,24.4,25.1,24.5,"64,546"
2019-04-02,25.5,25.5,23.2,23.2,25,"95,648"
2019-04-01,23.9,24.4,22.8,24.4,23.5,"94,235"
2019-03-31,22.8,23.3,22.6,23.1,22.7,"24,235"
2019-03-28,23.3,23.4,22.7,22.7,23.2,"44,185"
2019-03-27,22.5,22.9,22.1,22.7,22.3,"52,501"
2019-03-25,22.6,23.3,22.5,22.8,22.9,"93,743"
2019-03-24,22.9,23.4,22.6,23.1,22.7,"45,867"
2019-03-21,23.5,23.5,23,23.1,23.4,"35,688"
2019-03-20,23.5,23.8,23,23.8,23.1,"20,299"
2019-03-19,23.8,23.8,22.8,23,23.8,"36,038"
2019-03-18,22.5,24,22.2,24,22.7,"94,119"
2019-03-14,23.8,24.9,23.8,24.9,24.3,"73,050"
2019-03-13,24.5,25.6,24.2,25.6,24.3,"44,117"
2019-03-12,25,25.9,25,25.4,25.1,"35,416"
2019-03-11,25.4,26.2,25.2,26.2,25.3,"43,483"
2019-03-10,25.8,27,25.6,26.7,25.8,"57,133"
2019-03-07,26.7,26.7,25.5,26,26.4,"71,215"
2019-03-06,25.4,26.3,25.4,25.9,25.5,"32,852"
2019-03-05,25.2,26.7,25,26.7,25.7,"96,831"
2019-03-04,26.6,27.8,26.6,27.1,26.7,"68,697"
2019-03-03,27.3,27.9,27,27.2,27.4,"73,060"
2019-02-27,28,28.5,27.1,28.5,27.8,"85,096"
2019-02-26,28,28.9,27.4,27.4,27.9,"161,116"
2019-02-25,27.4,27.4,26.7,26.8,27.2,"103,674"
2019-02-24,26.6,28,26.5,27.9,26.7,"73,239"
2019-02-20,27.6,28.7,27.5,28.3,27.7,"79,189"
2019-02-19,28.4,28.5,26.6,27,28.1,"86,167"
2019-02-18,26.8,28.5,26.6,28.5,26.8,"80,781"
2019-02-17,27.7,29.3,27.4,29.3,27.7,"119,583"
2019-02-14,29.4,29.7,27.8,28.3,29.2,"262,261"
2019-02-13,27.5,27.9,26.6,26.6,27.4,"111,669"
2019-02-12,27,28.4,26.2,28.1,26.9,"136,856"
2019-02-11,28.2,28.2,26,26,27.7,"138,783"
2019-02-10,25.6,28.7,25.6,28.7,25.7,"229,313"
2019-02-07,27.8,29.6,27,28.6,27.3,"157,650"
2019-02-06,28.4,30.6,27.8,29.2,28.3,"226,071"
2019-02-05,28.5,30.8,28.3,30.7,28.9,"205,406"
2019-02-04,30.8,32.6,30.6,32.2,30.8,"198,341"
2019-02-03,32.3,33.2,31.2,31.9,32,"366,493"
2019-01-31,31.7,32.7,30.5,32.7,30.9,"192,239"
2019-01-30,31.9,33.6,31.2,33.3,31.8,"250,377"
2019-01-29,32.5,33.5,31.9,32.4,32.4,"263,702"
2019-01-28,32.5,34.1,31.5,34,31.8,"373,375"
2019-01-27,33.1,35.3,33,34.5,33.7,"584,303"
2019-01-24,34.2,34.9,33.1,34,34.1,"421,647"
2019-01-23,33.1,34.7,33,34,33.2,"455,809"
2019-01-22,34,35.3,33.8,35.2,34,"503,684"
2019-01-21,34.9,36.8,33.9,34,35.1,"853,708"
2019-01-20,33.6,36,33.3,36,33.9,"796,490"
2019-01-17,35.2,37.8,34.5,34.5,35.3,"815,444"
2019-01-16,34.8,36.7,34.2,35.4,34.7,"901,417"
2019-01-15,34.5,34.5,31.5,31.6,34.5,"1,013,672"
2019-01-14,31.3,33.1,31.1,32.4,31.4,"814,244"
2019-01-13,31.9,33.4,31.4,32.8,32,"1,017,868"
2019-01-10,32.3,34.2,32,32,32.7,"1,719,112"
2019-01-09,31.3,31.3,28.3,28.7,31.3,"1,260,871"
2019-01-08,28.4,29.4,27.8,27.8,28.5,"813,506"
2019-01-07,27.8,28,27,27,27.5,"528,703"
2019-01-06,26.9,27.7,26.6,27.5,26.7,"595,182"
2019-01-03,27,27.6,26.8,26.9,27,"624,876"
2019-01-02,27,28,26.7,28,26.9,"411,405"
2019-01-01,27.7,28.7,27.4,27.8,27.6,"437,320"
2018-12-27,27.4,28.6,26.6,27.5,27.7,"403,841"
2018-12-26,27,27.5,25.6,26.1,27.2,"386,413"
2018-12-24,26.4,28,26.4,27.1,26.6,"459,491"
2018-12-23,27.4,30,26.9,30,27.3,"587,143"
2018-12-20,28.5,31.5,28.2,31.3,28.9,"1,043,919"
2018-12-19,30.5,32,30,31,30.6,"914,685"
2018-12-18,31.4,31.5,29.3,29.4,31.1,"1,687,239"
2018-12-17,28.7,28.7,25.7,26,28.7,"977,428"
2018-12-13,26.8,28.6,25.8,28,26.1,"898,980"
2018-12-12,26.4,26.4,24.3,24.4,26.4,"629,746"
2018-12-11,24.3,24.3,23.3,23.6,24,"299,763"
2018-12-10,23.7,24.2,23.2,23.4,23.6,"249,610"
2018-12-09,24.4,24.9,23,23,24.4,"543,237"
2018-12-06,23,23.3,21.2,21.9,22.9,"294,174"
2018-12-05,21.7,22.3,21.1,21.3,21.9,"108,290"
2018-12-04,21.4,21.5,20.8,20.9,21.3,"59,482"
2018-12-03,21,21.2,20.4,20.4,20.8,"57,262"
2018-12-02,20.5,20.8,20.5,20.8,20.6,"64,040"
2018-11-29,20.6,20.9,20.3,20.9,20.4,"87,187"
2018-11-28,20.8,21.4,20.4,21,20.5,"62,772"
2018-11-27,21.2,21.2,20.4,20.6,20.9,"71,541"
2018-11-26,20.5,20.9,20.2,20.4,20.5,"64,672"
2018-11-25,20.3,21.8,20.2,20.6,20.4,"43,102"
2018-11-22,20.4,20.7,20,20.7,20.2,"18,660"
2018-11-20,20.4,20.9,20.3,20.8,20.5,"103,918"
2018-11-19,20.8,20.8,20.5,20.8,20.6,"47,178"
2018-11-18,20.7,21.2,20.6,20.7,20.7,"45,583"
2018-11-15,20.7,21.3,20.5,20.7,20.7,"26,416"
2018-11-14,20.7,21.7,20.5,20.9,21.2,"38,493"
2018-11-13,20.7,20.9,20.5,20.9,20.6,"17,171"
2018-11-12,20.8,21.8,20.8,21.8,20.8,"29,493"
2018-11-11,21.2,22.7,21.1,21.2,21.3,"61,917"
2018-11-08,21,21.3,20.7,21.3,20.9,"57,559"
2018-11-07,21.2,21.3,20.8,21,21.1,"27,709"
2018-11-06,20.7,21.5,20.7,21.5,20.7,"81,970"
2018-11-05,21.8,22.5,21.3,21.3,21.7,"83,608"
2018-11-04,21.2,21.2,20.5,20.9,20.9,"70,734"
2018-11-01,20.6,21.2,20.6,20.8,20.8,"16,263"
2018-10-31,20.8,21.3,20.8,21.3,20.9,"35,032"
2018-10-30,21.4,21.5,20.7,20.8,21.2,"45,823"
2018-10-29,20.7,21,20.2,20.3,20.7,"50,127"
2018-10-28,20.4,21.6,20.3,20.5,21.1,"27,015"
2018-10-25,20.7,21.4,20.6,21.4,20.8,"34,767"
2018-10-24,21.4,21.6,21.3,21.5,21.3,"15,711"
2018-10-23,21.3,21.9,21,21.1,21.5,"48,736"
2018-10-22,21.1,21.9,21.1,21.5,21.1,"37,217"
2018-10-21,21.4,21.7,21.3,21.6,21.5,"44,329"
2018-10-18,22,22.3,21.6,22.2,21.8,"47,000"
2018-10-17,22.2,22.9,22.2,22.9,22.2,"66,676"
2018-10-16,22.4,22.8,22.4,22.7,22.4,"44,932"
2018-10-15,22.4,23.1,22.4,23,22.5,"89,345"
2018-10-14,22.8,23.1,22.6,22.6,22.8,"32,609"
2018-10-11,22.9,23.6,22.7,23.1,22.9,"52,143"
2018-10-10,23.5,23.6,23.1,23.4,23.1,"84,594"
2018-10-09,23.8,23.8,23.5,23.6,23.6,"69,194"
2018-10-08,23.5,24,23.4,23.7,23.6,"77,074"
2018-10-07,23.3,24.5,23.2,24.5,23.3,"109,941"
2018-10-04,24.1,24.7,23.5,24.2,23.9,"132,850"
2018-10-03,24.3,24.7,24,24.7,24.4,"192,617"
2018-10-02,24.8,26.2,24.1,26.2,24.6,"244,618"
2018-10-01,26.3,27.5,25.6,26,26.2,"561,301"
2018-09-30,25.6,25.6,23.7,24.8,25,"64,524"
2018-09-27,24.7,25,24,24,24.9,"77,130"
2018-09-26,23.8,24.4,23.8,23.9,23.9,"12,093"
2018-09-25,23.9,24.2,23.2,24,23.7,"24,205"
2018-09-24,24,25,23.8,25,24,"54,868"
2018-09-23,24.8,25.4,23.9,24.8,24.1,"78,857"
2018-09-20,24.6,25,24.1,24.3,24.7,"34,227"
2018-09-19,24.5,25.7,24,24,24.5,"236,282"
2018-09-18,23.4,23.5,23,23,23.4,"47,040"
2018-09-17,23,23,22.8,23,22.9,"21,884"
2018-09-16,23.1,23.4,22.8,23.4,23,"20,634"
2018-09-13,23.1,23.5,22.9,22.9,23,"9,833"
2018-09-12,22.9,23.5,22.9,23.4,23.1,"56,684"
2018-09-11,23.1,24,23.1,23.5,23.6,"30,134"
2018-09-10,23.7,23.7,23.2,23.6,23.4,"1,701"
2018-09-09,23.3,23.8,23.1,23.1,23.4,"32,041"
2018-09-06,23.3,23.8,23.3,23.8,23.4,"29,561"
2018-09-05,23.2,23.6,23,23.3,23.3,"85,470"
2018-09-04,23.3,24,23.1,23.4,23.2,"63,548"
2018-09-03,23.6,24,23.3,23.3,23.8,"83,970"
2018-08-30,23.6,23.6,23.1,23.1,23.3,"29,305"
2018-08-29,23,23.8,22.5,22.6,23.2,"55,939"
2018-08-27,24,24.8,23.5,24.2,23.8,"467,732"
