DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,40.1,40.1,39.5,39.8,39.8,"631,879"
2019-06-27,39.9,39.9,39.4,39.9,39.7,"94,651"
2019-06-26,39.9,40,39.4,39.6,39.8,"398,325"
2019-06-25,39.4,39.5,39.1,39.3,39.3,"243,422"
2019-06-24,39.3,39.4,38.7,38.9,39.2,"154,449"
2019-06-23,38.9,39.1,38.8,38.9,39,"88,213"
2019-06-20,38.8,39,38.7,39,38.8,"120,325"
2019-06-19,38.8,39,38.5,39,38.7,"244,237"
2019-06-18,38.6,39,38.6,38.9,38.7,"138,685"
2019-06-17,38.8,39.3,38.8,39.1,38.9,"123,165"
2019-06-16,39.1,39.9,39,39.8,39.1,"97,915"
2019-06-13,39.5,39.7,39.3,39.7,39.5,"86,654"
2019-06-12,39.5,39.7,39,39.4,39.6,"146,417"
2019-06-11,39.4,39.4,39.2,39.3,39.4,"188,176"
2019-06-10,39.1,39.2,38.8,38.8,39.1,"124,400"
2019-06-09,38.8,39,38.5,38.5,38.9,"88,381"
2019-05-30,38.5,38.8,38.4,38.5,38.6,"51,374"
2019-05-29,38.8,38.9,38.5,38.5,38.7,"40,817"
2019-05-28,38.5,38.7,38.3,38.7,38.5,"108,402"
2019-05-27,38.5,38.7,38.1,38.6,38.3,"110,628"
2019-05-26,38.2,38.5,38,38.5,38.2,"184,344"
2019-05-23,38.9,38.9,38.2,38.9,38.4,"174,883"
2019-05-22,38.5,38.9,38.2,38.6,38.6,"61,843"
2019-05-21,38.4,39,38.4,39,38.5,"99,039"
2019-05-20,38.7,39.3,38.5,39.3,38.6,"116,952"
2019-05-19,39,39.4,38.7,39.2,39,"171,689"
2019-05-16,38.7,39.6,38.5,38.7,39.2,"195,903"
2019-05-15,38.8,39.3,38.7,39.2,38.8,"180,803"
2019-05-14,39.8,40.4,39.2,40.4,39.5,"156,302"
2019-05-13,40,41.3,39.1,39.2,40,"1,090,123"
2019-05-12,39,39.2,38.6,38.7,38.9,"105,508"
2019-05-09,38.6,38.9,38.3,38.9,38.4,"77,375"
2019-05-08,38.5,39.3,38.5,39.1,38.8,"56,066"
2019-05-07,39.4,39.5,38,38.4,39.3,"355,672"
2019-05-06,38,39,38,38.7,38.1,"39,856"
2019-05-05,38.9,39.2,38.3,38.3,38.7,"248,518"
2019-05-02,38.3,38.5,37.9,38.4,38.2,"83,320"
2019-04-30,37.7,38.1,37.7,37.7,37.8,"38,873"
2019-04-29,37.7,38.2,37.5,38,37.7,"60,338"
2019-04-28,37.8,38.1,37.8,38,37.8,"43,840"
2019-04-25,37.8,38.2,37.5,37.5,37.8,"63,257"
2019-04-24,38,38,37.6,38,37.9,"56,467"
2019-04-23,38,38.4,38,38,38,"63,965"
2019-04-21,38.5,38.5,37.5,38.5,38.4,"96,097"
2019-04-18,38.5,38.5,37.8,37.8,38.4,"99,359"
2019-04-17,37.5,38.5,37,37.5,37.8,"108,362"
2019-04-16,37.9,38,37.3,38,37.5,"36,611"
2019-04-15,37.8,39,37.7,37.8,37.9,"39,909"
2019-04-11,37.8,38,37.6,37.6,37.9,"40,233"
2019-04-10,37.7,38.5,37.3,37.5,37.8,"101,990"
