DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,20.2,20.6,19.6,19.6,20.3,"101,170"
2019-06-27,19.8,20.1,19.6,19.6,19.9,"64,437"
2019-06-26,19.6,20,19.6,19.8,19.7,"45,854"
2019-06-25,19.8,20.3,19.7,20,19.8,"17,114"
2019-06-24,20,20.4,19.6,20.1,20,"57,589"
2019-06-23,19.8,20.4,19.5,20.2,19.6,"96,516"
2019-06-20,20.3,20.7,20.1,20.5,20.4,"49,024"
2019-06-19,20.5,20.7,20.1,20.7,20.4,"92,004"
2019-06-18,20.9,21,19.2,19.2,20.7,"232,956"
2019-06-17,19.5,20,19.2,20,19.5,"86,976"
2019-06-16,20,20.7,19.7,19.7,20,"183,533"
2019-06-13,19.7,19.8,19,19,19.5,"95,450"
2019-06-12,18.6,19.9,18.6,19.5,19.1,"83,109"
2019-06-11,19.9,19.9,19.1,19.7,19.7,"59,647"
2019-06-10,19.3,19.7,19,19,19.4,"143,591"
2019-06-09,19,19.2,18.5,18.5,18.9,"10,624"
2019-05-30,18.9,18.9,18.5,18.9,18.8,"28,125"
2019-05-29,18.6,18.7,18.5,18.7,18.5,"23,000"
2019-05-28,18.4,18.7,18.3,18.3,18.5,"48,297"
2019-05-27,18.5,18.7,18.2,18.4,18.4,"25,267"
2019-05-26,18.4,18.7,18.3,18.3,18.4,"20,837"
2019-05-23,18.6,18.8,18.5,18.8,18.6,"20,784"
2019-05-22,18.5,18.7,18.5,18.5,18.6,"5,853"
2019-05-21,18.5,18.9,18.4,18.9,18.5,"105,582"
2019-05-20,18.6,19,18.3,19,18.4,"38,593"
2019-05-19,18.5,18.8,18.4,18.7,18.4,"82,505"
2019-05-16,18.6,18.9,18.4,18.9,18.5,"8,309"
2019-05-15,18.3,18.7,18.3,18.3,18.3,"14,597"
2019-05-14,18.3,18.7,18.3,18.7,18.4,"11,421"
2019-05-13,18.5,18.8,18.4,18.8,18.6,"33,563"
2019-05-12,18.7,19.2,18.6,18.8,18.7,"69,071"
2019-05-09,18.5,18.8,18.2,18.8,18.4,"53,969"
2019-05-08,18.3,18.3,18.1,18.2,18.2,"20,548"
2019-05-07,18.6,18.8,18,18.8,18.2,"43,289"
2019-05-06,18.9,19.2,18.7,19.2,18.8,"79,028"
2019-05-05,19.2,20,19.2,19.2,19.4,"161,450"
2019-05-02,19.2,19.2,17.3,17.9,19.1,"263,042"
2019-04-30,17.7,17.8,17.5,17.5,17.5,"121,994"
2019-04-29,17.6,17.8,17.2,17.8,17.5,"53,301"
2019-04-28,17.3,18.2,17,17,17.4,"28,327"
2019-04-25,17.9,18.5,17.5,18.4,18,"42,875"
2019-04-24,17.4,18,17.3,18,17.4,"69,467"
2019-04-23,18.1,18.4,18.1,18.2,18.1,"6,012"
2019-04-21,18.3,18.9,18.3,18.9,18.6,"41,589"
2019-04-18,18.8,18.8,18.3,18.3,18.8,"13,852"
2019-04-17,18.3,18.7,18.1,18.4,18.4,"257,268"
2019-04-16,18.4,18.4,17.8,18.1,18.2,"84,759"
2019-04-15,18.4,19,18.3,18.4,18.4,"8,677"
2019-04-11,18.4,18.7,18.4,18.5,18.7,"37,015"
2019-04-10,18.4,18.8,18.1,18.5,18.6,"276,442"
2019-04-09,18.5,18.8,18.5,18.8,18.7,"54,915"
2019-04-08,18.7,19,18.6,18.8,18.9,"43,834"
2019-04-07,18.7,19.5,18.6,19,19.1,"102,360"
2019-04-04,19.3,19.7,18.6,19,19.4,"107,455"
2019-04-03,19,19.1,18.5,19.1,18.6,"79,631"
2019-04-02,19.2,19.7,18.9,19.7,19.1,"151,593"
2019-04-01,19.3,19.9,19.2,19.9,19.3,"14,543"
2019-03-31,19.4,19.9,18.7,19.9,19.5,"242,935"
2019-03-28,19.6,19.8,19.5,19.8,19.5,"33,693"
2019-03-27,19.6,19.7,19.5,19.7,19.5,"100,750"
2019-03-25,19.7,19.9,19.3,19.9,19.7,"38,150"
2019-03-24,19.3,20,19.3,20,19.5,"19,112"
2019-03-21,19.7,20,19.3,20,19.5,"46,292"
2019-03-20,19.9,20,19,20,19.7,"90,043"
2019-03-19,19.5,19.6,19,19,19.4,"98,588"
2019-03-18,19,19.4,18.7,19.4,18.9,"66,873"
2019-03-14,19,20.1,19,19.6,19.1,"112,927"
2019-03-13,19.7,20.6,19.4,20.6,19.6,"101,254"
2019-03-12,20.1,20.8,20,20.8,20.1,"65,214"
2019-03-11,20.3,20.8,20.2,20.4,20.3,"203,303"
2019-03-10,20.2,20.5,20.2,20.5,20.2,"93,804"
2019-03-07,20.1,20.2,20,20.1,20.2,"171,707"
2019-03-06,20,20.8,20,20.2,20,"184,574"
2019-03-05,19.9,20.6,19.7,19.9,19.9,"309,929"
2019-03-04,20.4,21,20,20.7,20.2,"720,050"
2019-03-03,20.9,21.4,20.7,21.1,20.8,"81,710"
2019-02-27,21.3,21.5,20.7,20.9,21,"76,507"
2019-02-26,21,21.2,20.9,20.9,21,"52,396"
2019-02-25,21,21.7,20.9,21.2,21,"100,869"
2019-02-24,20.8,21.3,20.8,21.3,20.9,"87,391"
2019-02-20,21.1,21.5,20.8,20.8,21.3,"120,895"
2019-02-19,21.3,21.7,20.7,21.5,20.9,"232,299"
2019-02-18,21.7,22.3,21.6,22.2,21.7,"70,684"
2019-02-17,22.3,23.1,22.2,22.4,22.3,"309,845"
2019-02-14,22.3,22.3,21.4,21.7,22.1,"540,833"
2019-02-13,21.4,22,21.4,22,21.4,"145,649"
2019-02-12,21.4,21.8,20.9,21,21.6,"406,892"
2019-02-11,21,21.3,20.5,20.9,20.9,"202,362"
2019-02-10,20.7,21.4,20.6,21.1,20.7,"153,463"
