DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,4.9,5,4.9,4.9,4.9,"189,890"
2019-06-27,5,5,4.8,4.8,5,"138,611"
2019-06-26,4.9,5,4.8,4.9,5,"501,333"
2019-06-25,4.9,5.2,4.9,5.1,5,"341,701"
2019-06-24,5,5.1,4.7,4.7,5,"1,956,713"
2019-06-23,4.7,4.8,4.7,4.7,4.7,"157,986"
2019-06-20,4.7,4.8,4.7,4.8,4.7,"89,079"
2019-06-19,4.8,4.8,4.7,4.7,4.8,"181,598"
2019-06-18,4.8,4.8,4.7,4.7,4.8,"271,003"
2019-06-17,4.7,4.8,4.7,4.7,4.7,"78,338"
2019-06-16,4.7,4.9,4.7,4.9,4.8,"170,161"
2019-06-13,4.8,4.9,4.7,4.9,4.8,"111,667"
2019-06-12,4.7,4.9,4.7,4.9,4.8,"162,284"
2019-06-11,4.9,4.9,4.8,4.8,4.8,"72,128"
2019-06-10,4.8,4.9,4.7,4.9,4.8,"79,255"
2019-06-09,4.8,4.9,4.7,4.9,4.8,"134,269"
2019-05-30,4.8,4.8,4.7,4.8,4.8,"75,655"
2019-05-29,4.8,4.8,4.6,4.6,4.7,"115,167"
2019-05-28,4.6,4.7,4.6,4.6,4.6,"187,874"
2019-05-27,4.6,4.6,4.5,4.6,4.6,"93,304"
2019-05-26,4.6,4.7,4.5,4.6,4.6,"169,825"
2019-05-23,4.6,4.7,4.5,4.6,4.6,"84,403"
2019-05-22,4.5,4.6,4.5,4.6,4.5,"30,550"
2019-05-21,4.6,4.7,4.5,4.6,4.6,"62,908"
2019-05-20,4.7,4.7,4.6,4.6,4.6,"470,450"
2019-05-19,4.6,4.6,4.5,4.6,4.6,"53,252"
2019-05-16,4.6,4.6,4.5,4.5,4.5,"86,405"
2019-05-15,4.4,4.6,4.4,4.5,4.5,"117,306"
2019-05-14,4.6,4.6,4.5,4.5,4.5,"15,802"
2019-05-13,4.6,4.6,4.5,4.5,4.5,"424,456"
2019-05-12,4.6,4.6,4.5,4.5,4.5,"240,437"
2019-05-09,4.6,4.6,4.5,4.6,4.5,"28,256"
2019-05-08,4.6,4.6,4.5,4.6,4.5,"981,876"
2019-05-07,4.6,4.7,4.5,4.7,4.5,"819,362"
2019-05-06,4.6,4.7,4.5,4.7,4.5,"151,640"
2019-05-05,4.7,4.7,4.5,4.7,4.6,"382,811"
2019-05-02,4.7,4.8,4.5,4.8,4.5,"232,605"
2019-04-30,4.6,4.6,4.4,4.4,4.6,"248,944"
2019-04-29,4.5,4.5,4.4,4.5,4.5,"129,666"
2019-04-28,4.4,4.5,4.4,4.4,4.4,"76,343"
2019-04-25,4.4,4.6,4.4,4.5,4.5,"1,107,648"
2019-04-24,4.5,4.6,4.5,4.5,4.5,"128,002"
2019-04-23,4.5,4.6,4.5,4.5,4.5,"84,738"
2019-04-21,4.6,4.6,4.5,4.5,4.6,"37,170"
2019-04-18,4.5,4.6,4.5,4.5,4.6,"44,467"
2019-04-17,4.6,4.6,4.4,4.5,4.5,"354,481"
2019-04-16,4.5,4.5,4.4,4.4,4.5,"272,412"
2019-04-15,4.4,4.5,4.4,4.4,4.4,"85,908"
