DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,31.4,32.3,31.4,31.9,31.7,"60,660"
2019-06-27,32.5,32.8,31.8,31.8,32.4,"598,485"
2019-06-26,32.5,32.9,31.9,32.8,32.4,"905,584"
2019-06-25,32.6,32.7,31.7,32,32.5,"940,977"
2019-06-24,32,33,31.8,32.4,32,"841,268"
2019-06-23,32,32.5,31.8,32.5,32,"154,481"
2019-06-20,32.2,32.5,32.1,32.5,32.1,"215,857"
2019-06-19,32.5,32.5,32.1,32.1,32.3,"272,423"
2019-06-18,32,32.5,32,32.4,32.1,"144,596"
2019-06-17,32.4,32.4,32,32.4,32.1,"243,614"
2019-06-16,32.5,32.7,32.2,32.6,32.3,"70,897"
2019-06-13,32.5,32.9,32,32.2,32.3,"119,969"
2019-06-12,32.4,32.9,31.5,32.8,32.1,"532,790"
2019-06-11,32.4,32.8,32.1,32.4,32.6,"427,176"
2019-06-10,32.2,32.9,32,32,32.2,"394,351"
2019-06-09,32.9,33,32.1,32.4,33,"328,324"
2019-05-30,32.9,32.9,32.5,32.5,32.8,"498,600"
2019-05-29,32.8,33,32.2,32.2,32.8,"216,035"
2019-05-28,32.8,32.9,31.5,31.5,32.6,"178,804"
2019-05-27,31.5,32,30.5,31.2,31.7,"195,661"
2019-05-26,31.4,31.4,30.1,30.2,31,"307,850"
2019-05-23,30.9,31.5,28.9,29,30,"238,141"
2019-05-21,32.3,32.3,31.5,31.9,31.7,"192,227"
2019-05-20,32,33.1,31.8,33.1,31.9,"202,436"
2019-05-19,33,34.2,31.5,31.5,33,"491,792"
2019-05-16,31.2,31.2,28.7,28.8,31.2,"355,634"
2019-05-15,28.5,29,28,28.3,28.4,"201,328"
2019-05-14,28.4,28.5,27.8,28.5,28.3,"65,618"
2019-05-13,28.4,28.8,28.1,28.8,28.3,"10,830"
2019-05-12,28.9,29.5,27.5,28.6,27.9,"209,565"
2019-05-09,29.3,29.3,28.5,28.5,29.2,"106,199"
2019-05-08,29,29.2,28,28,29,"113,901"
2019-05-07,29.2,29.2,28,29,28.9,"152,948"
2019-05-06,29,29.5,28,29.4,28.8,"282,377"
2019-05-05,28.6,29,28,28,28.9,"230,625"
2019-05-02,27.5,28.4,27.1,28.4,27.5,"121,355"
2019-04-30,28.5,28.7,27.1,28.7,27.5,"93,144"
2019-04-29,28.3,29.5,27.7,28.9,28,"57,898"
2019-04-28,28.4,29.6,28.1,29.6,28.5,"21,629"
2019-04-25,28.4,29,28.2,28.8,28.6,"121,925"
2019-04-24,28.7,28.8,28.1,28.8,28.6,"11,685"
2019-04-23,28.3,29.2,27.7,28.9,28.4,"37,303"
2019-04-21,28.6,29,28.6,29,28.6,"28,866"
2019-04-18,28.3,29.3,28.3,29.3,28.6,"22,288"
2019-04-17,29,29.5,28.4,29.3,28.8,"23,470"
2019-04-16,29,29.2,28,29,29,"59,330"
2019-04-15,28.9,29.2,28,28.9,28.6,"26,593"
2019-04-11,28.1,28.5,27.6,28.2,28,"73,777"
2019-04-10,27.7,28.2,27.5,28.2,27.8,"61,807"
2019-04-09,27.9,27.9,26.3,26.3,27.8,"42,178"
2019-04-08,26.8,27.5,26.1,26.8,27,"45,661"
2019-04-07,26.9,27.9,26.9,27.9,27,"51,002"
2019-04-04,27.2,27.7,26,26.7,27,"391,624"
2019-04-03,26.6,28.3,26.6,28.3,27.5,"261,816"
2019-04-02,28.2,28.9,28.1,28.6,28.3,"62,891"
2019-04-01,28,28.7,28,28.6,28.2,"26,678"
2019-03-31,28.2,29.3,28,28,28.3,"44,202"
2019-03-28,28.8,29.3,28,28,28.8,"26,458"
2019-03-27,27.9,30.3,27.9,30.3,28.2,"128,584"
2019-03-25,29.5,30.6,29.4,30.6,29.5,"78,022"
2019-03-24,30,31.5,30,30.5,30.5,"99,215"
2019-03-21,31.7,32,31.3,32,31.6,"44,019"
2019-03-20,31.3,32.9,30,32.8,31.4,"15,819"
2019-03-19,32.2,32.2,30.8,32.2,32,"26,811"
2019-03-18,32,32.5,31.1,32.2,32.2,"42,237"
2019-03-14,32.5,32.8,32.1,32.8,32.4,"97,939"
2019-03-13,32.8,33.5,32.4,33.1,32.5,"304,920"
2019-03-12,32.4,33.8,32.1,33.4,32.2,"82,770"
2019-03-11,32.4,33,32.2,32.9,32.5,"24,607"
2019-03-10,32.6,33.9,32.6,33.9,32.7,"78,040"
2019-03-07,33.3,33.9,32.8,32.8,33,"58,441"
2019-03-06,33.8,34.2,33.1,34,33.7,"77,192"
2019-03-05,33.4,33.9,31,33.2,33.3,"128,906"
2019-03-04,32.2,33.8,31.9,33.1,32.2,"189,811"
2019-03-03,33.4,35,33.3,35,33.4,"117,105"
2019-02-27,34.5,34.5,33.8,34.2,33.9,"69,270"
2019-02-26,34.7,35,34.5,34.9,34.6,"40,344"
2019-02-25,34.8,35,34.6,34.6,34.9,"191,841"
2019-02-24,34.6,35.3,34.6,35.3,34.6,"157,336"
2019-02-20,35,35.5,34.9,35.5,35.1,"139,081"
2019-02-19,35,36,34.8,35.4,35.2,"69,754"
2019-02-18,35,35.6,34.2,35.6,35,"70,441"
2019-02-17,35.4,35.4,34.6,34.8,35.3,"184,415"
2019-02-14,35.4,36.5,34.7,35.4,34.8,"228,689"
2019-02-13,34.9,37,34.9,37,35.1,"273,710"
2019-02-12,35.3,35.8,34.9,35.5,35.2,"197,698"
2019-02-11,35.1,35.7,34.9,35,35.1,"210,369"
2019-02-10,35.6,36,35,35.8,35.5,"499,336"
2019-02-07,36,36.5,36,36.5,36,"251,426"
2019-02-06,36.1,36.8,36,36.3,36.1,"299,925"
2019-02-05,36.1,37.4,36.1,37.4,36.3,"489,229"
2019-02-04,36.3,37,36.3,36.5,36.5,"512,341"
2019-02-03,36.8,37.5,36.3,36.6,36.6,"318,558"
2019-01-31,36.8,37.2,36.1,36.1,36.9,"298,601"
2019-01-30,37.2,38,37.2,37.5,37.4,"579,498"
2019-01-29,37.4,37.7,36.3,36.5,37.5,"646,756"
2019-01-28,36.8,38.4,36.7,37.4,36.8,"1,005,736"
2019-01-27,37.8,38.5,36.9,37,37.5,"982,164"
2019-01-24,36.8,36.8,35,35.4,36.6,"834,228"
2019-01-23,35.6,36.2,35.2,35.3,35.8,"731,028"
2019-01-22,34.9,35.8,34.9,35.3,35.1,"375,882"
2019-01-21,35.2,36,35.1,35.9,35.5,"209,322"
2019-01-20,35.4,36.4,35,35,35.5,"618,906"
2019-01-17,35,35.2,34.7,35,34.9,"745,371"
2019-01-16,34.9,35.3,34.6,34.8,34.9,"471,589"
2019-01-15,34.6,34.8,34.3,34.6,34.5,"446,844"
2019-01-14,34.7,35.1,34.7,34.9,34.7,"659,684"
2019-01-13,35,35.5,34.2,34.3,34.8,"645,429"
2019-01-10,34.1,35,34,35,34.2,"408,175"
2019-01-09,34.9,35,34.2,35,34.9,"488,054"
2019-01-08,34.7,34.9,33.8,34,34.7,"902,539"
2019-01-07,33.5,34.5,33.5,34.2,33.8,"587,761"
2019-01-06,34.2,34.3,33.6,33.7,34.2,"791,400"
2019-01-03,33.7,34.2,33.5,33.8,33.7,"655,498"
2019-01-02,33.4,33.5,32.9,33.4,33.4,"490,351"
2019-01-01,33.5,33.5,32.5,32.5,33.3,"499,141"
2018-12-27,32.4,32.9,31.7,31.7,32.5,"370,851"
2018-12-26,31.5,32.1,31.4,31.7,31.6,"343,898"
2018-12-24,31.5,32,30.9,31.2,31.6,"155,144"
