DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,3.9,4.2,3.8,4,3.9,"145,558"
2019-06-27,3.8,3.9,3.8,3.8,3.9,"19,984"
2019-06-26,3.9,4,3.8,3.9,3.8,"107,943"
2019-06-25,3.9,4,3.8,3.9,3.9,"67,122"
2019-06-24,3.9,4,3.8,3.9,3.9,"17,832"
2019-06-23,4,4,3.8,3.9,3.9,"61,851"
2019-06-20,3.9,4,3.8,3.9,3.9,"42,610"
2019-06-19,3.9,4,3.8,3.9,3.9,"32,363"
2019-06-18,3.9,4,3.8,3.9,3.9,"53,500"
2019-06-17,3.8,3.9,3.8,3.8,3.8,"21,861"
2019-06-16,3.9,4,3.7,3.9,3.9,"69,731"
2019-06-13,3.9,3.9,3.8,3.8,3.9,"201,869"
2019-06-12,3.9,4,3.8,3.9,3.8,"57,761"
2019-06-11,3.9,4,3.9,3.9,3.9,"94,137"
2019-06-10,4,4.1,3.9,4.1,3.9,"85,464"
2019-06-09,4,4,3.9,4,4,"11,102"
2019-05-30,3.9,4,3.8,3.9,3.9,"27,799"
2019-05-29,4,4,3.9,4,4,"10,996"
2019-05-28,3.9,4,3.9,3.9,3.9,"47,396"
2019-05-27,3.9,4,3.8,4,3.9,"22,522"
2019-05-26,4,4,3.8,4,3.9,"25,629"
2019-05-23,3.9,4.1,3.9,3.9,3.9,"46,586"
2019-05-22,4,4.1,3.9,4,3.9,"43,904"
2019-05-21,4,4.1,3.9,4,4,"27,399"
2019-05-20,4,4.1,4,4,4,"76,800"
2019-05-19,4,4.1,4,4.1,4,"23,739"
2019-05-16,4,4,4,4,4,"35,250"
2019-05-15,3.9,4.1,3.9,4,4,"32,583"
2019-05-14,4,4.1,3.9,4,4,"34,103"
2019-05-13,4,4.2,4,4.2,4,"120,940"
2019-05-12,4.1,4.1,4,4,4.1,"78,211"
2019-05-09,4.1,4.2,4,4,4,"12,261"
2019-05-08,4.1,4.2,4,4,4,"60,328"
2019-05-07,4.2,4.5,4,4.5,4.1,"98,075"
2019-05-06,4.1,4.7,4.1,4.7,4.1,"215,829"
2019-05-05,4.4,4.5,4.1,4.3,4.5,"192,113"
2019-05-02,4.2,4.2,3.9,3.9,4.2,"180,589"
2019-04-30,3.9,4,3.8,3.9,3.9,"81,727"
2019-04-29,3.8,3.9,3.8,3.8,3.8,"95,609"
2019-04-28,3.9,4,3.7,3.9,3.8,"148,491"
2019-04-25,3.9,4,3.9,3.9,3.9,"158,571"
2019-04-24,3.9,4,3.8,3.8,3.9,"67,874"
2019-04-23,3.9,3.9,3.7,3.8,3.8,"20,704"
2019-04-21,3.8,4,3.7,3.8,3.8,"31,600"
2019-04-18,4,4,3.8,3.9,3.9,"23,276"
2019-04-17,4,4,3.7,3.8,3.9,"67,933"
2019-04-16,3.9,4,3.7,3.8,3.8,"40,859"
2019-04-15,4,4,3.9,3.9,3.9,"135,760"
2019-04-11,3.9,3.9,3.6,3.8,3.7,"182,134"
2019-04-10,3.7,3.8,3.6,3.8,3.7,"110,114"
2019-04-09,3.7,3.8,3.7,3.8,3.7,"40,870"
2019-04-08,3.8,3.9,3.8,3.9,3.8,"54,146"
2019-04-07,3.9,3.9,3.8,3.9,3.9,"57,366"
2019-04-04,4,4.1,3.8,4,3.9,"87,858"
2019-04-03,3.9,4,3.8,4,3.9,"65,217"
2019-04-02,4,4,3.8,4,4,"47,559"
2019-04-01,3.9,4,3.9,3.9,3.9,"51,949"
2019-03-31,3.8,4,3.8,3.9,3.9,"30,582"
2019-03-28,3.9,3.9,3.7,3.8,3.8,"131,131"
2019-03-27,3.7,3.8,3.6,3.7,3.6,"179,552"
2019-03-25,3.8,3.8,3.6,3.6,3.7,"53,799"
2019-03-24,3.8,3.8,3.6,3.8,3.7,"78,717"
2019-03-21,3.7,3.8,3.6,3.7,3.7,"111,780"
2019-03-20,3.8,3.9,3.7,3.9,3.7,"62,669"
2019-03-19,3.9,3.9,3.7,3.7,3.9,"93,144"
2019-03-18,3.9,4,3.6,3.8,3.8,"103,806"
2019-03-14,3.9,4,3.7,3.9,3.9,"83,860"
2019-03-13,4,4,3.8,3.9,3.9,"123,190"
2019-03-12,4,4,3.9,3.9,4,"59,949"
2019-03-11,4,4,3.9,3.9,3.9,"37,987"
2019-03-10,3.9,4,3.8,3.9,3.9,"267,445"
2019-03-07,4,4.1,3.9,4,4,"145,433"
2019-03-06,4,4.1,3.9,4,4,"259,855"
2019-03-05,4,4.4,4,4.2,4.1,"569,693"
2019-03-04,4.4,4.5,4.2,4.5,4.3,"177,586"
2019-03-03,4.4,4.6,4.4,4.4,4.5,"47,564"
2019-02-27,4.4,4.6,4.3,4.6,4.4,"76,426"
2019-02-26,4.4,4.5,4.4,4.5,4.4,"68,974"
2019-02-25,4.4,4.6,4.4,4.6,4.5,"141,686"
2019-02-24,4.5,4.5,4.4,4.5,4.5,"26,927"
2019-02-20,4.6,4.6,4.3,4.5,4.4,"179,454"
2019-02-19,4.5,4.6,4.3,4.4,4.5,"90,063"
2019-02-18,4.5,4.6,4.4,4.4,4.5,"78,227"
2019-02-17,4.5,4.7,4.5,4.6,4.5,"125,587"
2019-02-14,4.5,5,4.4,5,4.5,"166,997"
2019-02-13,4.7,4.9,4.3,4.9,4.7,"398,181"
2019-02-12,4.7,4.7,4.5,4.7,4.5,"348,311"
2019-02-11,4.7,4.8,4.5,4.8,4.6,"229,280"
2019-02-10,4.8,5,4.7,5,4.8,"136,494"
2019-02-07,5,5.2,4.9,5.1,4.9,"226,652"
2019-02-06,5.2,5.4,5.1,5.3,5.2,"95,090"
2019-02-05,5.4,5.6,5.3,5.4,5.4,"101,226"
2019-02-04,5.3,5.5,5.1,5.1,5.4,"25,168"
2019-02-03,5.4,5.5,5.2,5.5,5.3,"174,577"
2019-01-31,5.5,5.7,5.4,5.7,5.5,"42,078"
2019-01-30,5.5,5.7,5.5,5.6,5.6,"97,615"
2019-01-29,5.7,5.7,5.5,5.7,5.6,"106,407"
2019-01-28,5.6,5.6,5.5,5.5,5.5,"107,768"
2019-01-27,5.5,5.7,5.4,5.6,5.5,"142,077"
2019-01-24,5.7,5.9,5.6,5.7,5.7,"170,808"
2019-01-23,5.6,5.8,5.6,5.8,5.7,"61,749"
2019-01-22,5.6,5.9,5.6,5.9,5.7,"32,900"
2019-01-21,5.7,5.8,5.3,5.3,5.7,"124,473"
2019-01-20,5.5,5.5,5.1,5.1,5.4,"114,034"
2019-01-17,5.4,5.6,5.2,5.6,5.2,"336,223"
2019-01-16,5.6,5.9,5.6,5.8,5.6,"98,291"
2019-01-15,5.8,6.1,5.7,6,5.8,"351,979"
2019-01-14,6,6.2,5.9,6.2,6,"190,082"
2019-01-13,6.2,6.4,6.2,6.3,6.2,"191,104"
2019-01-10,6.2,6.6,6.2,6.6,6.2,"199,515"
2019-01-09,6.3,6.8,6.3,6.4,6.4,"332,369"
2019-01-08,6.5,6.9,6.3,6.5,6.4,"365,160"
2019-01-07,6.5,7,6.4,6.8,6.5,"490,917"
2019-01-06,6.6,6.6,6.1,6.1,6.6,"866,249"
2019-01-03,6,6,5.8,5.8,6,"456,435"
2019-01-02,5.7,6,5.7,5.8,5.7,"222,032"
2019-01-01,5.9,5.9,5.4,5.6,5.8,"511,725"
2018-12-27,5.4,5.5,5.3,5.5,5.4,"96,566"
2018-12-26,5.5,5.5,5.2,5.3,5.4,"119,623"
2018-12-24,5.3,5.4,5.1,5.1,5.3,"114,572"
2018-12-23,5,5.2,5,5.1,5,"360,684"
2018-12-20,5.2,5.2,5.1,5.1,5.2,"92,963"
2018-12-19,5,5.1,4.9,5,5,"45,822"
2018-12-18,4.9,5.1,4.9,5,4.9,"135,117"
2018-12-17,5.1,5.1,5,5.1,5.1,"50,760"
2018-12-13,5.2,5.3,5,5.3,5.1,"353,862"
2018-12-12,5.3,5.4,5.2,5.4,5.3,"62,352"
2018-12-11,5.3,5.7,5.3,5.3,5.5,"597,748"
2018-12-10,5.2,5.2,5,5,5.2,"222,250"
2018-12-09,5,5.8,4.9,5.8,5,"899,930"
2018-12-06,5.3,5.3,5.2,5.2,5.3,"355,408"
2018-12-05,4.9,4.9,4.8,4.8,4.9,"394,956"
2018-12-04,4.5,4.5,4.2,4.3,4.5,"392,517"
2018-12-03,4.1,4.1,4,4,4.1,"107,324"
2018-12-02,4,4.1,3.8,3.8,4,"354,753"
2018-11-29,3.9,3.9,3.7,3.9,3.8,"250,899"
2018-11-28,3.8,4,3.8,4,3.9,"133,286"
2018-11-27,4.1,4.1,4,4,4,"283,385"
2018-11-26,4.1,4.1,4,4.1,4,"70,630"
2018-11-25,4.1,4.2,4.1,4.2,4.1,"64,866"
2018-11-22,4.1,4.3,4.1,4.3,4.2,"83,939"
2018-11-20,4.2,4.4,4.2,4.3,4.2,"176,498"
2018-11-19,4.4,4.5,4.3,4.4,4.3,"99,084"
2018-11-18,4.3,4.6,4.3,4.6,4.4,"202,286"
2018-11-15,4.5,4.8,4.4,4.8,4.6,"175,039"
2018-11-14,4.8,4.9,4.7,4.8,4.8,"70,276"
2018-11-13,4.8,5,4.8,4.9,4.8,"87,723"
2018-11-12,4.9,5,4.8,4.9,4.8,"210,668"
2018-11-11,4.8,4.9,4.7,4.8,4.8,"94,912"
2018-11-08,4.8,4.9,4.7,4.7,4.8,"88,325"
2018-11-07,4.8,5,4.7,4.7,4.7,"66,736"
2018-11-06,4.9,5,4.7,5,4.8,"131,715"
2018-11-05,4.8,4.9,4.8,4.8,4.9,"99,043"
2018-11-04,4.9,5,4.7,4.7,4.9,"62,891"
2018-11-01,4.9,5,4.7,4.8,4.7,"209,193"
2018-10-31,5,5,4.8,4.9,4.9,"52,245"
2018-10-30,4.9,5,4.8,4.8,4.9,"71,103"
2018-10-29,4.8,4.9,4.8,4.8,4.9,"105,153"
2018-10-28,4.8,5.1,4.8,4.9,5,"64,707"
2018-10-25,5,5.1,4.9,5.1,5,"47,200"
2018-10-24,5,5.1,4.8,4.8,4.9,"24,415"
2018-10-23,4.8,5,4.8,5,4.9,"152,871"
2018-10-22,4.9,5,4.9,5,5,"53,100"
2018-10-21,5,5.2,5,5.1,5,"58,266"
2018-10-18,5.2,5.3,5.1,5.1,5.2,"146,058"
2018-10-17,5.1,5.3,5.1,5.2,5.2,"82,500"
2018-10-16,5.2,5.2,5.1,5.2,5.2,"57,054"
2018-10-15,5.1,5.3,5,5.1,5.1,"93,756"
2018-10-14,5.2,5.4,5.1,5.2,5.2,"72,140"
2018-10-11,5.1,5.4,5.1,5.3,5.2,"56,043"
2018-10-10,5.1,5.5,5.1,5.5,5.2,"73,632"
