DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,16.8,17,16.8,17,16.9,"121,213"
2019-06-27,17.1,17.1,16.9,16.9,17.1,"130,466"
2019-06-26,16.9,17.2,16.8,16.9,16.9,"209,616"
2019-06-25,17,17.2,16.9,17,17,"139,547"
2019-06-24,17,17.3,16.9,16.9,17,"56,760"
2019-06-23,17,17.6,17,17.3,17,"333,066"
2019-06-20,17.4,17.7,17.3,17.4,17.6,"126,806"
2019-06-19,17.4,17.7,17.2,17.2,17.5,"585,314"
2019-06-18,17.3,17.6,17.3,17.4,17.4,"178,486"
2019-06-17,17.4,17.7,17.3,17.7,17.4,"110,760"
2019-06-16,17.6,17.7,17.4,17.6,17.6,"312,787"
2019-06-13,17.5,17.7,17.3,17.3,17.6,"195,239"
2019-06-12,17.6,17.6,17.3,17.5,17.5,"201,182"
2019-06-11,17.3,17.6,17.3,17.5,17.4,"572,620"
2019-06-10,17.5,17.6,17.1,17.1,17.6,"846,139"
2019-06-09,17.4,17.5,17,17.2,17.2,"369,834"
2019-05-30,17.1,17.2,16.9,16.9,17.1,"294,830"
2019-05-29,16.9,17.1,16.8,16.8,17,"589,761"
2019-05-28,16.8,17,16.7,16.8,16.7,"1,263,366"
2019-05-27,17,17,16.7,16.8,16.8,"512,696"
2019-05-26,16.9,17.1,16.6,16.7,16.8,"736,128"
2019-05-23,16.6,17.7,16.5,17.7,16.7,"2,332,425"
2019-05-21,19,19.5,19,19.1,19.3,"625,385"
2019-05-20,20,20,19.6,20,19.8,"1,795,622"
2019-05-19,20.1,20.1,19.8,19.9,20.1,"2,346,639"
2019-05-16,19.7,19.9,19,19.2,19.7,"2,041,862"
2019-05-15,19.2,19.2,18.6,18.7,19.1,"1,541,189"
2019-05-14,18.7,18.7,18.5,18.7,18.7,"457,350"
2019-05-13,18.8,18.8,18.5,18.7,18.7,"220,914"
2019-05-12,18.5,18.8,18.4,18.8,18.6,"344,713"
2019-05-09,18.7,18.8,18.5,18.6,18.7,"880,896"
2019-05-08,18.6,18.8,18.4,18.6,18.6,"365,739"
2019-05-07,18.9,18.9,18.3,18.3,18.6,"234,344"
2019-05-06,18.5,19,18.5,19,18.6,"94,476"
2019-05-05,19,19.2,18,18.1,18.9,"770,814"
2019-05-02,18.1,18.1,17.7,17.8,18,"1,250,109"
2019-04-30,18,18,17.8,17.9,18,"667,351"
2019-04-29,18.3,18.3,17.9,18.2,18.2,"303,548"
2019-04-28,18,18.2,18,18.2,18.1,"456,387"
2019-04-25,18.2,18.2,17.8,18,18.2,"405,295"
2019-04-24,17.8,18.2,17.8,18.2,17.8,"326,194"
2019-04-23,18,18.2,18,18.2,18,"1,102,598"
2019-04-21,18,18.1,18,18,18,"784,318"
2019-04-18,18.1,18.2,18,18.2,18,"1,069,151"
2019-04-17,18.1,18.2,18,18.2,18,"477,356"
2019-04-16,18.2,18.2,17.9,18.2,18,"297,628"
2019-04-15,18,18.4,17.9,18.4,18,"305,187"
2019-04-11,18.2,18.2,18,18,18.2,"151,703"
2019-04-10,18,18.2,18,18,18,"286,040"
2019-04-09,18,18.4,18,18.1,18,"378,073"
2019-04-08,18.4,18.6,18.1,18.3,18.3,"169,585"
2019-04-07,18.6,18.6,18,18,18.5,"1,104,935"
2019-04-04,18.1,18.3,17.9,18,18.1,"970,268"
2019-04-03,18.1,18.5,18,18,18.1,"803,902"
2019-04-02,18.4,18.7,17.9,18.1,18.2,"925,151"
2019-04-01,17.9,18.1,17.9,18,18,"635,171"
2019-03-31,18,18.3,17.8,18.3,18.1,"572,238"
2019-03-28,18,18.1,17.6,17.9,18.1,"776,981"
2019-03-27,17.9,18.2,17.9,18.1,17.9,"800,642"
2019-03-25,18.2,18.2,18,18.1,18.2,"397,212"
2019-03-24,18,18.3,17.9,18,18.1,"358,972"
2019-03-21,18.3,18.4,18.2,18.2,18.2,"655,816"
2019-03-20,18.2,18.7,18.2,18.3,18.4,"1,180,055"
2019-03-19,18.4,18.5,18.2,18.2,18.3,"104,093"
2019-03-18,18.1,18.8,18.1,18.5,18.2,"865,232"
2019-03-14,18.5,18.9,18.4,18.5,18.5,"435,766"
2019-03-13,18.7,19.2,18.5,18.5,18.5,"559,897"
2019-03-12,18.6,18.6,18.4,18.4,18.6,"132,215"
2019-03-11,18.4,18.7,18.4,18.5,18.5,"335,062"
2019-03-10,18.7,18.7,18.3,18.5,18.5,"372,324"
2019-03-07,18.5,18.8,18.5,18.5,18.5,"138,918"
2019-03-06,18.9,19,18.6,19,18.8,"110,064"
2019-03-05,18.9,19,18.4,18.4,18.8,"314,064"
2019-03-04,18.5,18.9,18.4,18.4,18.6,"488,765"
2019-03-03,18.7,18.9,18.2,18.8,18.8,"884,783"
2019-02-27,18.8,19,18.1,18.5,18.8,"4,107,803"
2019-02-26,18.2,18.6,18,18.2,18.5,"582,554"
2019-02-25,18.4,18.6,18.1,18.4,18.2,"554,720"
2019-02-24,18.5,18.6,18.4,18.4,18.5,"221,659"
2019-02-20,18.6,18.6,18.2,18.5,18.5,"292,049"
2019-02-19,18.4,18.6,18.3,18.3,18.5,"181,154"
2019-02-18,18.6,18.7,18.2,18.3,18.5,"219,218"
2019-02-17,18.2,18.5,18.2,18.2,18.4,"130,509"
2019-02-14,18.1,18.5,18.1,18.2,18.1,"502,591"
2019-02-13,18.2,18.7,18.2,18.5,18.2,"540,288"
2019-02-12,18.5,18.6,18.3,18.3,18.4,"256,677"
2019-02-11,18.5,18.5,18.2,18.3,18.3,"171,183"
2019-02-10,18.3,18.8,18.2,18.6,18.3,"1,844,493"
2019-02-07,18.8,18.9,18.7,18.7,18.8,"232,069"
2019-02-06,18.7,19.8,18.4,18.5,18.7,"706,458"
2019-02-05,18.5,18.8,18.5,18.8,18.5,"117,293"
2019-02-04,18.7,18.9,18.5,18.7,18.7,"278,950"
2019-02-03,18.9,19,18.6,18.9,18.8,"177,418"
2019-01-31,19,19.4,19,19.4,19.1,"287,185"
2019-01-30,19.4,20,19.4,20,19.5,"282,827"
2019-01-29,19.8,19.9,19.4,19.7,19.8,"243,616"
2019-01-28,19.7,20.1,19.7,20.1,19.7,"656,380"
2019-01-27,20.1,20.5,20,20.3,20.1,"784,261"
2019-01-24,20.4,20.5,20.2,20.4,20.3,"602,312"
2019-01-23,20.4,20.5,19.8,20,20.3,"2,144,863"
