DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,52.6,52.7,51.7,52.4,52.5,"184,808"
2019-06-27,52.5,52.5,50.5,50.7,52.2,"341,316"
2019-06-26,51,51.5,50.4,51.5,50.6,"68,481"
2019-06-25,50.5,51.6,50.3,50.3,50.8,"128,635"
2019-06-24,51.1,51.5,50.3,50.7,50.6,"40,963"
2019-06-23,50.6,51.9,50.3,51.5,50.7,"40,049"
2019-06-20,50.5,51.6,50.5,50.6,50.7,"52,206"
2019-06-19,50.4,51.9,50.4,51.5,50.6,"124,524"
2019-06-18,51.4,52.5,51.2,52,51.4,"49,586"
2019-06-17,51.3,52.6,51.1,52,51.3,"114,774"
2019-06-16,51.5,52,51.3,51.5,51.7,"70,514"
2019-06-13,51.5,52,51.5,51.5,51.6,"37,168"
2019-06-12,51.3,52,51,51,51.4,"31,871"
2019-06-11,52,52,51.1,51.5,51.9,"34,328"
2019-06-10,51.4,52.3,51.3,52,51.6,"88,099"
2019-06-09,51.5,52,50,50.8,51.3,"18,003"
2019-05-30,49.8,50.8,49.7,50.5,49.9,"53,790"
2019-05-29,50.5,50.5,49.1,49.1,50.1,"43,260"
2019-05-28,49.9,49.9,49.2,49.8,49.5,"22,513"
2019-05-27,49.8,49.8,48.4,49.7,49.5,"39,227"
2019-05-26,48.3,50,48.2,49.5,48.6,"154,174"
2019-05-23,49.4,49.8,48.9,49.8,49,"16,730"
2019-05-22,48.9,49.5,48.6,48.6,48.9,"8,695"
2019-05-21,49.2,49.5,48.6,49.5,49.1,"10,264"
2019-05-20,48.9,49.1,48.7,49.1,48.9,"35,133"
2019-05-19,49,49.8,49,49.2,49.2,"23,592"
2019-05-16,48.8,49.9,48,48,49,"17,415"
2019-05-15,48.9,49.7,48.5,49.7,48.7,"36,900"
2019-05-14,49.4,50,47.5,49.9,48.3,"71,742"
2019-05-13,49.6,50.6,49.6,50,49.7,"47,583"
2019-05-12,50.9,51,50.5,50.9,50.6,"45,279"
2019-05-09,50.8,50.8,49.5,49.5,50.6,"53,005"
2019-05-08,49.8,50.1,49.6,49.6,49.8,"36,530"
2019-05-07,49.9,51,49.2,50.7,49.5,"140,267"
2019-05-06,50.5,51,50.4,50.4,50.8,"60,144"
2019-05-05,51.4,51.4,50,50.8,50.9,"118,050"
2019-05-02,50.4,50.4,48.9,49.7,50,"46,216"
2019-04-30,47.8,50,47.8,49.5,48.1,"94,229"
2019-04-29,48.8,49.4,48.8,49,48.9,"19,154"
2019-04-28,49.7,50.8,48.9,48.9,49,"40,762"
2019-04-25,48.6,50.9,48.6,50.9,48.8,"271,002"
2019-04-24,50.6,50.7,50.2,50.3,50.6,"63,137"
2019-04-23,50.8,51.3,50.5,51.3,50.7,"80,810"
2019-04-21,50.9,51.6,50.6,50.9,51.3,"56,203"
2019-04-18,50.4,50.6,50,50.1,50.5,"103,867"
2019-04-17,50.2,51,50.1,50.2,50.4,"37,272"
2019-04-16,50.5,51.3,50,50.6,50.1,"52,554"
2019-04-15,50.7,51.3,50.7,51,50.8,"41,760"
2019-04-11,51,51.8,50.7,50.7,51.2,"52,546"
2019-04-10,50.9,52.6,50.7,51,50.8,"67,485"
