DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,2.4,2.5,2.4,2.5,2.4,"897,256"
2019-06-27,2.5,2.5,2.4,2.4,2.4,"345,149"
2019-06-26,2.5,2.5,2.4,2.5,2.5,"699,804"
2019-06-25,2.4,2.5,2.4,2.4,2.5,"174,069"
2019-06-24,2.4,2.5,2.4,2.5,2.4,"397,422"
2019-06-23,2.5,2.6,2.5,2.6,2.5,"644,898"
2019-06-20,2.6,2.6,2.5,2.5,2.6,"847,129"
2019-06-19,2.5,2.6,2.5,2.5,2.5,"786,647"
2019-06-18,2.4,2.5,2.4,2.5,2.5,"379,637"
2019-06-17,2.4,2.5,2.4,2.4,2.5,"447,486"
2019-06-16,2.4,2.6,2.4,2.5,2.4,"913,676"
2019-06-13,2.5,2.5,2.4,2.5,2.5,"795,125"
2019-06-12,2.5,2.6,2.4,2.5,2.5,"594,727"
2019-06-11,2.6,2.6,2.4,2.5,2.5,"797,481"
2019-06-10,2.5,2.6,2.4,2.6,2.5,"982,400"
2019-06-09,2.5,2.6,2.4,2.5,2.5,"651,991"
2019-05-30,2.5,2.6,2.4,2.5,2.5,"3,087,603"
2019-05-29,2.6,2.6,2.5,2.6,2.5,"339,251"
2019-05-28,2.6,2.7,2.5,2.6,2.6,"163,101"
2019-05-27,2.6,2.7,2.5,2.6,2.6,"220,519"
2019-05-26,2.7,2.7,2.6,2.7,2.6,"330,503"
2019-05-23,2.7,2.7,2.6,2.6,2.7,"184,389"
2019-05-22,2.7,2.7,2.6,2.6,2.6,"212,691"
2019-05-21,2.6,2.7,2.5,2.6,2.6,"270,950"
2019-05-20,2.6,2.7,2.6,2.6,2.6,"130,033"
2019-05-19,2.7,2.7,2.5,2.6,2.6,"521,121"
2019-05-16,2.6,2.7,2.5,2.6,2.6,"461,391"
2019-05-15,2.6,2.7,2.6,2.6,2.6,"873,009"
2019-05-14,2.7,2.7,2.6,2.6,2.6,"845,354"
2019-05-13,2.7,2.7,2.6,2.7,2.6,"441,172"
2019-05-12,2.7,2.7,2.6,2.7,2.6,"158,853"
2019-05-09,2.6,2.7,2.6,2.7,2.7,"275,905"
2019-05-08,2.6,2.7,2.6,2.6,2.6,"224,319"
2019-05-07,2.7,2.7,2.6,2.7,2.6,"192,191"
2019-05-06,2.7,2.8,2.6,2.7,2.7,"500,267"
2019-05-05,2.8,2.8,2.7,2.7,2.7,"455,717"
2019-05-02,2.7,2.8,2.6,2.7,2.7,"556,615"
2019-04-30,2.7,2.7,2.6,2.7,2.7,"760,049"
2019-04-29,2.6,2.8,2.6,2.8,2.6,"585,782"
2019-04-28,2.7,2.8,2.6,2.8,2.7,"858,860"
2019-04-25,2.8,2.8,2.6,2.7,2.7,"641,848"
2019-04-24,2.7,2.8,2.6,2.7,2.7,"431,893"
2019-04-23,2.8,2.8,2.6,2.7,2.7,"885,943"
2019-04-21,2.7,2.7,2.6,2.7,2.6,"265,211"
2019-04-18,2.6,2.8,2.6,2.7,2.6,"466,712"
2019-04-17,2.7,2.8,2.6,2.8,2.6,"630,487"
2019-04-16,2.7,2.8,2.7,2.8,2.7,"826,006"
2019-04-15,2.8,2.9,2.7,2.8,2.8,"861,350"
2019-04-11,2.7,2.8,2.6,2.7,2.8,"769,921"
2019-04-10,2.7,2.7,2.6,2.7,2.6,"242,651"
2019-04-09,2.7,2.7,2.6,2.7,2.6,"208,320"
2019-04-08,2.7,2.8,2.6,2.8,2.7,"976,973"
2019-04-07,2.8,2.9,2.8,2.8,2.8,"513,459"
2019-04-04,2.9,2.9,2.7,2.8,2.8,"682,236"
2019-04-03,2.7,2.9,2.7,2.9,2.7,"510,259"
2019-04-02,2.8,3.1,2.8,3.1,2.9,"4,159,387"
2019-04-01,2.9,2.9,2.7,2.8,2.9,"5,464,339"
2019-03-31,2.7,2.7,2.5,2.6,2.7,"2,885,662"
2019-03-28,2.6,2.6,2.4,2.5,2.5,"1,481,275"
2019-03-27,2.5,2.6,2.4,2.5,2.4,"376,436"
2019-03-25,2.6,2.6,2.4,2.5,2.5,"401,295"
2019-03-24,2.5,2.6,2.4,2.5,2.5,"625,745"
2019-03-21,2.6,2.6,2.5,2.6,2.6,"553,763"
2019-03-20,2.5,2.6,2.5,2.5,2.5,"391,896"
2019-03-19,2.5,2.6,2.5,2.5,2.6,"365,114"
2019-03-18,2.5,2.6,2.5,2.6,2.5,"323,125"
2019-03-14,2.6,2.6,2.5,2.6,2.5,"941,797"
2019-03-13,2.6,2.6,2.5,2.6,2.5,"889,100"
2019-03-12,2.5,2.7,2.5,2.6,2.6,"1,147,951"
2019-03-11,2.6,2.7,2.6,2.6,2.6,"797,922"
2019-03-10,2.7,2.7,2.6,2.6,2.7,"376,018"
2019-03-07,2.6,2.7,2.6,2.6,2.6,"591,649"
2019-03-06,2.7,2.7,2.6,2.6,2.6,"211,519"
2019-03-05,2.6,2.7,2.6,2.7,2.6,"532,779"
2019-03-04,2.6,2.8,2.6,2.7,2.7,"269,311"
2019-03-03,2.7,2.8,2.7,2.7,2.7,"281,502"
2019-02-27,2.7,2.8,2.6,2.8,2.7,"743,346"
2019-02-26,2.8,2.8,2.6,2.7,2.8,"2,096,165"
2019-02-25,2.7,2.8,2.7,2.8,2.7,"326,854"
2019-02-24,2.7,2.9,2.7,2.8,2.8,"543,828"
2019-02-20,2.7,2.9,2.7,2.9,2.7,"795,757"
2019-02-19,2.9,2.9,2.6,2.6,2.8,"1,633,732"
2019-02-18,2.6,2.8,2.6,2.7,2.7,"1,346,317"
2019-02-17,2.7,2.8,2.6,2.7,2.7,"1,953,824"
2019-02-14,2.7,2.8,2.7,2.8,2.7,"1,628,644"
2019-02-13,2.8,2.9,2.7,2.9,2.8,"1,375,654"
2019-02-12,2.8,2.9,2.7,2.8,2.8,"842,653"
2019-02-11,2.8,2.9,2.7,2.9,2.8,"552,015"
2019-02-10,2.8,2.9,2.7,2.8,2.8,"698,973"
2019-02-07,2.8,2.9,2.8,2.8,2.8,"339,741"
2019-02-06,2.8,2.9,2.8,2.8,2.8,"540,909"
2019-02-05,2.9,3,2.8,2.9,2.8,"669,665"
2019-02-04,2.8,3,2.8,2.9,2.9,"1,032,544"
2019-02-03,2.9,3,2.8,2.9,2.9,"922,897"
2019-01-31,3,3,2.8,2.9,2.9,"1,854,407"
2019-01-30,2.9,3,2.9,2.9,2.9,"512,721"
2019-01-29,2.9,3,2.8,3,2.9,"1,592,788"
2019-01-28,3,3.1,2.9,3,3,"459,477"
2019-01-27,3,3.1,2.9,3.1,3,"1,078,158"
2019-01-24,3.1,3.1,2.9,3,3.1,"974,825"
2019-01-23,3,3.1,3,3.1,3,"363,118"
2019-01-22,3.1,3.2,3,3,3.1,"529,309"
