DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,18.7,19.1,18.6,19.1,18.8,"554,435"
2019-06-27,19,19.5,18.9,19.3,19,"730,909"
2019-06-26,19.3,19.6,19.2,19.2,19.4,"456,887"
2019-06-25,19.4,19.5,19.1,19.4,19.2,"276,289"
2019-06-24,19.4,19.4,19.1,19.2,19.2,"418,981"
2019-06-23,19.1,19.8,19,19.8,19.1,"376,174"
2019-06-20,19.5,20.5,19.5,20.4,19.7,"560,660"
2019-06-19,20.3,20.4,19.3,19.3,20.3,"1,533,669"
2019-06-18,19.5,19.5,18.6,18.6,19.3,"991,070"
2019-06-17,18.5,19.4,18.5,19.4,18.6,"1,445,191"
2019-06-16,19.3,21.1,19.2,21,19.5,"1,338,369"
2019-06-13,20.7,21.5,20.3,20.3,20.9,"1,497,915"
2019-06-12,20.8,20.8,20.2,20.6,20.6,"973,923"
2019-06-11,20.6,21,20.4,20.4,20.6,"1,054,093"
2019-06-10,20.8,21.1,20.3,21.1,20.7,"1,146,192"
2019-06-09,20.9,21.4,20.5,20.5,21.1,"1,352,577"
2019-05-30,20.7,20.9,19.6,19.6,20.6,"1,995,523"
2019-05-29,19.6,20.1,19.5,19.7,19.7,"788,851"
2019-05-28,19.9,20.3,19.4,19.7,19.7,"1,511,618"
2019-05-27,19.4,20.5,19.1,19.1,19.6,"2,613,614"
2019-05-26,19.1,19.2,18.3,18.7,19,"942,133"
2019-05-23,18.7,18.9,18.3,18.3,18.6,"824,545"
2019-05-22,18.4,18.6,18,18,18.3,"414,489"
2019-05-21,17.9,18.5,17.8,18.3,18,"616,667"
2019-05-20,18.5,19.3,18.4,19.3,18.5,"767,952"
2019-05-19,19.3,19.7,18.6,18.6,19.3,"1,412,710"
2019-05-16,18.5,18.6,18,18.2,18.5,"968,748"
2019-05-15,18.1,18.1,17.7,18,17.9,"930,857"
2019-05-14,18,18.2,17.6,18,17.9,"391,184"
2019-05-13,17.6,17.8,17.5,17.5,17.7,"173,577"
2019-05-12,17.6,18.1,17.5,17.7,17.7,"704,844"
2019-05-09,17.3,17.6,17.2,17.5,17.4,"338,735"
2019-05-08,17.5,17.5,17,17.4,17.3,"342,216"
2019-05-07,17.3,17.7,17.2,17.5,17.3,"636,893"
2019-05-06,17.3,18.2,17.3,18.2,17.4,"642,849"
2019-05-05,18.1,18.3,17.3,17.3,18.1,"1,201,115"
2019-05-02,17.2,17.2,16.5,16.5,17.1,"479,657"
2019-04-30,16.5,16.6,16.3,16.5,16.4,"411,632"
2019-04-29,16.1,16.4,16.1,16.3,16.2,"347,950"
2019-04-28,16.3,17.1,16.3,17,16.4,"462,720"
2019-04-25,16.9,17.3,16.9,17.1,16.9,"313,124"
2019-04-24,17,17.3,16.8,17.2,16.9,"442,603"
2019-04-23,17.3,17.9,17,17.9,17.2,"606,793"
2019-04-21,18,18.2,17.7,17.9,17.9,"367,174"
2019-04-18,18.1,18.1,17.6,17.7,17.9,"507,785"
2019-04-17,17.6,18,17.5,17.9,17.7,"333,727"
2019-04-16,17.7,18,17.6,17.9,17.8,"510,361"
2019-04-15,17.8,18.4,17.8,18.4,17.9,"272,852"
2019-04-11,18.3,18.5,17.9,17.9,18.3,"558,253"
2019-04-10,18,18.3,17.7,17.8,17.8,"443,726"
2019-04-09,17.8,18.4,17.3,17.7,17.7,"777,150"
2019-04-08,17.8,18.2,17.6,18.2,17.7,"590,901"
2019-04-07,18,19,18,18.9,18.1,"447,637"
2019-04-04,18.7,19,18.2,18.7,18.6,"955,672"
2019-04-03,18.5,19.9,18.5,19.7,18.7,"1,311,512"
2019-04-02,19.5,19.5,17.8,17.8,19.4,"2,674,632"
2019-04-01,17.9,18,17.7,17.8,17.8,"577,226"
