DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,55.3,58,52.1,58,55.2,"91,735"
2019-06-27,58.5,61.2,57.2,61.2,57.5,"104,798"
2019-06-26,61.2,62,59.5,62,60.3,"26,439"
2019-06-25,60.2,64.1,59.9,64.1,60.4,"476,841"
2019-06-24,63.2,64.9,60,60,64.1,"102,954"
2019-06-23,61.3,64.9,59.9,64.9,60.3,"47,329"
2019-06-20,63,64.8,61.6,62.9,62.3,"53,663"
2019-06-19,64.6,67,61.7,61.7,64.9,"125,178"
2019-06-18,61.8,62.8,60,60,61.7,"89,828"
2019-06-17,60,62.3,58.6,58.6,59.4,"42,049"
2019-06-16,58.9,62.7,58.7,62.7,59,"50,588"
2019-06-13,61.9,62.9,60.3,61.6,61.3,"42,749"
2019-06-12,61.1,62.9,59.6,62.8,61.4,"60,689"
2019-06-11,59.5,63.3,57.5,62.9,60.7,"111,861"
2019-06-10,61.5,62.2,59,61.1,61.6,"54,548"
2019-06-09,61,66.3,60.3,62.6,61.1,"92,188"
2019-05-30,64,64,60.5,61.4,62.6,"84,189"
2019-05-29,61.4,63.5,60.5,63,61.1,"37,447"
2019-05-28,62.4,64.1,60,63.1,60.9,"45,787"
2019-05-27,64,65.8,63.2,64.5,63.4,"31,358"
2019-05-26,64.4,67,63,63,63.8,"62,752"
2019-05-23,62.5,64.9,62.5,63.5,63,"41,529"
2019-05-22,64,65.4,63,65.4,63.7,"63,941"
2019-05-21,63.7,66.2,63.3,66.2,63.5,"92,997"
2019-05-20,66.1,70.7,65.1,70.7,65.7,"41,921"
2019-05-19,69.7,71,66,66,69.9,"548,829"
2019-05-16,64.4,65,57.6,57.6,64.6,"322,124"
2019-05-15,59.9,59.9,56,56,59.9,"443,094"
2019-05-14,56.5,56.5,51,51.2,54.5,"110,933"
2019-05-13,53.7,56.7,53.7,55.2,53.9,"82,692"
2019-05-12,55.3,57.7,55.2,57.7,55.9,"41,732"
2019-05-09,57.2,58,56.6,58,56.7,"39,823"
2019-05-08,57,58,56.4,56.5,57.1,"60,353"
2019-05-07,57,60.1,57,60.1,57.2,"112,316"
2019-05-06,60.1,64.5,59.7,64.2,60.1,"70,624"
