DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,376.9,384.9,374,384.8,375.1,"421,908"
2019-06-27,383.3,388.6,382.2,385,383.1,"558,583"
2019-06-26,384,384,376,376,383.4,"814,979"
2019-06-25,377.2,377.2,368.5,372,375.4,"528,477"
2019-06-24,370,371.9,366.3,369.9,369.3,"430,761"
2019-06-23,368,378.6,367,376.9,368.6,"444,653"
2019-06-20,372,377.5,371.7,375,373.2,"802,919"
2019-06-19,372,372,363,363.7,370.4,"578,621"
2019-06-18,363.6,364.8,357.5,363.6,362.1,"231,706"
2019-06-17,360,377,359.2,369,361.6,"477,799"
2019-06-16,369,370.9,362,362,369,"488,206"
2019-06-13,363,368,360.6,365,361.5,"196,826"
2019-06-12,363.5,373,361.2,373,364.3,"503,589"
2019-06-11,371,373.7,365,365,371.6,"799,152"
2019-06-10,364.9,364.9,351,353,364.2,"649,517"
2019-06-09,353.7,355,344,344,352.6,"521,491"
2019-05-30,342.4,344.5,337.1,337.1,343.8,"809,938"
2019-05-29,336.8,339,334,334.8,337.5,"340,842"
2019-05-28,332.1,335,325,327.6,334.1,"373,465"
2019-05-27,325,325.9,320,320.1,324.5,"156,887"
2019-05-26,324.9,330.5,320.5,329.4,322.4,"235,470"
2019-05-23,326.4,329.3,323,323,327.6,"326,497"
2019-05-22,323,327.7,320,321.9,324.4,"290,251"
2019-05-21,320.3,322.3,315.5,316.5,319.7,"163,781"
2019-05-20,317.9,319,314.3,319,316.5,"146,923"
2019-05-19,318,322,317.4,319.8,319.3,"118,433"
2019-05-16,316.5,319.8,314.6,316.9,317.3,"161,345"
2019-05-15,315,315.1,312.4,314.6,314.4,"102,651"
2019-05-14,312.1,315,310.7,314.9,313.9,"84,706"
2019-05-13,314.3,317.9,311.5,317.9,313.2,"111,995"
2019-05-12,312.5,319,312,314,313.8,"178,830"
2019-05-09,311.8,312,307,308.1,311.1,"119,741"
2019-05-08,307.2,313.7,304.5,304.5,307.8,"79,576"
2019-05-07,308.6,318,305.6,315,307,"214,324"
2019-05-06,314.2,324,314.2,323,315.4,"241,312"
2019-05-05,318.5,321.9,310.9,310.9,320.2,"372,646"
2019-05-02,309.8,311.5,299.6,300,307.7,"889,915"
2019-04-30,293,298,283,284.7,295,"248,648"
2019-04-29,282.9,287.7,281,282.6,282.2,"180,451"
2019-04-28,280.1,287.8,280.1,285.2,282.5,"227,748"
2019-04-25,288,290,276.2,290,281.1,"290,838"
2019-04-24,294.3,315.1,294.3,315.1,294.3,"797,732"
2019-04-23,324.8,336,318.2,336,322.5,"339,867"
2019-04-21,333.9,345.9,329,337,335.1,"648,389"
2019-04-18,329.6,337,306,310,328,"540,133"
2019-04-17,311,331,303,330,309.9,"520,544"
2019-04-16,329.6,344,326.3,344,328.9,"144,800"
2019-04-15,343,346,339,343.9,342.1,"267,121"
2019-04-11,337.6,346.6,335,339.8,339.5,"508,505"
2019-04-10,338,348.9,334.7,344,336.5,"265,746"
2019-04-09,340,373.5,340,373,340.2,"659,889"
2019-04-08,371.6,381,370.8,378.1,372.6,"461,391"
2019-04-07,380,389,378.4,388,381.1,"884,699"
2019-04-04,388,389.7,365.9,388,385.4,"883,922"
2019-04-03,388.4,418.3,383,417.2,385.5,"1,373,931"
2019-04-02,416.4,417.9,412,417,415,"916,556"
2019-04-01,413.6,417,411,411.9,414.7,"886,880"
2019-03-31,410.1,412,403.6,404.8,410.1,"958,541"
2019-03-28,405,405,397,400.5,403.1,"932,564"
2019-03-27,395.1,402.8,394.2,401.9,397.1,"291,449"
2019-03-25,399,401.8,397.5,400.9,399.2,"545,594"
2019-03-24,399,400.2,393.1,399.9,398.9,"408,302"
2019-03-21,395.4,403,395.4,403,397.4,"280,546"
2019-03-20,401.3,404.7,399,402,401.3,"419,472"
2019-03-19,397.3,404.7,393,402,402,"624,999"
2019-03-18,403.3,409.9,400.1,408.9,402.1,"534,933"
2019-03-14,406.2,409,402,404,405.4,"677,691"
2019-03-13,404.5,404.9,397.1,399,403.8,"1,003,158"
2019-03-12,399,399.8,394.4,396.5,399,"907,035"
2019-03-11,396,398.8,394,398.8,396.2,"465,976"
2019-03-10,395.8,396.9,389.6,392,395.2,"720,354"
2019-03-07,386.8,396,386.8,396,388.2,"357,026"
2019-03-06,391.6,405.9,390.6,403.9,395.6,"531,236"
2019-03-05,400,400.4,390,390.1,399.7,"855,966"
2019-03-04,385.8,395.6,385.8,394,388.9,"1,334,859"
2019-03-03,392.2,408.7,391.2,407,393.5,"540,233"
2019-02-27,401.2,409.9,400.4,407.6,407.7,"916,426"
2019-02-26,405,414.5,404.5,409.8,407.5,"815,591"
2019-02-25,405.5,418.3,405.5,414.9,409.8,"715,500"
