DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,100.3,100.3,98.9,99,99.2,"44,642"
2019-06-27,99.7,99.8,98.6,99.4,98.8,"23,010"
2019-06-26,99,101,98,98.6,98.9,"17,385"
2019-06-25,99,102.5,98.6,102,99,"27,848"
2019-06-24,99.8,102.5,98,98.2,101.1,"40,395"
2019-06-23,97.7,99.7,97.6,99.7,98.2,"18,366"
2019-06-20,99.2,102.7,99.2,100.6,99.7,"40,148"
2019-06-19,100.2,101.7,100,101,100.6,"21,061"
2019-06-18,101.3,103.8,100.4,103,100.7,"18,092"
2019-06-17,102.3,104,101,102.5,101.5,"39,882"
2019-06-16,101,104.4,100,103.5,101.4,"33,732"
2019-06-13,101.9,102.8,101.1,101.8,101.7,"26,257"
2019-06-12,102.2,105.5,101.2,103.4,101.7,"32,007"
2019-06-11,102.4,105,99.9,101,102.4,"110,587"
2019-06-10,101,101.9,97,98.5,100.1,"42,589"
2019-06-09,98,98.8,95.9,95.9,97.7,"17,929"
2019-05-30,96.9,97.3,95.5,96.1,96.5,"28,771"
2019-05-29,95.5,96.2,94.5,95.2,95.4,"11,089"
2019-05-28,95.5,96.4,92.4,93,95.7,"31,809"
2019-05-27,92.2,96.9,92,96.9,92.5,"72,132"
2019-05-26,94.4,97.2,94.4,96.5,95.1,"52,149"
2019-05-23,96.4,97.9,95.1,96.5,96.8,"10,338"
2019-05-22,96.7,98.2,96.3,98,97.2,"9,543"
2019-05-21,96.5,99,96.2,99,97.2,"13,959"
2019-05-20,96.7,98.4,96.6,98.2,96.7,"18,489"
2019-05-19,98.1,104.1,97.9,97.9,98.4,"57,795"
2019-05-16,96,98.1,96,98,96.6,"9,512"
2019-05-15,96.3,97.5,96.2,97,96.6,"13,702"
2019-05-14,96.4,97.1,96,97,96.1,"28,040"
2019-05-13,97,97.3,96.1,97.3,96.8,"12,901"
2019-05-12,97,98.6,97,97.5,97.1,"20,241"
2019-05-09,98,99.6,97.3,98.2,97.4,"29,300"
2019-05-08,98.2,100,96.2,97.5,98.1,"22,160"
2019-05-07,97.9,100,97.6,98,97.9,"27,103"
2019-05-06,99.5,100.7,97.9,100.7,98.2,"29,328"
2019-05-05,100.9,101.9,96.5,98,100.7,"69,971"
2019-05-02,98,98.9,94,94,96.3,"53,692"
2019-04-30,97.8,102,93.1,100,96.2,"194,130"
2019-04-29,102.9,104.9,102.9,104.2,103.3,"27,229"
2019-04-28,104.4,105.8,104.1,105.8,104.3,"31,077"
2019-04-25,105.7,107.2,105,105.2,105.8,"31,583"
2019-04-24,105.8,107,104.5,105.4,105.9,"36,733"
2019-04-23,105.3,108.1,105.3,108.1,105.4,"35,549"
2019-04-21,108,109.5,107,107.5,107.8,"64,489"
2019-04-18,106.8,107.8,105,106.7,106.2,"56,074"
2019-04-17,105.2,108.8,104.5,107.3,105.2,"38,490"
2019-04-16,104.9,108.9,103.1,105,105.2,"67,383"
2019-04-15,105.5,107.8,105.1,107.8,105.5,"36,845"
2019-04-11,106.1,108,105.2,106.1,106,"39,476"
2019-04-10,106.4,109.9,105.5,107.2,105.7,"93,452"
2019-04-09,106.7,108.3,103.9,103.9,106.7,"85,787"
2019-04-08,109.5,113.9,109.2,111.5,109.4,"144,763"
2019-04-07,112,112,106.5,109.8,111.4,"169,508"
2019-04-04,107.4,108.3,106,108,106.6,"38,137"
2019-04-03,106.9,109.8,106.1,108.1,107,"46,728"
2019-04-02,108.3,109.5,108,109,108.2,"52,352"
2019-04-01,109,109.5,107.6,107.6,108.1,"36,197"
2019-03-31,107.4,109.3,107.3,108.1,107.7,"21,454"
2019-03-28,107.2,109.5,106,109.4,108.1,"44,556"
2019-03-27,107.7,110,107,110,108.4,"64,611"
2019-03-25,109.1,111.7,109.1,111.7,109.9,"38,784"
2019-03-24,111.2,111.9,107.1,109.5,111.1,"54,546"
2019-03-21,108.9,109,105.8,106,107.8,"56,371"
2019-03-20,106.1,109.7,105.9,109.7,106,"43,118"
2019-03-19,107.8,108.5,103.3,105.8,106.6,"71,732"
2019-03-18,104.5,111,104.2,110.9,105.8,"72,987"
2019-03-14,109.8,112.4,108,112.4,108.8,"68,180"
2019-03-13,110.6,113.6,109.9,111.8,110,"79,644"
