DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,28.1,28.5,28.1,28.3,28.3,"224,416"
2019-06-27,28.4,28.5,28.2,28.3,28.4,"422,459"
2019-06-26,28.2,28.8,28.1,28.6,28.2,"488,865"
2019-06-25,28.2,28.7,28,28,28.4,"662,469"
2019-06-24,28.3,28.6,27.8,28.4,28,"234,419"
2019-06-23,28.4,28.6,27.9,27.9,28.1,"218,375"
2019-06-20,28.3,28.4,27.7,28.4,28.3,"167,746"
2019-06-19,28.2,28.8,27.8,28.4,28,"367,173"
2019-06-18,27.9,29,27.8,28.2,27.9,"422,017"
2019-06-17,28,28.5,27.2,28,28,"743,408"
2019-06-16,28.4,28.9,28,28.9,28.2,"677,343"
2019-06-13,28.9,29.3,28.7,29.1,28.9,"442,575"
2019-06-12,29.5,29.5,28.8,28.8,29.3,"607,177"
2019-06-11,29.4,29.4,28.5,28.6,29,"1,594,718"
2019-06-10,28.8,29,28.3,28.5,28.8,"718,967"
2019-06-09,28.5,28.7,28.3,28.7,28.4,"175,245"
2019-05-30,29,29,28.5,28.7,28.8,"588,677"
2019-05-29,28.7,28.8,28.4,28.8,28.5,"439,388"
2019-05-28,28.7,28.8,27.9,27.9,28.5,"3,091,655"
2019-05-27,28.2,28.3,27.7,28.2,27.8,"3,255,639"
2019-05-26,28.2,28.8,27.9,28.4,28.2,"1,493,507"
2019-05-23,28.5,28.5,27.6,27.6,28.3,"1,582,618"
2019-05-22,27.8,28,27.2,27.8,27.5,"963,832"
2019-05-21,28,28.1,27.5,28.1,27.8,"1,245,152"
2019-05-19,30.5,30.8,29.8,29.8,30.5,"3,486,615"
2019-05-16,29.6,29.7,28.8,28.9,29.5,"1,334,216"
2019-05-15,28.7,28.9,28.6,28.7,28.8,"991,038"
2019-05-14,28.5,28.9,28.2,28.7,28.3,"744,632"
2019-05-13,28.6,28.8,28.6,28.8,28.7,"1,212,072"
2019-05-12,28.9,29,28.4,28.8,28.7,"1,402,830"
2019-05-09,28.8,28.8,28.3,28.7,28.7,"1,221,220"
2019-05-08,28.6,29,28,29,28.4,"1,162,626"
2019-05-07,28.8,29,28.3,28.4,28.7,"1,509,659"
2019-05-06,28.4,29.3,28.4,29.3,28.4,"494,129"
2019-05-05,29,29.1,28.1,28.4,28.9,"1,283,869"
2019-05-02,28,28,27.5,27.8,27.9,"1,144,374"
2019-04-30,27.6,27.6,27,27,27.3,"1,045,545"
2019-04-29,26.8,28.7,26.7,28.7,27,"1,465,180"
2019-04-28,28,28.7,27.9,28.7,27.9,"878,333"
2019-04-25,28.4,28.9,28.2,28.9,28.5,"1,611,052"
2019-04-24,28.9,28.9,28.1,28.9,28.5,"126,139"
2019-04-23,28.8,29.2,28.4,28.8,28.7,"479,285"
2019-04-21,28.8,29.4,28.6,29.4,28.8,"897,283"
2019-04-18,29.2,29.4,29,29,29.2,"552,551"
2019-04-17,29.2,29.2,28.7,28.9,29.1,"849,205"
2019-04-16,29,29,28,28.1,28.8,"1,156,112"
2019-04-15,28.2,28.6,28.1,28.6,28.2,"711,331"
2019-04-11,28.3,28.9,28.3,28.4,28.6,"349,610"
2019-04-10,28.4,28.9,28.3,28.7,28.4,"285,181"
2019-04-09,28.7,29.2,28.1,28.7,28.3,"591,353"
2019-04-08,29.3,29.3,27.6,28.7,28.6,"628,114"
2019-04-07,29,29.1,28.7,28.9,28.8,"476,192"
