DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,6.8,6.8,6.7,6.8,6.8,"19,855"
2019-06-27,6.7,7,6.7,6.9,6.8,"22,874"
2019-06-26,6.9,7.1,6.8,6.9,6.8,"2,916"
2019-06-25,6.8,7,6.8,7,6.9,"41,602"
2019-06-24,7,7,6.8,6.8,6.9,"42,395"
2019-06-23,6.8,6.8,6.6,6.8,6.6,444
2019-06-20,6.8,6.8,6.8,6.8,6.8,215
2019-06-19,6.6,6.7,6.6,6.7,6.7,"12,058"
2019-06-18,6.8,6.8,6.8,6.8,6.8,"1,501"
2019-06-17,6.7,6.8,6.7,6.8,6.7,"3,851"
2019-06-16,6.7,6.7,6.7,6.7,6.7,236
2019-06-13,6.8,6.8,6.7,6.8,6.7,"9,808"
2019-06-12,6.8,6.8,6.6,6.6,6.7,"24,244"
2019-06-11,6.6,6.8,6.6,6.7,6.7,"13,137"
2019-06-10,6.8,6.8,6.6,6.7,6.7,"7,013"
2019-06-09,6.7,6.8,6.6,6.8,6.6,"4,009"
2019-05-30,6.8,6.8,6.7,6.8,6.7,"5,009"
2019-05-29,6.6,6.8,6.6,6.8,6.6,"14,513"
2019-05-28,6.8,6.8,6.6,6.8,6.7,"8,287"
2019-05-27,6.7,6.8,6.6,6.7,6.7,"6,567"
2019-05-26,6.6,6.9,6.6,6.9,6.7,"10,701"
2019-05-23,6.8,6.8,6.6,6.6,6.7,"7,500"
2019-05-22,6.8,6.8,6.6,6.6,6.6,"5,032"
2019-05-21,6.8,6.8,6.8,6.8,6.8,1
2019-05-20,6.8,6.9,6.6,6.9,6.7,"4,502"
2019-05-19,6.9,6.9,6.7,6.9,6.7,53
2019-05-16,6.6,6.8,6.6,6.8,6.7,300
2019-05-15,6.6,6.7,6.6,6.7,6.6,"6,211"
2019-05-14,6.5,6.9,6.5,6.9,6.6,"15,410"
2019-05-13,7,7,7,7,7,1
2019-05-12,6.8,7,6.8,7,6.9,"1,117"
2019-05-09,6.9,6.9,6.9,6.9,6.9,2
2019-05-08,6.8,7.1,6.8,6.9,6.8,"6,632"
2019-05-07,7.1,7.1,7.1,7.1,7.1,1
2019-05-06,7,7.2,6.9,7.2,6.9,"7,663"
2019-05-05,7.2,7.2,7,7,7.1,"17,108"
2019-05-02,6.9,6.9,6.9,6.9,6.9,170
2019-04-30,6.9,6.9,6.9,6.9,6.9,1
2019-04-29,6.8,6.8,6.8,6.8,6.8,100
2019-04-28,6.9,6.9,6.9,6.9,6.9,105
2019-04-24,7,7,7,7,7,1
2019-04-21,6.9,7,6.9,7,7,601
2019-04-18,6.9,7,6.9,7,6.9,141
2019-04-17,6.9,6.9,6.9,6.9,6.9,736
2019-04-16,6.9,7,6.9,7,6.9,"4,943"
2019-04-11,7,7,7,7,7,1
2019-04-10,6.7,6.9,6.7,6.9,6.7,934
2019-04-09,7,7,6.9,6.9,6.9,"7,487"
2019-04-08,6.9,7,6.9,6.9,6.9,"2,288"
2019-04-07,7,7,7,7,7,1
2019-04-03,6.9,6.9,6.9,6.9,6.9,"12,912"
2019-04-02,7,7.1,6.9,7,7,"7,347"
2019-04-01,6.9,7,6.9,7,7,"1,954"
2019-03-31,7.1,7.1,6.9,6.9,6.9,"7,406"
2019-03-28,7,7.3,6.8,7.2,6.9,"16,851"
2019-03-27,7.2,7.5,7.1,7.5,7.1,672
2019-03-25,7.2,7.5,7,7,7.1,"17,919"
2019-03-21,7.7,7.7,7.5,7.7,7.7,"26,164"
2019-03-20,7.7,7.7,7.5,7.5,7.6,"28,118"
2019-03-19,7.6,7.6,7.5,7.5,7.5,"4,796"
2019-03-18,7.6,7.6,7.3,7.4,7.4,"15,494"
2019-03-14,7.6,7.6,7.4,7.6,7.5,"24,994"
2019-03-13,7.6,7.6,7.5,7.6,7.6,"4,209"
2019-03-12,7.6,7.6,7.4,7.5,7.5,"4,240"
2019-03-11,7.5,7.6,7.4,7.4,7.5,"12,199"
2019-03-10,7.4,7.5,7.3,7.3,7.4,"3,931"
2019-03-07,7.4,7.4,7.2,7.2,7.2,"5,100"
2019-03-06,7.2,7.4,7.2,7.2,7.2,"15,090"
2019-03-04,7.1,7.6,7.1,7.6,7.2,"61,000"
2019-03-03,7.6,7.8,7.6,7.7,7.7,"5,080"
2019-02-27,7.8,7.9,7.8,7.9,7.9,"4,035"
2019-02-26,8,8,8,8,8,119
2019-02-25,7.9,8,7.9,8,8,"8,323"
2019-02-20,8.3,8.3,8.3,8.3,8.3,100
2019-02-18,8.2,8.2,8.2,8.2,8.2,"5,000"
2019-02-17,8.2,8.3,8.1,8.1,8.2,"13,811"
2019-02-14,8,8,7.7,7.7,7.9,"5,445"
2019-02-13,7.6,7.6,7.6,7.6,7.6,500
2019-02-12,7.5,7.6,7.5,7.6,7.5,"5,546"
