DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,486.7,495,486,494.9,486.7,"11,274"
2019-06-27,489.8,496.9,489.8,490.2,490.9,"46,489"
2019-06-26,494.4,494.9,487.8,490,491,"26,465"
2019-06-25,488.3,493.5,487,492,489.4,"36,169"
2019-06-24,489.7,497,488.1,494.5,489,"26,617"
2019-06-23,486,495.2,486,495.2,486.1,"4,234"
2019-06-20,487.1,498.8,487,496.7,488.2,"16,616"
2019-06-19,491.5,496.9,485.1,496.9,490.9,"34,975"
2019-06-18,492,496.6,486,494,489.1,"23,488"
2019-06-17,491,515,488,510,490.9,"40,913"
2019-06-16,508.7,515,504.5,504.5,507.9,"80,979"
2019-06-13,503.9,504,488,488,502.9,"80,703"
2019-06-12,489.9,499.6,482,498,487.3,"38,068"
2019-06-11,500,504,484.4,485,492.5,"62,733"
2019-06-10,482,491.9,481,491.8,483.2,"19,944"
2019-06-09,480.4,497.8,480.3,497.8,482,"12,433"
2019-05-30,484.5,497.7,482.1,497.7,483.7,"23,661"
2019-05-29,487.5,498.7,487,492.2,491.7,"13,024"
2019-05-28,495.3,496.9,493,496.9,494.8,"4,237"
2019-05-27,489.8,505,487.7,505,489.9,"11,452"
2019-05-26,489.9,499.7,486.3,499.7,487.5,"14,926"
2019-05-23,494,501.9,494,499.9,495.4,"13,689"
2019-05-22,495.5,503.9,492.1,492.1,496.7,"9,116"
2019-05-21,492.6,500,490,500,492,"19,596"
2019-05-20,500,503,498.5,502.9,500.1,"9,648"
2019-05-19,502.3,508,501.1,507.2,502.5,"15,521"
2019-05-16,507,510,504,507.2,505.2,"11,379"
2019-05-15,507.8,509.8,505.2,505.4,507.3,"8,284"
2019-05-14,508.5,509.7,506.1,506.1,508.6,"5,387"
2019-05-13,507,512,505.1,512,505.9,"7,861"
2019-05-12,507.2,514.9,505.5,507.7,507,"8,272"
2019-05-09,507,511.8,505.2,505.2,505.7,"8,969"
2019-05-08,507.9,514,505.1,510.1,506.1,"12,103"
2019-05-07,510.6,522.7,508.3,522.6,510.5,"17,178"
2019-05-06,519.1,528,516,525.5,519.5,"24,289"
2019-05-05,525,541.4,523.2,536,525,"39,071"
2019-05-02,535.8,540,527,535,535.8,"58,503"
