DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,17.4,17.7,17.2,17.5,17.3,"478,584"
2019-06-27,17.6,17.6,17.3,17.5,17.4,"307,597"
2019-06-26,17.3,17.6,17.2,17.3,17.3,"407,268"
2019-06-25,17.3,17.5,17.2,17.3,17.3,"247,470"
2019-06-24,17.2,17.4,17.1,17.2,17.3,"363,294"
2019-06-23,17.4,17.6,17.2,17.5,17.3,"281,502"
2019-06-20,17.4,17.7,17.4,17.7,17.5,"314,820"
2019-06-19,17.6,17.9,17.5,17.9,17.6,"847,475"
2019-06-18,17.8,17.9,17.4,17.5,17.8,"596,502"
2019-06-17,17.4,17.9,17.4,17.9,17.4,"679,763"
2019-06-16,17.8,18.4,17.7,18.3,17.8,"550,204"
2019-06-13,18.2,18.3,17.9,18,18.1,"496,226"
2019-06-12,18,18.5,18,18.4,18.1,"764,350"
2019-06-11,18.4,18.7,18,18,18.5,"1,488,013"
2019-06-10,18.1,18.2,17.3,17.3,17.9,"799,865"
2019-06-09,17.3,17.4,17.2,17.3,17.3,"224,254"
2019-05-30,17.1,17.3,17,17.2,17.2,"322,510"
2019-05-29,17.3,17.4,17.1,17.3,17.2,"367,978"
2019-05-28,17.2,17.3,17,17,17.2,"168,721"
2019-05-27,16.9,17.2,16.9,17.2,16.9,"218,919"
2019-05-26,17.1,17.4,17,17.2,17,"202,898"
2019-05-23,17.1,17.5,17.1,17.3,17.2,"305,899"
2019-05-22,17.1,17.5,17.1,17.4,17.2,"188,901"
2019-05-21,17.2,17.4,17.1,17.4,17.2,"188,989"
2019-05-20,17.4,17.6,17.3,17.6,17.4,"269,043"
2019-05-19,17.6,17.7,17.3,17.3,17.6,"345,510"
2019-05-16,17.3,17.4,17.1,17.2,17.3,"479,162"
2019-05-15,17.3,17.4,17.1,17.2,17.2,"247,197"
2019-05-14,17.2,17.3,17.1,17.2,17.2,"351,143"
2019-05-13,17.3,17.7,17.2,17.7,17.3,"348,829"
2019-05-12,17.5,17.8,17.4,17.6,17.5,"575,738"
2019-05-09,17.4,17.5,17.2,17.3,17.4,"427,393"
2019-05-08,17.3,17.5,17,17.5,17.1,"391,947"
2019-05-07,17.4,17.8,17.2,17.5,17.2,"518,157"
2019-05-06,17.5,18,17.3,18,17.5,"1,641,641"
2019-05-05,18.1,18.2,17.6,18,18,"1,027,283"
2019-05-02,17.7,17.7,16.4,16.4,17.7,"3,874,296"
2019-04-30,16.2,16.4,16,16.2,16.1,"228,834"
2019-04-29,16,16.1,15.9,16.1,16,"143,244"
2019-04-28,15.9,16.2,15.9,16.2,16,"433,628"
2019-04-25,16.2,16.3,16.2,16.3,16.2,"118,002"
2019-04-24,16.3,16.3,16.1,16.2,16.1,"256,374"
2019-04-23,16.2,16.5,16.2,16.5,16.2,"191,338"
2019-04-21,16.7,16.9,16.5,16.8,16.6,"386,196"
2019-04-18,16.7,16.7,16,16.1,16.6,"460,745"
2019-04-17,16.2,16.2,16,16.2,16.1,"175,151"
2019-04-16,16.1,16.4,16,16.4,16,"274,873"
2019-04-15,16.3,16.6,16.3,16.4,16.4,"178,252"
2019-04-11,16.5,16.5,16,16.2,16.4,"286,754"
2019-04-10,16,16.4,16,16.3,16,"182,083"
2019-04-09,16.1,16.4,16,16.4,16.1,"388,974"
2019-04-08,16.1,16.7,16.1,16.6,16.2,"337,726"
2019-04-07,16.6,17.2,16.5,17.2,16.7,"320,803"
2019-04-04,17,17.4,17,17.3,17.1,"208,404"
2019-04-03,17.3,17.6,17.2,17.5,17.2,"236,279"
2019-04-02,17.6,17.6,17.4,17.4,17.5,"299,591"
2019-04-01,17.3,17.5,17.3,17.4,17.3,"442,052"
2019-03-31,17.3,17.8,17.3,17.6,17.4,"368,627"
2019-03-28,17.6,17.8,17.6,17.7,17.6,"234,732"
2019-03-27,17.6,17.8,17.5,17.7,17.6,"168,310"
2019-03-25,17.6,17.9,17.5,17.5,17.6,"407,756"
2019-03-24,17.4,17.7,17.4,17.7,17.5,"291,914"
2019-03-21,17.8,17.9,17.5,17.9,17.6,"574,373"
2019-03-20,17.9,18.3,17.8,18,17.8,"440,153"
2019-03-19,17.8,18,17.5,17.6,17.8,"416,902"
2019-03-18,17.6,18.3,17.5,18.3,17.6,"520,880"
2019-03-14,18,18.3,18,18.2,18,"725,369"
2019-03-13,18.2,18.8,18.1,18.8,18.2,"883,198"
2019-03-12,18.7,19.1,18.7,19,18.7,"249,806"
2019-03-11,19,19.4,19,19.2,19,"357,792"
2019-03-10,19.2,19.7,19.1,19.5,19.2,"434,887"
2019-03-07,19.4,19.4,18.7,18.8,19.3,"597,268"
2019-03-06,18.7,19.2,18.7,19.1,18.8,"598,531"
2019-03-05,19,19.6,19,19.5,19,"733,717"
2019-03-03,19.4,19.7,19.4,19.5,19.5,"714,359"
2019-02-27,19.7,20,19.3,20,19.5,"870,353"
2019-02-26,19.9,20.4,19.6,20.4,19.8,"1,230,144"
