DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-26,37.7,37.7,37.7,37.7,37.7,"1,490"
2019-06-25,37.5,37.7,37.2,37.2,37.6,"2,112"
2019-06-24,37.1,41.2,37.1,41.2,37.2,52
2019-06-23,37.6,39.8,37.5,39.8,37.8,"5,500"
2019-06-20,38.4,40.7,38.4,40.7,39.4,800
2019-06-19,39.5,41.7,39.4,39.5,39.6,284
2019-06-18,41,41,39.1,39.1,39.3,55
2019-06-17,41.8,41.8,40.4,41.4,41.1,"3,498"
2019-06-16,41.3,42.4,41.3,42.4,42.1,"1,268"
2019-06-13,41,42,41,41.9,41,"4,871"
2019-06-12,41.5,43.1,40.5,40.5,41.3,"6,462"
2019-06-11,39.3,39.3,38,38,39.2,"4,744"
2019-06-10,39.5,39.5,34.1,37.2,35.8,400
2019-05-30,38.8,38.8,35.3,35.3,37.2,440
2019-05-27,38,38,38,38,38,100
2019-05-23,38,40.4,38,40.4,38.2,101
2019-05-22,40.7,41.2,38.2,41,39.1,729
2019-05-21,40,40,40,40,40,30
2019-05-20,39.5,39.5,39,39,39.5,"1,310"
2019-05-16,38,38.4,37.4,37.4,38.3,"3,490"
2019-05-15,36.6,41,36.6,41,36.9,61
2019-05-14,38.1,38.1,36.1,36.1,37.4,305
2019-05-13,39,39,39,39,39,76
2019-05-12,37.1,37.2,37,37.2,37.1,693
2019-05-09,38.9,38.9,38.5,38.5,38.8,302
2019-05-08,40,40,40,40,40,100
2019-05-07,40.1,40.1,40.1,40.1,40.1,464
2019-05-06,40.3,40.7,40.3,40.5,40.6,301
2019-05-05,40.5,40.5,40.1,40.5,40.5,580
2019-05-02,38,38.2,38,38.2,38.1,"2,100"
2019-04-30,39.8,40.4,36.6,36.6,37.3,"2,629"
2019-04-29,38.9,42,38.3,41.9,38.9,"5,000"
2019-04-28,41.5,42,41.4,42,41.8,"1,382"
2019-04-25,41,41,39,39,40.7,"2,690"
2019-04-24,39,41.2,39,41.2,40.1,"2,000"
2019-04-23,41.3,41.7,39,40,41.2,"4,428"
2019-04-21,41,41,39.1,39.1,40.3,"5,050"
2019-04-18,39.3,41,39.3,41,39.8,"6,950"
2019-04-17,39.5,39.6,37,39.6,39.3,"4,200"
2019-04-16,39,39,39,39,39,100
2019-04-15,38.7,39.7,38.7,39.4,39.6,"3,527"
2019-04-11,38,39.9,38,39.9,38.2,57
2019-04-10,39.6,39.6,37.2,37.2,37.2,105
2019-04-07,40,40,40,40,40,1
2019-04-03,39.1,40.2,39.1,40.2,39.3,12
2019-04-02,38.6,38.6,38.3,38.4,38.4,"3,315"
2019-04-01,38.7,38.7,37,37,38.4,310
2019-03-28,38.6,39,38,39,38.7,700
2019-03-25,37.5,39.9,37.5,37.5,38.2,452
2019-03-21,38.9,38.9,38.9,38.9,38.9,5
2019-03-20,37,41,37,41,37.5,"2,665"
2019-03-19,37.9,37.9,37.9,37.9,37.9,250
2019-03-13,37.8,37.8,35.1,35.7,35.5,"6,250"
2019-03-12,37,40,37,40,37.1,401
2019-03-11,40.2,40.2,38.8,39.5,39.8,"1,255"
2019-03-10,36.1,37,36,36,36.6,"5,474"
2019-03-07,36,37.1,36,37.1,36.1,720
2019-03-06,37.9,38,35.6,35.6,37.1,785
2019-03-05,38.5,38.7,37.5,37.5,38,"1,600"
